"Lab Number
              ",Date Received,Customer Sample ID,Sample Name 1,Sample Name 2,Latitude,Longitude,Depth,Colour,Gravel_percent,Texture,Ammonium Nitrogen,Nitrate Nitrogen,Phosphorus Colwell,Potassium Colwell,Sulfur,Organic Carbon,Conductivity,pH Level (CaCl2),pH Level (H2O),Total Nitrogen,Total Phosphorus,Total Carbon,% Clay,% Course Sand,% Fine Sand,% Sand,% Silt 
,,,,,,,,,%,,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,%,dS/m,,,%,mg/kg,%,%,%,%,%,%
2KGS24024,12/09/2024,TT1,BWR QLD,Bruce Weir Rd Qld,-17.126588,145.129246,0-10,GRWH,5-10,2.5,11,1,3,104,1.9,0.75,0.020,5.4,6.8,0.08,62.2,1.12,11.22,35.53,40.96,76.49,12.30
2KGS24025,12/09/2024,TT2,BUM NSW,Bumberry NSW,-17.126588,145.129246,0-10,LTBR,5,2.5,4,1,8,234,3.2,1.32,0.040,5.0,6.2,0.12,159.0,1.75,11.78,9.41,65.01,74.42,13.80
2KGS24026,12/09/2024,TT3,COBB SA,Cobbler Ck SA,-33.1313032,148.4271588,0-10,BR,5,3.0,2,< 1,5,511,10.7,2.28,0.092,6.1,7.0,0.22,258.6,3.07,31.69,18.82,29.01,47.83,20.48
2KGS24027,12/09/2024,TT4,CHS VIC,Condah Hotspur Rd Vic,-34.784167,138.696667,0-10,GRBR,5,2.5,3,< 1,3,50,5.6,1.21,0.038,5.1,6.1,0.11,91.0,1.56,12.22,38.15,44.51,82.66,5.11
2KGS24028,12/09/2024,TT5,DAL QLD,Dalby Qld,-37.918,141.648,0-10,BK,5,3.0,6,< 1,18,398,4.0,2.88,0.069,6.0,6.9,0.27,402.1,3.96,23.11,35.26,26.89,62.15,14.74
2KGS24029,12/09/2024,TT6,HH NSW,Hornsby Heights NSW,-27.156601,151.235198,0-10,DKBR,5-10,2.0,9,< 1,4,206,4.2,3.26,0.052,4.9,5.9,0.18,229.2,4.04,13.88,51.89,23.51,75.40,10.72
2KGS24030,12/09/2024,TT7,JIN NSW,Jindabyne NSW,-33.62908,151.11302,0-10,YWGR,5,1.5,2,1,10,156,1.1,0.40,0.017,6.0,7.0,0.03,221.2,0.53,5.98,68.36,21.64,90.00,4.02
2KGS24031,12/09/2024,TT8,MAR QLD,Marlborough Qld,-36.431837,148.620779,0-10,GRBR,5,3.0,2,3,14,252,3.0,1.65,0.049,5.3,6.2,0.15,278.7,2.33,14.95,2.77,56.28,59.05,25.99
2KGS24032,12/09/2024,TT9,MTT NSW,Mid Turnbull Trail NSW,-22.890693,149.769793,0-10,BK,5,1.5,5,< 1,6,183,5.2,4.45,0.052,5.2,6.2,0.23,271.3,7.01,12.29,54.00,23.43,77.43,10.29
2KGS24033,12/09/2024,TT10,MCK NT,Mitchell Ck NT,-33.445,150.826,0-10,GRBR,5-10,2.5,3,< 1,4,69,6.6,0.97,0.025,5.2,6.2,0.06,77.9,1.24,11.41,37.88,35.07,72.95,15.63
2KGS24034,12/09/2024,TT11,MTC QLD,Mt Coolon Qld,-12.5115,130.996271,0-10,BRRD,5,3.0,2,3,3,432,2.1,1.07,0.034,5.8,6.7,0.11,218.9,1.66,17.00,20.43,39.13,59.56,23.44
2KGS24035,12/09/2024,TT12,MTF QLD,Mt Fox Qld,-21.405778,147.350768,0-10,GR,5,3.0,6,< 1,6,314,3.6,1.71,0.035,5.7,6.7,0.19,157.5,2.66,21.60,33.49,22.22,55.71,22.69
2KGS24037,12/09/2024,TT13,PV NT,Palm Valley NT,-19.001291,145.473311,0-10,BROR,0,1.5,1,3,7,157,2.5,0.38,0.072,6.4,7.9,0.05,160.1,0.68,7.10,53.97,36.89,90.86,2.04
2KGS24038,12/09/2024,TT14,PAN WA,Pannawonica WA,-24.057,132.763,0-10,BRRD,5,3.0,2,13,8,385,12.8,1.53,0.232,7.2,8.0,0.14,184.2,2.27,25.64,6.00,29.82,35.82,38.54
2KGS24039,12/09/2024,TT15,POW TAS,Powranna TAS,-21.637977,116.334303,0-10,GRBR,5-10,1.5,10,2,6,96,116.1,2.07,0.189,4.8,5.3,0.15,156.5,2.65,12.40,43.88,33.34,77.22,10.38
2KGS24040,12/09/2024,TT16,RV NT,Rainbow Valley NT,-41.69833333,147.2380556,0-10,BRRD,5,2.0,1,< 1,6,125,1.1,0.25,0.061,7.5,8.8,0.02,89.7,0.51,5.80,60.38,31.88,92.26,1.95
2KGS24041,12/09/2024,TT17,TLJ QLD,The Lynd Junction QLD,-24.235,133.459,0-10,GRBR,35-40,3.0,4,< 1,7,199,2.3,1.19,0.030,5.5,6.5,0.09,224.8,1.89,23.85,45.11,16.11,61.22,14.94
2KGS24042,12/09/2024,TT18,WR QLD,Woodstock Rd Qld,-18.97806,144.682176,0-10,GR,5,3.0,4,7,6,115,2.2,1.12,0.031,5.0,6.2,0.10,78.8,1.61,10.42,32.52,40.30,72.82,16.76
2KGS24043,12/09/2024,S1,SB WA,Sorghum Bulbosum,-19.6156,147.961153,0-10,BROR,25-30,2.5,2,< 1,4,122,1.5,0.31,0.024,5.9,6.6,0.02,84.9,0.40,9.87,63.40,22.77,86.17,3.97
2KGS24044,12/09/2024,S2,SE WA,Sorghum Ecarinatum,-17.354575,123.741343,0-10,BROR,15-20,2.5,2,< 1,5,54,1.1,0.43,0.014,5.6,6.6,0.03,56.3,0.53,6.93,59.63,31.45,91.08,2.00
2KGS24045,12/09/2024,S3,SE NT,Sorghum Exstans,-12.434222,130.876718,0-10,BRGR,15-20,2.5,4,< 1,4,52,1.9,1.45,0.022,5.7,6.6,0.09,108.5,2.41,15.86,38.85,36.80,75.65,8.49
2KGS24046,12/09/2024,S4,SI WA,Sorghum Interjectum,-15.992228,128.974654,0-10,BROR,5-10,3.0,2,< 1,4,115,0.7,0.37,0.027,6.0,6.7,0.05,118.8,0.54,9.20,50.41,27.01,77.42,13.37
2KGS24047,12/09/2024,S5,SI NT,Sorghum Intrans,-14.407553,132.197353,0-10,BRRD,5,3.0,5,< 1,5,177,< 0.5,0.31,0.027,6.0,6.8,0.03,176.2,0.44,43.07,29.41,18.50,47.91,9.02
2KGS24048,12/09/2024,S6,SL NSW,Sorghum Leiocladum,-28.941111,152.428611,0-10,DKGR,5,3.0,5,7,12,268,2.6,2.94,0.066,6.0,6.5,0.22,237.2,3.89,14.71,18.75,46.50,65.25,20.04
2KGS24049,12/09/2024,S7,SM NT,Sorghum Macrospermum,-14.40764,132.19746,0-10,BR,5,3.0,10,1,58,324,1.9,2.67,0.075,6.1,6.8,0.22,684.7,3.65,25.68,4.38,30.35,34.73,39.58
2KGS24050,12/09/2024,S8,SP DW NT,Sorghum Plumosum,-16.062387,133.428109,0-10,GR,45-50,2.0,3,< 1,4,104,2.3,0.34,0.106,7.1,8.2,0.03,169.4,1.30,8.08,64.16,21.66,85.82,6.10
2KGS24051,12/09/2024,S9,SPT WA,Sorghum Plumosum var teretifolium,-15.992164,128.984524,0-10,BRGR,35-40,2.5,2,1,4,109,1.4,0.93,0.024,5.8,6.8,0.09,139.5,1.34,10.87,42.47,34.76,77.23,11.91
2KGS24052,12/09/2024,S10,SS NT,Sorghum Stipoideum,-12.511434,130.996383,0-10,GRBR,45-50,2.5,5,< 1,6,28,2.3,1.68,0.020,5.6,6.5,0.12,131.8,2.23,10.26,52.36,28.10,80.46,9.28
2KGS24053,12/09/2024,S11,ST NT,Sorghum Timorense,-16.306314,133.401888,0-10,BRGR,35-40,2.5,2,3,5,113,2.4,0.67,0.092,6.5,7.3,0.07,152.8,1.34,16.93,58.59,16.49,75.08,7.99
2KGS24054,12/09/2024,S12,SP MC NT,Sorghum Plumosum,-12.511661,130.996358,0-10,GR,5-10,3.0,13,< 1,4,60,4.5,1.86,0.047,5.0,5.9,0.11,74.1,2.39,11.24,44.87,24.39,69.26,19.51
2KGS24055,12/09/2024,S13,SMAT NT,Sorghum Matarankense,-16.004959,133.418802,0-10,BR,5-10,3.0,2,6,8,248,2.8,1.84,0.049,6.4,7.3,0.16,255.7,2.31,29.98,39.48,18.12,57.60,12.43
2KGS24056,12/09/2024,S14,SG NT,Sorghum Grande,-14.478,132.312,0-10,BROR,5,3.0,3,< 1,5,295,2.2,0.76,0.027,5.9,6.6,0.07,126.3,1.09,40.75,21.78,21.14,42.92,16.32
2KGS24057,12/09/2024,S15,SA QLD,Sorghum Angustum,-15.543095,144.433999,0-10,GRBR,5,2.5,3,1,2,84,1.2,0.83,0.014,5.0,6.3,0.06,70.6,0.99,6.95,58.00,27.03,85.03,8.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
