"binominal","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","is_cd","trait"
"Rudbeckia_hirta",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Ratibida_pinnata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Heliopsis_helianthoides",0.000278739128544427,0.172868238996021,0.0812020276083795,-1.35938633420833,-1.34842612277913,0.234876025007539,"NM",TRUE,"logRD"
"Liatris_aspera",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Arnica_sororia",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Arnica_fulgens",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Hymenoxys_richardsonii",0.00108560690150181,0.172868238996021,0.0811772438006209,-1.19006929695294,-1.14533811680829,0.234794041792432,"NMAM",TRUE,"logRD"
"Helianthus_agrestis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Helianthus_grosseserratus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Helianthus_giganteus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Helianthus_maximiliani",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Helianthus_verticillatus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Helianthus_salicifolius",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Pappobolus_microphyllus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Helianthus_occidentalis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
