"","lnLik","AICc"
"ARDOUM",-838.03514998403,1731.63551735936
"ARDOUMA",-1238.21171310562,2540.48579627362
"ARDOUMV",-873.733843815867,1811.5300576941
"ARDOUMVA",-1212.43393089465,2497.49834195631
"EROUM",-1304.14607588713,2624.43834466767
"EROUMA",-1249.38305250047,2523.08414781439
"EROUMV",-1237.9761907716,2500.27042435665
"EROUMVA",-1226.99491445699,2486.54663546465
"SYMOUM",-841.103811553272,1716.83467228687
"SYMOUMA",-1215.08912524626,2473.12886777646
"SYMOUMV",-843.337328638119,1729.62527456019
"SYMOUMVA",-1214.68367377826,2480.71032276313
