"","lnLik","AICc"
"ARDOUM",-1291.61688450616,2679.79976690039
"ARDOUMA",-1330.69483572466,2760.15922747469
"ARDOUMV",-1203.06823779334,2504.90603161206
"ARDOUMVA",-1322.73974892297,2746.45727562372
"EROUM",-858.01544966896,1732.17709223132
"EROUMA",-858.01338781467,1734.20970245861
"EROUMV",-858.085298054888,1734.35352293904
"EROUMVA",-1301.06549221243,2622.35478910442
"SYMOUM",-869.650518001896,1792.75294913719
"SYMOUMA",-1319.35738364232,2694.27998467595
"SYMOUMV",-943.827874276191,1943.22096594369
"SYMOUMVA",-1294.03544394472,2645.75378944384
