"","lnLik","AICc"
"ARDOUM",-2250.02011739558,4555.60545218247
"ARDOUMA",-2225.72064551042,4515.50366108321
"ARDOUMV",-2220.18455994805,4504.43148995848
"ARDOUMVA",-2169.48771076186,4411.60590169074
"EROUM",-2260.29138820243,4536.72896929826
"EROUMA",-2254.98597230828,4534.28998743002
"EROUMV",-2233.51553884503,4491.34912050352
"EROUMVA",-15775.6031916715,31583.7631898937
"SYMOUM",-1893.34663993973,3821.32032905979
"SYMOUMA",-2185.13492309475,4413.22046347345
"SYMOUMV",-2223.42674208009,4489.80410144413
"SYMOUMVA",-2181.56484215107,4414.47265950875
