"","lnLik","AICc"
"ARDOUM",-2271.23361720145,4639.03323229096
"ARDOUMA",-2231.17641109552,4561.1223782164
"ARDOUMV",-2262.43655741957,4623.6426708645
"ARDOUMVA",-2218.04751835584,4537.07281448946
"EROUM",-2263.31974980448,4542.78569250236
"EROUMA",268433399.782105,-536866781.381283
"EROUMV",-2263.29288972086,4544.76870627099
"EROUMVA",-2173.43490885487,4367.09362238929
"SYMOUM",-2273.854219866,4601.16035286539
"SYMOUMA",-2166.58820403822,4388.74162546775
"SYMOUMV",-2273.86470649347,4603.29463037824
"SYMOUMVA",-1830.04707264453,3717.77704684347
