"Genus_species","Reg","X"
"t1",1,1.83760556
"t2",1,1.89225681
"t3",1,1.50389005
"t4",1,1.28533486
"t5",1,2.40654471
"t6",1,1.59680634
"t7",1,1.95870499
"t8",1,1.68095304
"t9",1,1.53032585
"t10",1,1.42287177
"t11",1,1.7737164
"t12",1,1.73673252
"t13",1,1.97541317
"t14",1,1.75105195
"t15",1,1.40833945
"t16",1,1.91573201
"t17",1,1.64259649
"t18",1,2.102474
"t19",1,1.63969675
"t20",1,1.43265678
"t21",1,1.29491918
"t22",1,1.6864899
"t23",1,1.18815947
"t24",1,1.25846523
"t25",1,1.6483561
"t26",1,1.60085147
"t27",1,1.71033971
"t28",1,1.72944232
"t29",1,1.4532085
"t30",1,1.57635998
"t31",1,1.71202848
"t32",1,1.91449654
"t33",2,0.27768857
"t34",2,0.08634373
"t35",2,0.02390178
"t36",2,1.11785773
"t37",2,0.84997842
"t38",2,1.15626304
"t39",2,-0.44801488
"t40",2,0.05784849
"t41",2,1.26091245
"t42",2,1.55498
"t43",2,1.71577609
"t44",2,1.21885814
"t45",2,1.04195472
"t46",2,1.00683656
"t47",2,0.9213467
"t48",2,1.00167664
"t49",2,0.70223164
"t50",2,1.47995695
"t51",2,1.2068104
"t52",2,0.47093057
"t53",2,1.18052407
"t54",2,1.21882664
"t55",2,0.45812784
"t56",2,0.51585366
"t57",2,1.13357526
"t58",2,1.18840699
"t59",2,1.05593421
"t60",2,1.26912842
"t61",2,1.5242189
"t62",2,1.61171253
"t63",2,1.65914508
"t64",2,1.59456207
