"Package","Version"
"abind","1.4-8"
"AICcmodavg","2.3-4"
"AlgDesign","1.2.1.2"
"ape","5.8-1"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.3.0"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"caper","1.0.4"
"car","3.1-3"
"carData","3.0-5"
"cellranger","1.1.0"
"checkmate","2.3.3"
"classInt","0.4-11"
"clhs","0.9.2"
"cli","3.6.5"
"clipr","0.8.0"
"clusterGeneration","1.3.8"
"coda","0.19-4.1"
"colorspace","2.1-2"
"combinat","0.0-8"
"commonmark","2.0.0"
"conflicted","1.2.0"
"corHMM","2.8"
"corpcor","1.6.10"
"cowplot","1.2.0"
"cpp11","0.5.3"
"crayon","1.5.3"
"credentials","2.0.3"
"crossdes","1.1-2"
"crul","1.6.0"
"curl","7.0.0"
"data.table","1.18.2.1"
"datastorr","0.0.4"
"DBI","1.2.3"
"dbplyr","2.5.1"
"deldir","2.0-4"
"DEoptim","2.2-8"
"Deriv","4.2.0"
"desc","1.4.3"
"deSolve","1.40"
"devtools","2.4.6"
"diffobj","0.3.6"
"digest","0.6.39"
"diversitree","0.10-1"
"doBy","4.7.1"
"doParallel","1.0.17"
"downlit","0.4.5"
"dplyr","1.1.4"
"dtplyr","1.3.2"
"e1071","1.7-17"
"ellipsis","0.3.2"
"emmeans","2.0.1"
"estimability","1.5.1"
"evaluate","1.0.5"
"expm","1.0-0"
"fansi","1.0.7"
"farver","2.1.2"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.0"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.6"
"future","1.69.0"
"future.apply","1.20.1"
"gargle","1.6.0"
"geiger","2.0.11"
"generics","0.1.4"
"GenSA","1.1.15"
"gert","2.3.1"
"ggplot2","4.0.1"
"gh","1.5.0"
"gitcreds","0.1.2"
"globals","0.18.0"
"glue","1.8.0"
"gmp","0.7-5"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"gridExtra","2.3"
"gtable","0.3.6"
"gtools","3.9.5"
