"binominal","state","RD"
"Rudbeckia_hirta","AM",-1.33279150960258
"Ratibida_pinnata","AM",-0.82098055206983
"Heliopsis_helianthoides","NM",-0.967584026261706
"Liatris_aspera","AM",-0.798507696217772
"Arnica_sororia","AM",-1.41346002919266
"Arnica_fulgens","AM",-0.662714973439743
"Hymenoxys_richardsonii","AM",-1.26443077336305
"Helianthus_agrestis","AM",-0.648856667510856
"Helianthus_grosseserratus","AM",-0.676622085174959
"Helianthus_giganteus","AM",-0.756486705225595
"Helianthus_maximiliani","AM",-0.641252355128475
"Helianthus_verticillatus","AM",-0.606973511849939
"Helianthus_salicifolius","AM",-0.908354643592754
"Pappobolus_microphyllus","AM",-0.746213182106896
"Helianthus_occidentalis","AM",-0.781127368513582
"Helianthus_mollis","AM",-0.790852825200569
"Helianthus_silphioides","AM",-0.606427420252994
"Helianthus_atrorubens","AM",-0.641609783967762
"Helianthus_longifolius","AM",-0.763920836703109
"Helianthus_angustifolius","AM",-0.598386421356451
"Helianthus_floridanus","AM",-0.40617565048362
"Helianthus_petiolaris","AM",-0.798743668501486
"Helianthus_neglectus","AM",-0.930533505341834
"Helianthus_niveus","AM",-0.558379252760254
"Helianthus_praecox","AM",-0.829298642570532
"Helianthus_debilis","AM",-0.811642064520224
"Helianthus_argophyllus","AM",-0.763747257195152
"Helianthus_annuus","AM",-0.533997240740203
"Helianthus_cusickii","AM",-0.516503059949643
"Helianthus_pauciflorus","AM",-1.02165124753198
"Helianthus_radula","AM",-0.570062640522608
"Helianthus_porteri","AM",-0.770329897464331
"Helianthus_carnosus","AM",-0.475248307893695
"Helianthus_heterophyllus","AM",-0.459173827814472
"Ambrosia_artemisiifolia","AM",-1.02165124753198
"Echinacea_serotina","AM",-0.891598119283784
"Eclipta_prostrata","AM",-0.719491155899547
"Coreopsis_palmata","AM",-1.10866262452161
"Helichrysum_italicum","EcMAM",-1.15090608338924
"Helichrysum_stoechas","EcMAM",-0.709378193670363
"Anaphalis_aureopunctata","AM",-1.98813938327305
"Anaphalis_hancockii","AM",-1.72204685681675
"Antennaria_parvifolia","AM",-1.05110866602414
"Antennaria_neglecta","AM",-1.29116601602831
"Leontopodium_nanum","AM",-1.6094379124341
"Inula_conyza","AM",-0.881889305156823
"Haplopappus_spinulosus","AM",-1.15106414867053
"Symphyotrichum_oolentangiense","AM",-1.04982212449868
"Symphyotrichum_falcatum","AM",-1.16738375609532
"Symphyotrichum_ciliolatum","AM",-1.74068619904405
"Symphyotrichum_puniceum","AM",-1.27296567581289
"Symphyotrichum_laeve","AM",-1.20397280432594
"Symphyotrichum_novae-angliae","AM",-0.776528789498996
"Symphyotrichum_ericoides","AM",-1.11993807538286
"Heterotheca_villosa","AM",-1.51640304646691
"Solidago_ptarmicoides","AM",-0.941608539858445
"Solidago_nemoralis","AM",-1.00287038388861
"Solidago_decurrens","AM",-1.39341968606248
"Solidago_speciosa","AM",-0.967584026261706
"Solidago_rigida","AM",-0.729036753247427
"Solidago_missouriensis","AM",-1.1278866303424
"Solidago_canadensis","AM",-1.58133648232323
"Gutierrezia_sarothrae","AM",-1.32388310099849
"Erigeron_glabellus","AM",-1.18471498881144
"Erigeron_pumilus","AM",-1.69472350671646
"Erigeron_canadensis","AM",-1.04982212449868
"Doellingeria_umbellata","AM",-1.03761126711071
"Aster_lanceolatus","AM",-1.02165124753198
"Aster_laevis","AM",-1.05526548416474
"Aster_tataricus","AM",-1.62455155024415
"Doellingeria_scabra","AM",-1.55447635436013
"Olearia_avicenniaefolia","AM",-0.7339691750802
"Olearia_rani","AM",-0.621695113153306
"Artemisia_codonocephala","AM",-0.556869562267398
"Artemisia_barrelieri","AM",-0.856019113532587
"Artemisia_igniaria","AM",-1.78856457833154
"Artemisia_halodendron","AM",-1.02165124753198
"Artemisia_frigida","AM",-1.1719503009068
"Artemisia_mongolica","AM",-1.79516526236289
"Artemisia_ludoviciana","AM",-1.09111191591884
"Artemisia_cana","AM",-1.17118298150295
"Achillea_millefolium","AM",-1.50131621254399
"Leucanthemum_vulgare","AM",-1.32215592000366
"Crepis_foetida","AM",-1.26054315581433
"Crepis_tectorum","AM",-1.07880966137193
"Crepis_sancta","AM",-1.23787435600162
"Taraxacum_campylodes","AM",-1.37984023388009
"Picris_hieracioides","AM",-1.10061429133878
"Hypochaeris_radicata","AM",-0.937769763551279
"Nabalus_tatarinowii","AM",-1.72372705883623
"Launaea_arborescens","AM",-0.97796668739825
"Lactuca_tatarica","AM",-1.08967732461053
"Pilosella_peleteriana","AM",-0.423120043346885
"Pilosella_officinarum","AM",-0.854420393578897
"Cichorium_intybus","AM",-1.03770535282368
"Tragopogon_dubius","AM",-1.25596809944432
"Vernonia_fasciculata","AM",-1.17118298150295
"Arctotheca_calendula","AM",-1.43927802583485
"Centaurea_pectinata","AM",-0.617828168668102
"Saussurea_nivea","AM",-1.31788832845583
"Saussurea_mongolica","AM",-1.52601630429503
"Saussurea_amurensis","AM",-1.60395298220353
"Atractylis_humilis","AM",-0.934263783864405
"Adenocaulon_himalaicum","AM",-1.7521542146357
"Campanula_rotundifolia","AM",-1.95498452797642
"Carpodetus_serratus","AM",-0.659760761542312
"Musineon_divaricatum","AM",-0.665921194306354
"Zizia_aurea","AM",-1.17118298150295
"Tordylium_maximum","AM",-1.26940060964839
"Daucus_carota","AM",-1.6269474565705
"Sanicula_orthacantha","AM",-1.63616697217612
"Astrantia_minor","AM",-0.435408984481236
"Dendropanax_dentiger","AM",-2.06120877341878
"Eleutherococcus_senticosus","AM",-1.49387957179983
"Macropanax_undulatus","AM",-1.3329431856229
"Hedera_helix","AM",-0.604403970725557
"Schefflera_minutistellata","AM",-1.10072451785438
"Schefflera_heptaphylla","AM",-1.30729835489339
"Neopanax_arboreus","AM",-0.245370901590943
"Neopanax_colensoi","AM",-0.82098055206983
"Pseudopanax_crassifolius","AM",-0.400291016834435
"Raukaua_simplex","AM",-1.02165124753198
"Schefflera_digitata","AM",-0.529032025707978
"Pittosporum_eugenioides","AM",-0.877176862035255
"Pittosporum_tenuifolium","AM",-0.852544935574194
"Pennantia_corymbosa","AM",-0.697097831256685
"Abelia_biflora","AM",-0.636388846741336
"Lonicera_chrysantha","AM",-1.37229284148408
"Lonicera_maackii","AM",-1.36181997591662
"Symphoricarpos_occidentalis","AM",-1.19440758722351
"Viburnum_dentatum","AM",-0.622635945392983
"Viburnum_tinus","AM",-0.791256273670265
"Sambucus_williamsii","AM",-1.14348459495051
"Sambucus_canadensis","AM",-0.893453497971398
"Quintinia_serrata","AM",-0.981095955240271
"Ilex_macropoda","AM",-1.17118298150295
"Ilex_verticillata","AM",-0.449260268107836
"Ilex_opaca","AM",-1.50763007005328
"Ilex_pedunculosa","AM",-1.20397280432594
"Hedeoma_hispida","AM",-1.51412773262978
"Monarda_fistulosa","AM",-1.17118298150295
"Pycnanthemum_virginianum","AM",-1.07880966137193
"Clinopodium_nepeta","AM",-1.31118688863309
"Thymus_mastichina","AM",-1.26966754918817
"Thymus_hyemalis","AM",-0.874009802117656
"Thymus_dolomiticus","AM",-1.06633937257968
"Prunella_vulgaris","AM",-1.46562621040202
"Agastache_foeniculum","AM",-0.867500567704723
"Salvia_chinensis","AM",-1.83759400557185
"Rosmarinus_officinalis","AM",-0.85723596909284
"Lavandula_multifida","AM",-1.02191748667418
"Teucrium_charidemi","AM",-0.795955400541627
"Teucrium_chamaedrys","AM",-1.15677120284164
"Teucrium_fruticans","AM",-0.96410324909614
"Lamium_album","AM",-1.99952191850396
"Ballota_hirsuta","AM",-1.03627149326154
"Phlomoides_umbrosa","AM",-1.40833549199677
"Phlomis_purpurea","AM",-0.804721405832426
"Sideritis_pusilla","AM",-1.15621491880457
"Vitex_lucens","AM",-0.609204395776183
"Orthocarpus_luteus","NM",-1.57890870739928
"Strobilanthes_villosum","AM",-1.46120930494153
"Strobilanthes_dimorphotricha","AM",-1.31378767033314
"Rungia_pectinata","AM",-0.811930716549912
"Handroanthus_guayacan","AM",-0.11118243854321
"Tanaecium_pyramidatum","AM",-0.336783617355162
"Catalpa_bignonioides","AM",-1.25489793842263
"Verbena_hastata","AM",-1.13943428318836
"Verbascum_thapsus","AM",-1.10866262452161
"Veronica_persica","AM",-1.33941077522104
"Veronica_spuria","AM",-1.67825222843446
"Veronicastrum_virginicum","AM",-1.20397280432594
"Plantago_varia","AM",-0.599656837472607
"Plantago_lanceolata","AM",-1.62524270866686
"Plantago_patagonica","AM",-1.75311584756004
"Penstemon_grandiflorus","AM",-0.891598119283784
"Penstemon_nitidus","AM",-1.11963165589219
"Penstemon_procerus","AM",-0.940199276925831
"Penstemon_confertus","AM",-1.23959998196909
"Olea_rosea","AM",-0.930491081275296
"Olea_europaea","AM",-0.415515443961666
"Chionanthus_mildbraedii","AM",-0.527632742082372
"Chionanthus_virginicus","AM",-0.89960999466853
"Phillyrea_angustifolia","AM",-0.883652129758633
"Phillyrea_latifolia","AM",-0.874848929474494
"Osmanthus_didymopetalus","AM",-0.329212651291953
"Nestegis_lanceolata","AM",-0.294761618861747
"Fraxinus_mandshurica","AM",-1.2916504849435
"Fraxinus_angustifolia","AM",-0.781896430412575
"Fraxinus_excelsior","AM",-0.984347806534143
"Fraxinus_chinensis","AM",-1.00098013128691
"Fraxinus_nigra","AM",-0.550914862126268
"Fraxinus_americana","AM",-1.48406036599558
"Syringa_reticulata","AM",-1.44764890263791
"Jasminum_fruticans","AM",-0.799953184877755
"Galium_boreale","AM",-1.72653368431035
"Galium_aparine","AM",-1.66547930331773
"Rubia_peregrina","AM",-1.01473080468741
"Saprosma_ternatum","AM",-1.93060782904687
"Serissa_japonica","AM",-1.10866262452161
"Coprosma_lucida","AM",-0.798507696217772
"Coprosma_linariifolia","AM",-0.582782065967262
"Coprosma_rhamnoides","AM",-1.6094379124341
"Coprosma_ciliata","AM",-1.6094379124341
"Coprosma_foetidissima","AM",-0.994252273343867
"Psychotria_asiatica","AM",-1.56709707194458
"Catunaregam_spinosa","AM",-1.35871810534979
"Aidia_oxyodonta","AM",-2.59665696345913
"Coffea_arabica","AM",-0.27443684570176
"Diplospora_dubia","AM",-1.19964883284588
"Hypobathrum_racemosum","AM",-0.771487172011197
"Wendlandia_uvariifolia","AM",-1.49535058639633
"Alseis_blackiana","AM",-0.426667881549642
"Pertusadina_metcalfii","AM",-1.8679496075861
"Adina_pilulifera","AM",-1.98340435348289
"Chomelia_psilocarpa","AM",-0.61484577940408
"Asclepias_tuberosa","AM",-0.693147180559945
"Asclepias_syriaca","AM",-0.843970070294529
"Asclepias_incarnata","AM",-1.02165124753198
"Nerium_oleander","AM",-0.790888646145718
"Trachelospermum_axillare","AM",-1.23305838522103
"Alstonia_scholaris","AM",-0.646836277696695
"Gentiana_andrewsii","AM",-1.17118298150295
"Solanum_americanum","AM",-0.884307686021104
"Physalis_virginiana","AM",-1.20397280432594
"Withania_frutescens","AM",-0.937003773471697
"Merremia_umbellata","AM",-0.650087691099498
"Apodytes_dimidiata","AM",-0.59783700075562
"Arbutus_unedo","EcM",-0.693380541786559
"Actinidia_kolomikta","AM",-1.46967597005894
"Styrax_suberifolius","AM",-1.27421645771454
"Halesia_tetraptera","AM",-1.49420220736001
"Alniphyllum_fortunei","AM",-1.25360379689251
"Androsace_occidentalis","AM",-2.16394178475247
"Lysimachia_nemorum","AM",-0.763569644856491
"Ardisia_depressa","AM",-1.45083288225746
"Ardisia_quinquegona","AM",-0.867500567704723
"Ardisia_japonica","AM",-1.46924128194082
