binominal,state,RD
Abelia_biflora,AM,-0.6363888467413364
Abies_fargesii,EcM,-1.2913342598586361
Abies_nephrolepis,EcM,-0.8789147480343529
Acacia_auriculiformis,EcMAM,-1.0942219403668167
Acacia_crassicarpa,EcMAM,-1.487530062200767
Acacia_mangium,EcMAM,-1.3761460300680755
Acer_barbinerve,AM,-1.3771364233351249
Acer_campbellii,AM,-1.6620478627063977
Acer_caudatum,AM,-1.4677192400521906
Acer_coriaceifolium,AM,-1.4271163556401458
Acer_davidii,AM,-1.335563441435354
Acer_fabri,AM,-1.6989797610955961
Acer_negundo,AM,-1.4842747694800946
Acer_pictum,AM,-1.1592108241529209
Acer_platanoides,AM,-1.1155014103466747
Acer_pseudoplatanus,AM,-1.3223499439271242
Acer_rubrum,AM,-1.3599770528025175
Acer_saccharum,AM,-1.4958900398408619
Acer_tataricum,AM,-1.5155295123913795
Acer_tegmentosum,AM,-1.163794021421928
Acer_triflorum,AM,-1.452006904485272
Acer_truncatum,AM,-1.3578264410526426
Acronychia_pedunculata,AM,-1.2423152366141288
Actaea_cimicifuga,AM,-1.3203193721963578
Actinidia_kolomikta,AM,-1.4696759700589417
Adenocaulon_himalaicum,AM,-1.7521542146356957
Adiantum_pedatum,AM,-1.2092224596858088
Adina_pilulifera,AM,-1.9834043534828938
Aesculus_hippocastanum,AM,-1.3023237776603895
Aesculus_parviflora,AM,-1.580007225195049
Agrimonia_pilosa,AM,-1.4850103340590484
Aidia_oxyodonta,AM,-2.5966569634591274
Alangium_chinense,AM,-2.3735441819345398
Alchornea_tiliifolia,AM,-1.8971199848858813
Alchornea_trewioides,AM,-1.369240606554063
Allophylus_cobbe,AM,-1.8568101214823827
Alniphyllum_fortunei,AM,-1.2536037968925091
Alnus_formosana,EcM,-1.2321424604362348
Alnus_hirsuta,EcM,-1.4116079229593492
Alnus_mandshurica,EcM,-1.6251807227509556
Alpinia_japonica,AM,-1.7781524658218382
Alstonia_scholaris,AM,-0.6468362776966949
Altingia_gracilipes,AM,-0.8076354230135604
Altingia_obovata,AM,-1.1718990345819649
Anaphalis_aureopunctata,AM,-1.98813938327305
Anaphalis_hancockii,AM,-1.7220468568167546
Antidesma_maclurei,AM,-0.909985650739561
Aphanamixis_polystachya,AM,-1.7514081723485555
Aporosa_octandra,AM,-1.0034293896909183
Aporosa_yunnanensis,AM,-1.341952169769155
Archidendron_clypearia,AM,-1.306263961214402
Archidendron_lucidum,AM,-1.3449221180141588
Ardisia_depressa,AM,-1.4508328822574619
Ardisia_japonica,AM,-1.469241281940817
Ardisia_quinquegona,AM,-0.8675005677047231
Artemisia_halodendron,AM,-1.0216512475319814
Artemisia_igniaria,AM,-1.7885645783315358
Artemisia_mongolica,AM,-1.795165262362888
Artocarpus_styracifolius,AM,-1.262449734084912
Asimina_triloba,AM,-0.6446978458948621
Asparagus_schoberioides,AM,-1.0708998501015738
Aster_tataricus,AM,-1.6245515502441485
Astilbe_rivularis,NMAM,-0.9564618965634318
Astilbe_rubra,NMAM,-1.7620065110787073
Athyrium_multidentatum,AM,-1.4987590025403477
Athyrium_sinense,AM,-1.3262144109042224
Athyrium_spinulosum,AM,-1.7369169717199753
