"binominal","state","SRL"
"Rudbeckia_hirta","AM",5.69426756890243
"Ratibida_pinnata","AM",4.02535169073515
"Heliopsis_helianthoides","NM",4.15888308335967
"Liatris_aspera","AM",4.38202663467388
"Arnica_sororia","AM",4.34225660396333
"Arnica_fulgens","AM",2.76517150003119
"Hymenoxys_richardsonii","NMAM",4.2353712200147
"Helianthus_agrestis","AM",5.41311818202521
"Helianthus_grosseserratus","AM",5.3585889848896
"Helianthus_giganteus","AM",5.15669619688046
"Helianthus_maximiliani","AM",5.58825938340066
"Helianthus_verticillatus","AM",5.43256412823508
"Helianthus_salicifolius","AM",5.51324727808774
"Pappobolus_microphyllus","AM",5.63853258944808
"Helianthus_occidentalis","AM",5.69278893318134
"Helianthus_mollis","AM",5.65817474117807
"Helianthus_silphioides","AM",5.45553476774608
"Helianthus_atrorubens","AM",5.60285655606624
"Helianthus_longifolius","AM",5.85574027569081
"Helianthus_angustifolius","AM",5.78260392407685
"Helianthus_floridanus","AM",5.50577859046014
"Helianthus_petiolaris","AM",5.6947249118337
"Helianthus_neglectus","AM",5.59677245115988
"Helianthus_niveus","AM",5.54934842134914
"Helianthus_praecox","AM",5.94884406127134
"Helianthus_debilis","AM",5.77424093830476
"Helianthus_argophyllus","AM",5.63981268065158
"Helianthus_annuus","AM",5.49425414742403
"Helianthus_cusickii","AM",5.18004045895698
"Helianthus_pauciflorus","AM",3.95124371858143
"Helianthus_radula","AM",5.56367713999533
"Helianthus_porteri","AM",5.9748607979412
"Helianthus_carnosus","AM",5.60080184088099
"Helianthus_heterophyllus","AM",5.60410945817214
"Ambrosia_artemisiifolia","AM",4.85981240436167
"Echinacea_serotina","AM",3.55534806148941
"Eclipta_prostrata","NMAM",3.42100000895834
"Coreopsis_palmata","AM",4.72738781871234
"Helichrysum_italicum","EcMAM",2.91169127715811
"Helichrysum_stoechas","EcMAM",1.8107268950628
"Anaphalis_aureopunctata","AM",6.1720241358809
"Anaphalis_hancockii","AM",5.76787698692392
"Antennaria_parvifolia","AM",3.80529693426811
"Antennaria_neglecta","AM",4.82618325904432
"Leontopodium_nanum","AM",-0.967373522103471
"Inula_conyza","AM",5.10891077003085
"Haplopappus_spinulosus","AM",4.75115187600315
"Symphyotrichum_oolentangiense","AM",4.46590811865458
"Symphyotrichum_falcatum","AM",4.13519143659285
"Symphyotrichum_ciliolatum","AM",4.71076309414069
"Symphyotrichum_puniceum","AM",4.95582705760126
"Symphyotrichum_laeve","AM",4.48863636973214
"Symphyotrichum_novae-angliae","AM",3.95124371858143
"Symphyotrichum_ericoides","AM",4.49149744149952
"Heterotheca_villosa","AM",4.64999026646069
"Solidago_ptarmicoides","AM",3.52636052461616
"Solidago_nemoralis","AM",5.76465718112043
"Solidago_decurrens","AM",5.31263315491084
