"","host.families"
"Diaspididae_Lepidosaphes_ulmi",68
"Coccidae_Pulvinaria_psidii",59
"Kermesidae_Kermes_greeni",1
"Diaspididae_Megacanthaspis_actinodaphnes",1
"Diaspididae_Aspidiella_sacchari",2
"Diaspididae_Ichthyaspis_ficicola",1
"Eriococcidae_Cystococcus_echiniformis",1
"Pseudococcidae_Nipaecoccus_graminis",1
"Diaspididae_Palinaspis_quohogiformis",8
"Diaspididae_Rugaspidiotinus_nebulosus",1
"Eriococcidae_Apiomorpha_minor",1
"Diaspididae_Diaspis_echinocacti",6
"Dactylopiidae_Dactylopius_opuntiae",1
"Kermesidae_Kermes_quercus",1
"Diaspididae_Unachionaspis_tenuis",1
"Coccidae_Ceroplastes_ficus",7
"Pseudococcidae_Heliococcus_bohemicus",11
"Pseudococcidae_Dysmicoccus_wistariae",9
"Eriococcidae_Apiomorpha_spinifer",1
"Monophlebidae_Drosicha_mangiferae",4
"Diaspididae_Oceanaspidiotus_spinosus",34
"Eriococcidae_Ascelis_praemollis",1
"Pseudococcidae_Pseudococcus_maritimus",43
"Diaspididae_Duplachionaspis_divergens",1
"Coccidae_Neosaissetia_tropicalis",1
"Pseudococcidae_Maconellicoccus_hirsutus",69
"Diaspididae_Diaphoraspis_compacta",1
"Monophlebidae_Gueriniella_serratulae",11
"Diaspididae_Aulacaspis_difficilis",1
"Eriococcidae_Callococcus_acaciae",1
"Eriococcidae_Madarococcus_viridulus",1
"Eriococcidae_Cylindrococcus_casuarinae",1
"Eriococcidae_Apiomorpha_annulata",1
"Coccidae_Ceroplastes_kunmingensis",1
"Diaspididae_Furcaspis_biformis",13
"Diaspididae_Parlatoria_pseudaspidiotus",5
"Diaspididae_Pinnaspis_piperis",1
"Coelostomidiidae_Coelostomidia_deboerae",2
"Pseudococcidae_Pseudococcus_cryptus",39
"Monophlebidae_Icerya_seychellarum",62
"Diaspididae_Acutaspis_albopicta",13
"Pseudococcidae_Ferrisia_terani",3
"Diaspididae_Kuwanaspis_hikosani",1
"Eriococcidae_Eriococcus_irregularis",1
"Coelostomidiidae_Coelostomidia_montana",2
"Pseudococcidae_Melanococcus_albizziae",2
"Diaspididae_Hemiberlesia_rapax",59
"Diaspididae_Parlatoria_ziziphi",11
"Coccidae_Saissetia_miranda",26
"Pseudococcidae_Eucalyptococcus_lobulatus",1
"Diaspididae_Eudinaspis_calchaquensis",1
"Eriococcidae_Madarococcus_totarae",2
"Pseudococcidae_Dysmicoccus_brevipes",59
"Asterolecaniidae_Bambusaspis_miliaris",1
"Diaspididae_Pseudaulacaspis_pentagona",76
"Pseudococcidae_Saccharicoccus_sacchari",1
"Kerriidae_Kerria_ruralis",1
"Diaspididae_Mycetaspis_personata",16
"Coccidae_Coccus_viridis",55
"Pseudococcidae_Australicoccus_hibbertiae",1
"Pseudococcidae_Dysmicoccus_lepelleyi",17
"Pseudococcidae_Antonina_graminis",2
"Coelostomidiidae_Coelostomidia_zealandica",16
"Diaspididae_Abgrallaspis_perseae",1
"Kerriidae_Kerria_yunnanensis",1
"Pseudococcidae_Paradoxococcus_mcdanieli",1
"Pseudococcidae_Pseudococcus_viburni",81
"Diaspididae_Aspidiotus_excisus",18
"Dactylopiidae_Dactylopius_coccus",1
"Diaspididae_Aonidiella_taxus",2
"Pseudococcidae_Heliococcus_adenostomae",1
"Pseudococcidae_Rastrococcus_invadens",28
"Diaspididae_Lepidosaphes_gloverii",25
"Cryptococcidae_Cryptococcus_fagisuga",2
"Eriococcidae_Eriococcus_euphorbiae",5
"Diaspididae_Diaspis_boisduvalii",37
"Diaspididae_Poliaspoides_formosana",1
"Cryptococcidae_Cryptococcus_williamsi",1
"Lecanodiaspididae_Lecanodiaspis_prosopidis",36
"Pseudococcidae_Sphaerococcus_durus",1
"Pseudococcidae_Crisicoccus_matsumotoi",8
"Diaspididae_Protargionia_larreae",6
"Diaspididae_Leucaspis_lowi",2
"Monophlebidae_Crypticerya_rosae",6
"Diaspididae_Diaspidiotus_osborni",14
"Monophlebidae_Crypticerya_abrahami",1
"Diaspididae_Lepidosaphes_pallida",10
"Pseudococcidae_Puto_barberi",24
"Eriococcidae_Phacelococcus_subcorticalis",1
"Diaspididae_Chionaspis_americana",9
"Pseudococcidae_Heterococcus_nudus",2
"Diaspididae_Megacanthaspis_leucaspis",1
"Diaspididae_Entaspidiotus_lounsburyi",1
"Diaspididae_Parlatoria_oleae",54
"Diaspididae_Odonaspis_litorosa",1
"Diaspididae_Aonidomytilus_espinosai",2
"Diaspididae_Pseudaulacaspis_eugeniae",8
"Pseudococcidae_Rhizoecus_mayanus",6
"Diaspididae_Gymnaspis_aechmeae",6
"Pseudococcidae_Phenacoccus_baccharidis",1
"Diaspididae_Pinnaspis_hikosana",6
"Coccidae_Ericerus_pela",1
"Coccidae_Pulvinaria_saccharia",1
"Coccidae_Ceroplastes_destructor",25
"Diaspididae_Clavaspis_covilleae",9
"Eriococcidae_Cylindrococcus_spiniferus",1
"Eriococcidae_Eriococcus_serratilobis",1
"Diaspididae_Chionaspis_lepineyi",1
"Diaspididae_Aulacaspis_distylii",1
"Diaspididae_Unachionaspis_signata",1
"Pseudococcidae_Pseudococcus_jackbeardsleyi",44
"Diaspididae_Leucaspis_cordylinidis",4
"Coccidae_Eulecanium_kunoense",5
"Pseudococcidae_Nairobia_bifrons",1
"Pseudococcidae_Pseudoripersia_turgipes",1
