family,order,group
Amborellaceae,Amborellales,angiosperms
Cabombaceae,Nymphaeales,angiosperms
Hydatellaceae,Nymphaeales,angiosperms
Nymphaeaceae,Nymphaeales,angiosperms
Austrobaileyaceae,Austrobaileyales,angiosperms
Schisandraceae,Austrobaileyales,angiosperms
Trimeniaceae,Austrobaileyales,angiosperms
Canellaceae,Canellales,magnoliids
Winteraceae,Canellales,magnoliids
Aristolochiaceae,Piperales,magnoliids
Hydnoraceae,,
Lactoridaceae,,
Piperaceae,Piperales,magnoliids
Saururaceae,Piperales,magnoliids
Annonaceae,Magnoliales,magnoliids
Degeneriaceae,Magnoliales,magnoliids
Eupomatiaceae,Magnoliales,magnoliids
Himantandraceae,Magnoliales,magnoliids
Myristicaceae,Magnoliales,magnoliids
Magnoliaceae,Magnoliales,magnoliids
Atherospermataceae,Laurales,magnoliids
Calycanthaceae,Laurales,magnoliids
Gomortegaceae,Laurales,magnoliids
Hernandiaceae,Laurales,magnoliids
Lauraceae,Laurales,magnoliids
Monimiaceae,Laurales,magnoliids
Siparunaceae,Laurales,magnoliids
Chloranthaceae,Chloranthales,angiosperms
Acoraceae,Acorales,monocots
Alismataceae,Alismatales,monocots
Aponogetonaceae,Alismatales,monocots
Araceae,Alismatales,monocots
Butomaceae,Alismatales,monocots
Cymodoceaceae,Alismatales,monocots
Hydrocharitaceae,Alismatales,monocots
Juncaginaceae,Alismatales,monocots
Maundiaceae,Alismatales,monocots
Posidoniaceae,Alismatales,monocots
Potamogetonaceae,Alismatales,monocots
Ruppiaceae,Alismatales,monocots
Scheuchzeriaceae,Alismatales,monocots
Tofieldiaceae,Alismatales,monocots
Zosteraceae,Alismatales,monocots
Petrosaviaceae,Petrosaviales,monocots
Burmanniaceae,Dioscoreales,monocots
Dioscoreaceae,Dioscoreales,monocots
Nartheciaceae,Dioscoreales,monocots
Cyclanthaceae,Pandanales,monocots
Pandanaceae,Pandanales,monocots
Stemonaceae,Pandanales,monocots
Triuridaceae,Pandanales,monocots
Velloziaceae,Pandanales,monocots
Alstroemeriaceae,Liliales,monocots
Campynemataceae,Liliales,monocots
Colchicaceae,Liliales,monocots
Corsiaceae,Liliales,monocots
Liliaceae,Liliales,monocots
Melanthiaceae,Liliales,monocots
Petermanniaceae,Liliales,monocots
Philesiaceae,Liliales,monocots
Ripogonaceae,Liliales,monocots
Smilacaceae,Liliales,monocots
Amaryllidaceae,Asparagales,monocots
Asparagaceae,Asparagales,monocots
Asphodelaceae,Asparagales,monocots
Xanthorrhoeaceae,,
Asteliaceae,Asparagales,monocots
Blandfordiaceae,Asparagales,monocots
Boryaceae,Asparagales,monocots
Doryanthaceae,Asparagales,monocots
Hypoxidaceae,Asparagales,monocots
Iridaceae,Asparagales,monocots
Ixioliriaceae,Asparagales,monocots
Lanariaceae,Asparagales,monocots
Orchidaceae,Asparagales,monocots
Tecophilaeaceae,Asparagales,monocots
Xeronemataceae,Asparagales,monocots
Dasypogonaceae,Arecales,monocots
Arecaceae,Arecales,monocots
Palmae,,
Commelinaceae,Commelinales,monocots
Haemodoraceae,Commelinales,monocots
Hanguanaceae,Commelinales,monocots
Philydraceae,Commelinales,monocots
Pontederiaceae,Commelinales,monocots
Cannaceae,Zingiberales,monocots
Costaceae,Zingiberales,monocots
Heliconiaceae,Zingiberales,monocots
Lowiaceae,Zingiberales,monocots
Marantaceae,Zingiberales,monocots
Musaceae,Zingiberales,monocots
Strelitziaceae,Zingiberales,monocots
Zingiberaceae,Zingiberales,monocots
Bromeliaceae,Poales,monocots
Cyperaceae,Poales,monocots
Ecdeiocoleaceae,Poales,monocots
Eriocaulaceae,Poales,monocots
Flagellariaceae,Poales,monocots
Joinvilleaceae,Poales,monocots
Juncaceae,Poales,monocots
Mayacaceae,Poales,monocots
Poaceae,Poales,monocots
Gramineae,,
Rapateaceae,Poales,monocots
Restionaceae,Poales,monocots
Anarthriaceae,,
Centrolepidaceae,,
Thurniaceae,Poales,monocots
Typhaceae,Poales,monocots
Xyridaceae,Poales,monocots
Ceratophyllaceae,Ceratophyllales,Plantae
Berberidaceae,Ranunculales,eudicots
Circaeasteraceae,Ranunculales,eudicots
Eupteleaceae,Ranunculales,eudicots
Lardizabalaceae,Ranunculales,eudicots
Menispermaceae,Ranunculales,eudicots
Papaveraceae,Ranunculales,eudicots
Ranunculaceae,Ranunculales,eudicots
Nelumbonaceae,Proteales,eudicots
Platanaceae,Proteales,eudicots
Proteaceae,Proteales,eudicots
Sabiaceae,Proteales,eudicots
Trochodendraceae,Trochodendrales,eudicots
Buxaceae,Buxales,eudicots
Haptanthaceae,,
Gunneraceae,Gunnerales,core eudicots
Myrothamnaceae,Gunnerales,core eudicots
Dilleniaceae,Dilleniales,core eudicots
Altingiaceae,Saxifragales,superrosids
Aphanopetalaceae,Saxifragales,superrosids
Cercidiphyllaceae,Saxifragales,superrosids
Crassulaceae,Saxifragales,superrosids
Cynomoriaceae,Saxifragales,superrosids
Daphniphyllaceae,Saxifragales,superrosids
Grossulariaceae,Saxifragales,superrosids
Haloragaceae,Saxifragales,superrosids
Hamamelidaceae,Saxifragales,superrosids
Iteaceae,Saxifragales,superrosids
Paeoniaceae,Saxifragales,superrosids
Penthoraceae,Saxifragales,superrosids
Peridiscaceae,Saxifragales,superrosids
Saxifragaceae,Saxifragales,superrosids
Tetracarpaeaceae,Saxifragales,superrosids
Celastraceae,Celastrales,rosids
Lepidobotryaceae,Celastrales,rosids
Brunelliaceae,Oxalidales,rosids
Cephalotaceae,Oxalidales,rosids
Connaraceae,Oxalidales,rosids
Cunoniaceae,Oxalidales,rosids
Elaeocarpaceae,Oxalidales,rosids
Huaceae,Oxalidales,rosids
Oxalidaceae,Oxalidales,rosids
Achariaceae,Malpighiales,rosids
Balanopaceae,Malpighiales,rosids
Bonnetiaceae,Malpighiales,rosids
Calophyllaceae,Malpighiales,rosids
Caryocaraceae,Malpighiales,rosids
Centroplacaceae,Malpighiales,rosids
Chrysobalanaceae,Malpighiales,rosids
Clusiaceae,Malpighiales,rosids
Guttiferae,,
Ctenolophonaceae,Malpighiales,rosids
Dichapetalaceae,Malpighiales,rosids
Elatinaceae,Malpighiales,rosids
Erythroxylaceae,Malpighiales,rosids
Euphorbiaceae,Malpighiales,rosids
Euphroniaceae,Malpighiales,rosids
Goupiaceae,Malpighiales,rosids
Humiriaceae,Malpighiales,rosids
Hypericaceae,Malpighiales,rosids
Irvingiaceae,Malpighiales,rosids
Ixonanthaceae,Malpighiales,rosids
Lacistemataceae,Malpighiales,rosids
Linaceae,Malpighiales,rosids
Lophopyxidaceae,Malpighiales,rosids
Malpighiaceae,Malpighiales,rosids
Ochnaceae,Malpighiales,rosids
Pandaceae,Malpighiales,rosids
Passifloraceae,Malpighiales,rosids
Peraceae,Malpighiales,rosids
Phyllanthaceae,Malpighiales,rosids
Picrodendraceae,Malpighiales,rosids
Podostemaceae,Malpighiales,rosids
Putranjivaceae,Malpighiales,rosids
Rafflesiaceae,Malpighiales,rosids
Rhizophoraceae,Malpighiales,rosids
Salicaceae,Malpighiales,rosids
Trigoniaceae,Malpighiales,rosids
Violaceae,Malpighiales,rosids
Vitaceae,Vitales,rosids
Krameriaceae,Zygophyllales,fabids
Zygophyllaceae,Zygophyllales,fabids
Fabaceae,Fabales,fabids
Leguminosae,,
Polygalaceae,Fabales,fabids
Quillajaceae,Fabales,fabids
Surianaceae,Fabales,fabids
Barbeyaceae,Rosales,fabids
Cannabaceae,Rosales,fabids
Dirachmaceae,Rosales,fabids
Elaeagnaceae,Rosales,fabids
Moraceae,Rosales,fabids
Rhamnaceae,Rosales,fabids
Rosaceae,Rosales,fabids
Ulmaceae,Rosales,fabids
Urticaceae,Rosales,fabids
Betulaceae,Fagales,fabids
Casuarinaceae,Fagales,fabids
Fagaceae,Fagales,fabids
Juglandaceae,Fagales,fabids
Myricaceae,Fagales,fabids
Nothofagaceae,Fagales,fabids
Ticodendraceae,Fagales,fabids
Anisophylleaceae,Cucurbitales,fabids
Apodanthaceae,Cucurbitales,fabids
Begoniaceae,Cucurbitales,fabids
Coriariaceae,Cucurbitales,fabids
Corynocarpaceae,Cucurbitales,fabids
Cucurbitaceae,Cucurbitales,fabids
Datiscaceae,Cucurbitales,fabids
Tetramelaceae,Cucurbitales,fabids
Francoaceae,Geraniales,malvids
Bersamaceae,,
Greyiaceae,,
Ledocarpaceae,,
Melianthaceae,,
Rhynchothecaceae,,
Vivianiaceae,,
Geraniaceae,Geraniales,malvids
Alzateaceae,Myrtales,malvids
Combretaceae,Myrtales,malvids
Crypteroniaceae,Myrtales,malvids
Lythraceae,Myrtales,malvids
Melastomataceae,Myrtales,malvids
Myrtaceae,Myrtales,malvids
Onagraceae,Myrtales,malvids
Penaeaceae,Myrtales,malvids
Vochysiaceae,Myrtales,malvids
Aphloiaceae,Crossosomatales,malvids
Crossosomataceae,Crossosomatales,malvids
Geissolomataceae,Crossosomatales,malvids
Guamatelaceae,Crossosomatales,malvids
Stachyuraceae,Crossosomatales,malvids
Staphyleaceae,Crossosomatales,malvids
Strasburgeriaceae,Crossosomatales,malvids
Picramniaceae,Picramniales,malvids
Dipentodontaceae,Huerteales,malvids
Gerrardinaceae,Huerteales,malvids
Petenaeaceae,Huerteales,malvids
Tapisciaceae,Huerteales,malvids
Anacardiaceae,Sapindales,malvids
Biebersteiniaceae,Sapindales,malvids
Burseraceae,Sapindales,malvids
Kirkiaceae,Sapindales,malvids
Meliaceae,Sapindales,malvids
Nitrariaceae,Sapindales,malvids
Rutaceae,Sapindales,malvids
Sapindaceae,Sapindales,malvids
Xanthocerataceae,,
Simaroubaceae,Sapindales,malvids
Bixaceae,Malvales,malvids
Cistaceae,Malvales,malvids
Cytinaceae,Malvales,malvids
Dipterocarpaceae,Malvales,malvids
Malvaceae,Malvales,malvids
Muntingiaceae,Malvales,malvids
Neuradaceae,Malvales,malvids
Sarcolaenaceae,Malvales,malvids
Sphaerosepalaceae,Malvales,malvids
Thymelaeaceae,Malvales,malvids
Akaniaceae,Brassicales,malvids
Bataceae,Brassicales,malvids
Brassicaceae,Brassicales,malvids
Cruciferae,,
Capparaceae,Brassicales,malvids
Caricaceae,Brassicales,malvids
Cleomaceae,Brassicales,malvids
Emblingiaceae,Brassicales,malvids
Gyrostemonaceae,Brassicales,malvids
Koeberliniaceae,Brassicales,malvids
Limnanthaceae,Brassicales,malvids
Moringaceae,Brassicales,malvids
Pentadiplandraceae,Brassicales,malvids
Resedaceae,Brassicales,malvids
Borthwickiaceae,,
Stixidaceae,,
Salvadoraceae,Brassicales,malvids
Setchellanthaceae,Brassicales,malvids
Tovariaceae,Brassicales,malvids
Tropaeolaceae,Brassicales,malvids
Aextoxicaceae,Berberidopsidales,superasterids
Berberidopsidaceae,Berberidopsidales,superasterids
Balanophoraceae,Santalales,superasterids
Loranthaceae,Santalales,superasterids
Misodendraceae,Santalales,superasterids
Olacaceae,Santalales,superasterids
Opiliaceae,Santalales,superasterids
Santalaceae,Santalales,superasterids
Amphorogynaceae,,
Cervantesiaceae,,
Comandraceae,,
Nanodeaceae,,
Schoepfiaceae,Santalales,superasterids
Achatocarpaceae,Caryophyllales,superasterids
Aizoaceae,Caryophyllales,superasterids
Amaranthaceae,Caryophyllales,superasterids
Anacampserotaceae,Caryophyllales,superasterids
Ancistrocladaceae,Caryophyllales,superasterids
Asteropeiaceae,Caryophyllales,superasterids
Barbeuiaceae,Caryophyllales,superasterids
Basellaceae,Caryophyllales,superasterids
Cactaceae,Caryophyllales,superasterids
Caryophyllaceae,Caryophyllales,superasterids
Didiereaceae,Caryophyllales,superasterids
Dioncophyllaceae,Caryophyllales,superasterids
Droseraceae,Caryophyllales,superasterids
