binominal,F01286,F01287,F00679_mean,F00679_sem,F00727_mean,F00727_sem,F00709_mean,F00709_sem
Abies_alba,Abies,alba,-0.5966203707494703,0.06479660219647189,3.2543719205470523,0.45674275811569703,-1.461081124867259,0.23113404436332438
Abies_nephrolepis,Abies,nephrolepis,-0.8789146685609613,,3.2975338379252603,,-1.2740166493206921,
Acacia_auriculiformis,Acacia,auriculiformis,-0.7753055701278678,0.15707993365108386,3.024911447914422,0.5701878623865949,-1.2411749706876078,0.07762008666366987
Acacia_crassicarpa,Acacia,crassicarpa,-1.487530062200767,,4.684720464746101,,-1.0216512475319814,
Acacia_mangium,Acacia,mangium,-1.3761460300680755,,4.597037202757902,,-1.2378743560016174,
Acer_barbinerve,Acer,barbinerve,-1.3771364233351249,,4.96758145600384,,-1.878436748579971,
Acer_campbellii,Acer,campbellii,-1.6620478627063977,,4.370364110801968,,-0.7874578600311866,
Acer_campestre,Acer,campestre,-0.8653030230376122,0.019004662983492127,3.3400026295821728,0.4380317358426562,-1.3567826908951601,0.41517415103671507
Acer_caudatum,Acer,caudatum,-1.4443472925685077,,4.47043733121117,,-1.3470736479666092,
Acer_coriaceifolium,Acer,coriaceifolium,-1.2225553525715795,0.1350288746317662,4.408034582746001,0.2772239175091653,-1.6616558491158926,0.030418474580699545
Acer_davidii,Acer,davidii,-1.020158521156748,0.20528779864682797,3.3886243764703305,0.5432048532469419,-1.1048122787433943,0.16829601177330153
Acer_fabri,Acer,fabri,-1.643266200044407,0.044450298490941204,4.871722142864475,0.24890389126561807,-1.3314832993953076,0.2354563489234596
Acer_laurinum,Acer,laurinum,-0.470128275602159,0.051359424429590864,2.431427153454119,0.1506688392323653,-1.1592231439649348,0.043737012907886966
Acer_negundo,Acer,negundo,-1.2950432982538485,0.06304165578809248,3.5270792689807644,0.16310343015162787,-0.7057790196316883,0.16402349807458888
Acer_pictum,Acer,pictum,-1.2906239272267712,0.07466260587659326,4.326277430134553,0.07423258608861744,-1.4743883120884138,0.15055784204869826
