binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonyms
Strobilanthes dimorphotricha,Strobilanthes,Acanthaceae,-1.3137876703331426,4.915893556164899,-2.0067908508449257,AM,FRED4,['Goldfussia dimorphotricha']
Actinidia kolomikta,Actinidia,Actinidiaceae,-1.4696759700589417,5.413981572847829,-2.227361671756458,AM,FRED4,"['Prunus kolomikta', 'Trochostigma kolomikta']"
Saurauia herthae,Saurauia,Actinidiaceae,-0.6914486239243638,3.557723276431722,-1.9117071251102968,AM,"(Brundrett and Tedersoo, 2018)",
Liquidambar formosana,Liquidambar,Altingiaceae,-1.1894400293548808,4.180183962906685,-1.4099042264177275,AM,FRED4,
Liquidambar gracilipes,Liquidambar,Altingiaceae,-0.3331797400815809,1.505939282568458,0.0274935818207793,AM,"(Brundrett and Tedersoo, 2018)",['Altingia gracilipes']
Liquidambar obovata,Liquidambar,Altingiaceae,-0.8313326538357599,3.201961615171641,-1.360423719556248,AM,"(Brundrett and Tedersoo, 2018)",['Altingia obovata']
Liquidambar styraciflua,Liquidambar,Altingiaceae,-0.8888541556903018,3.278105913677281,-1.7612302641932325,AM,FRED4,
Chenopodium album,Chenopodium,Amaranthaceae,-1.1424441354848671,4.318127734795965,-0.762956829294146,NMAM,FRED4,"['Chenopodium viride var. album', 'Botrys albus', 'Atriplex alba']"
Krascheninnikovia ceratoides,Krascheninnikovia,Amaranthaceae,-1.4045601699267831,4.37709589063546,-1.0781971019659335,AM,FRED4,"['Axyris ceratoides', 'Ceratoides papposa', 'Diotis ceratoides', 'Eurotia ceratoides']"
Allium bidentatum,Allium,Amaryllidaceae,-0.6931471805599453,3.362629788512897,-1.7147984280919266,AM,FRED4,
Allium tenuissimum,Allium,Amaryllidaceae,-0.916290731874155,3.887935209899056,-1.8325814637483104,AM,FRED4,
Allium textile,Allium,Amaryllidaceae,-1.168659288052703,5.23566960080539,-2.25380866225225,AM,"(Soudzilovskaia et al., 2020)",
Choerospondias axillaris,Choerospondias,Anacardiaceae,-0.934136525019744,3.950596739463772,-1.2032846134058608,AM,FRED4,"['Spondias axillaris', 'Poupartia axillaris']"
Pentaspadon motleyi,Pentaspadon,Anacardiaceae,-1.2089853461494804,3.666321662240143,-1.0291936338397516,AM,"(Brundrett and Tedersoo, 2018)",
Pistacia chinensis,Pistacia,Anacardiaceae,-1.4309988829043705,4.505128831807865,-0.4307829160924542,AM,FRED4,
Pistacia lentiscus,Pistacia,Anacardiaceae,-0.8466947089862523,2.4433962786339625,-0.3503348434897918,AM,FRED4,"['Lentiscus vulgaris', 'Terebinthus lentiscus']"
Pistacia terebinthus,Pistacia,Anacardiaceae,-0.7980633505095052,2.158969708422966,-0.3096421529773996,AM,FRED4,['Terebinthus vulgaris']
Rhus typhina,Rhus,Anacardiaceae,-0.7985076962177716,4.329416684401584,-2.407945608651872,AM,FRED4,"['Toxicodendron typhinum', 'Rhus hirta var. typhina', 'Rhus hirta f. typhina']"
Semecarpus reticulata,Semecarpus,Anacardiaceae,-0.2578068870392123,2.030533194377053,-1.018721169406593,AM,"(Brundrett and Tedersoo, 2018)",
Tapirira guianensis,Tapirira,Anacardiaceae,-0.5599936276260311,2.7432242997777068,-1.2712424931634494,AM,FRED4,"['Joncquetia guianensis', 'Bursera bahiensis']"
Toxicodendron acuminatum,Toxicodendron,Anacardiaceae,-0.605930268527423,2.52095067919055,-0.899035680228222,AM,"(Soudzilovskaia et al., 2020)","['Rhus acuminata', 'Toxicodendron succedaneum var. acuminatum', 'Rhus succedanea var. acuminata']"
Anaxagorea javanica,Anaxagorea,Annonaceae,-0.2086860662252831,1.87031297474414,-1.0627628528511366,AM,"(Brundrett and Tedersoo, 2018)",
Asimina triloba,Asimina,Annonaceae,-0.4480374930432856,2.5308123210323195,-1.8045070413753383,AM,FRED4,"['Uvaria triloba', 'Porcelia triloba', 'Annona triloba']"
Goniothalamus griffithii,Goniothalamus,Annonaceae,-0.2085060991411194,1.9886647410735847,-1.0907280204977472,AM,FRED4,
Mitrephora tomentosa,Mitrephora,Annonaceae,-0.2116817119631353,1.908401688029905,-1.156115725080325,AM,"(Brundrett and Tedersoo, 2018)",['Kinginda tomentosa']
Monoon simiarum,Monoon,Annonaceae,-0.2435801297274421,2.069446454742004,-0.980094842756968,AM,"(Brundrett and Tedersoo, 2018)","['Polyalthia simiarum', 'Unona simiarum', 'Guatteria simiarum']"
Orophea creaghii,Orophea,Annonaceae,-0.9179420946233856,3.813527758679047,-0.941608539858445,AM,FRED4,['Mezzettiopsis creaghii']
Pseuduvaria trimera,Pseuduvaria,Annonaceae,-0.0865751081687126,1.1719895530866142,-0.7281021137437229,AM,"(Brundrett and Tedersoo, 2018)",['Mitrephora trimera']
Unonopsis rufescens,Unonopsis,Annonaceae,-0.4300139810295771,2.2827386286430364,-1.1793097368874654,AM,"(Brundrett and Tedersoo, 2018)",['Trigynaea rufescens']
Daucus carota,Daucus,Apiaceae,-1.3704210119636004,5.953243334287785,-2.551046452292545,AM,FRED4,['Caucalis carota']
Musineon divaricatum,Musineon,Apiaceae,-0.6659211943063538,3.5699012105435526,-1.4980539069703855,AM,"(Brundrett and Tedersoo, 2018)","['Marathrum divaricatum', 'Seseli divaricatum', 'Adorium divaricatum']"
Sanicula orthacantha,Sanicula,Apiaceae,-1.6361669721761247,5.021999850863013,-1.5021923840296554,AM,FRED4,
Tordylium maximum,Tordylium,Apiaceae,-1.3783261914707137,5.613128106388071,-2.375155785828881,AM,"(Brundrett and Tedersoo, 2018)","['Heracleum tordylium', 'Pastinaca tordylium', 'Pastinaca maxima', 'Caucalis maxima']"
Zizia aurea,Zizia,Apiaceae,-1.171182981502945,4.605170185988092,-2.0402208285265546,AM,"(Soudzilovskaia et al., 2020)","['Smyrnium aureum', 'Sison aureum', 'Carum aureum', 'Thaspium aureum']"
Alstonia scholaris,Alstonia,Apocynaceae,-0.6468362776966949,3.248822901236153,-1.7719568419318752,AM,FRED4,"['Echites scholaris', 'Pala scholaris']"
Asclepias incarnata,Asclepias,Apocynaceae,-1.0216512475319814,4.248495242049359,-1.9661128563728327,AM,(Maherali et. al. 2016),['Acerates incarnata']
Asclepias syriaca,Asclepias,Apocynaceae,-0.843970070294529,3.871201010907891,-1.9661128563728327,AM,(Maherali et. al. 2016),
Asclepias tuberosa,Asclepias,Apocynaceae,-0.6931471805599453,3.1354942159291497,-1.5141277326297755,AM,(Maherali et. al. 2016),
Nerium oleander,Nerium,Apocynaceae,-0.7908886461457182,2.651735308339481,-0.6148824414592808,AM,"(Soudzilovskaia et al., 2020)",
Trachelospermum axillare,Trachelospermum,Apocynaceae,-1.2330583852210326,4.350516641221867,-1.6094379124341005,AM,FRED4,
Ilex laurina,Ilex,Aquifoliaceae,-0.7442476598533103,2.86780731723955,-1.1175745731537348,AM,"(Brundrett and Tedersoo, 2018)",
Ilex macropoda,Ilex,Aquifoliaceae,-1.171182981502945,4.40745068701404,-1.4271163556401458,AM,"(Brundrett and Tedersoo, 2018)","['Ilex montana var. macropoda', 'Ilex monticola var. macropoda', 'Ilex dubia var. macropoda', 'Ilex ambigua subsp. macropoda', 'Ilex ambigua var. macropoda']"
Ilex opaca,Ilex,Aquifoliaceae,-0.7905983466406129,3.4221609714634997,-1.8255748177227853,AM,FRED4,"['Ageria opaca', 'Ilex aquifolium var. opaca']"
Ilex pedunculosa,Ilex,Aquifoliaceae,-1.203972804325936,4.00369019395397,-1.2378743560016174,AM,"(Soudzilovskaia et al., 2020)",
Ilex teratopis,Ilex,Aquifoliaceae,-0.5304332700721992,1.9828099600773288,-0.6580511931733615,AM,"(Brundrett and Tedersoo, 2018)",
Ilex verticillata,Ilex,Aquifoliaceae,-0.4492602681078358,3.423506973046555,-2.282938095454607,AM,(Maherali et. al. 2016),['Prinos verticillatus']
Dendropanax dentigerus,Dendropanax,Araliaceae,-2.0612087734187763,5.4083710520356005,-0.8754687365539,AM,FRED4,"['Textoria dentigera', 'Dendropanax chevalieri var. dentigerus', 'Gilibertia dentigera']"
Eleutherococcus senticosus,Eleutherococcus,Araliaceae,-1.493879571799828,5.263640884001318,-2.014903023042265,AM,FRED4,"['Hedera senticosa', 'Acanthopanax senticosus']"
Hedera helix,Hedera,Araliaceae,-0.6044039707255567,2.6615401246560184,-1.177521365394086,AM,FRED4,
Heptapleurum heptaphyllum,Heptapleurum,Araliaceae,-1.3072983548933927,5.059335988231617,-2.2072749131897207,AM,FRED4,"['Aralia heptaphylla', 'Sciodaphyllum heptaphyllum', 'Schefflera heptaphylla', 'Vitis heptaphylla', 'Ampelopsis heptaphylla']"
Heptapleurum minutistellatum,Heptapleurum,Araliaceae,-1.100724517854384,3.635214929528243,-1.0498221244986778,AM,FRED4,['Schefflera minutistellata']
Macropanax undulatus,Macropanax,Araliaceae,-1.3329431856228962,3.3568971227655755,-1.1394342831883648,AM,FRED4,"['Hedera undulata', 'Paratropia undulata']"
Neopanax arboreus,Neopanax,Araliaceae,-0.2453709015909429,2.884487803959676,-2.0670521046976518,AM,FRED4,"['Pseudopanax arboreus', 'Panax arboreus', 'Nothopanax arboreus']"
Neopanax colensoi,Neopanax,Araliaceae,-0.8209805520698302,3.104586678466073,-1.272965675812887,AM,FRED4,"['Nothopanax colensoi', 'Panax colensoi', 'Pseudopanax colensoi']"
Oreopanax sessiliflorus,Oreopanax,Araliaceae,-0.4236266946585689,2.8286860515114296,-1.704448024485479,AM,"(Brundrett and Tedersoo, 2018)",['Hedera sessiliflora']
Pseudopanax crassifolius,Pseudopanax,Araliaceae,-0.4002910168344353,3.1820720849325004,-2.011957042948646,AM,FRED4,"['Hedera crassifolia', 'Aralia crassifolia', 'Panax crassifolius']"
Raukaua simplex,Raukaua,Araliaceae,-1.0216512475319814,3.459466289786131,-1.203972804325936,AM,FRED4,"['Neopanax simplex', 'Pseudopanax simplex', 'Nothopanax simplex', 'Panax simplex']"
Schefflera digita,Schefflera,Araliaceae,-0.5290320257079781,3.8132561635075457,-2.401945917845248,AM,FRED4,
Sciodaphyllum acuminatum,Sciodaphyllum,Araliaceae,-1.061605563039014,3.71325494325525,-1.3481945143642555,AM,"(Brundrett and Tedersoo, 2018)","['Brassaia acuminata', 'Schefflera acuminata', 'Actinophyllum acuminatum']"
Agathis australis,Agathis,Araucariaceae,-0.4628506065533998,2.638282937179391,-1.436390356836342,AM,FRED4,"['Dammara australis', 'Salisburyodendron australis']"
Agathis kinabaluensis,Agathis,Araucariaceae,-0.2940355464239563,2.4272333975591565,-1.554713012744854,AM,FRED4,
Agathis moorei,Agathis,Araucariaceae,-0.5331722250884879,2.682398818810134,-1.2315269549360046,AM,FRED4,"['Salisburyodendron moorei', 'Dammara moorei']"
Araucaria luxurians,Araucaria,Araucariaceae,-0.5620214568211797,3.1834897482442184,-1.4713117681169274,AM,FRED4,"['Eutassa luxurians', 'Araucaria columnaris f. luxurians', 'Araucaria cookii var. luxurians']"
Araucaria rulei,Araucaria,Araucariaceae,-1.074093354573609,3.759017441866033,-0.9940989202381906,AM,FRED4,"['Eutassa rulei', 'Eutacta rulei']"
Calamus rhabdocladus,Calamus,Arecaceae,-1.520054351299415,4.637108263275592,-1.368275853831498,AM,FRED4,
Caryota maxima,Caryota,Arecaceae,-1.2301456786299592,4.05301196636022,-1.3342833741352949,AM,FRED4,['Caryota rumphiana var. javanica']
Rhopalostylis sapida,Rhopalostylis,Arecaceae,-0.6680644001924823,3.1034160946192197,-1.3494013602327652,AM,FRED4,
Asparagus schoberioides,Asparagus,Asparagaceae,-1.0708998501015738,4.78553148940686,-2.406725353466155,AM,FRED4,
Convallaria majalis,Convallaria,Asparagaceae,-0.8673815271712808,4.235455147957244,-2.1553834116274024,AM,"(Soudzilovskaia et al., 2020)","['Polygonatum majale', 'Lilium-convallium majale']"
Hosta ventricosa,Hosta,Asparagaceae,-0.8988192509621502,4.101969221654853,-2.0661963122982363,AM,FRED4,"['Niobe caerulea', 'Hemerocallis caerulea', 'Saussurea caerulea', 'Funkia caerulea', 'Hosta japonica var. caerulea', 'Funkia ovata var. caerulea']"
Asplenium bulbiferum,Asplenium,Aspleniaceae,-0.843970070294529,3.459466289786131,-1.6094379124341005,NMAM,"(Soudzilovskaia et al., 2020)","['Asplenium marinum var. bulbiferum', 'Caenopteris bulbifera', 'Chamaefilix bulbifera']"
Blechnum fluviatilis,Blechnum,Aspleniaceae,-1.171182981502945,3.758871825933971,-1.2378743560016174,AM,"(Soudzilovskaia et al., 2020)",
Blechnum lanceolatum,Blechnum,Aspleniaceae,-0.8915981192837836,3.478158422798284,-1.5606477482646683,AM,"(Soudzilovskaia et al., 2020)",
Astelia fragrans,Astelia,Asteliaceae,-0.0618754037180875,2.5572273113676265,-2.407945608651872,AM,FRED4,['Funckia fragrans']
Astelia nervosa,Astelia,Asteliaceae,-0.0512932943875505,2.6741486494265287,-2.407945608651872,AM,FRED4,['Funckia nervosa']
Achillea millefolium,Achillea,Asteraceae,-1.1099833619680337,5.267111200846772,-2.03473035444365,AM,"(Soudzilovskaia et al., 2020)","['Chamaemelum millefolium', 'Alitubus millefolium', 'Santolina millefolium']"
Adenocaulon himalaicum,Adenocaulon,Asteraceae,-1.7521542146356957,5.262232519941716,-1.5056411187524568,AM,FRED4,
Ambrosia artemisiifolia,Ambrosia,Asteraceae,-1.0216512475319814,4.859812404361672,-2.525728644308256,AM,(Maherali et. al. 2016),['Ambrosia elatior var. artemisiifolia']
Anaphalis aureopunctata,Anaphalis,Asteraceae,-1.98813938327305,6.172024135880895,-1.9117187840129164,AM,"(Soudzilovskaia et al., 2020)",
Anaphalis hancockii,Anaphalis,Asteraceae,-1.7220468568167546,5.7678769869239215,-2.0730106482726223,AM,FRED4,
Antennaria neglecta,Antennaria,Asteraceae,-1.2911660160283132,4.826183259044324,-1.8364953630694465,AM,"(Soudzilovskaia et al., 2020)",
Antennaria parvifolia,Antennaria,Asteraceae,-1.0511086660241429,3.805296934268106,-1.3846290804697148,AM,FRED4,['Antennaria dioica var. parvifolia']
Arnica fulgens,Arnica,Asteraceae,-0.6627149734397434,2.7651715000311867,-1.124452334533328,AM,(Maherali et. al. 2016),['Arnica montana var. fulgens']
Arnica sororia,Arnica,Asteraceae,-1.4134600291926602,4.3422566039633335,-1.203972804325936,AM,"(Soudzilovskaia et al., 2020)",['Arnica fulgens var. sororia']
Artemisia barrelieri,Artemisia,Asteraceae,-0.8560191135325868,1.6239199287813029,-0.7989399985358439,AM,"(Brundrett and Tedersoo, 2018)",['Seriphidium barrelieri']
Artemisia cana,Artemisia,Asteraceae,-1.171182981502945,4.023913586086754,-1.3406721008922715,AM,"(Soudzilovskaia et al., 2020)",['Seriphidium canum']
Artemisia frigida,Artemisia,Asteraceae,-1.1719503009068022,4.163993645323009,-1.3898099830162984,AM,FRED4,['Absinthium frigidum']
Artemisia igniaria,Artemisia,Asteraceae,-1.7885645783315358,5.318869012769295,-1.5018072470172452,AM,FRED4,
Artemisia ludoviciana,Artemisia,Asteraceae,-1.0911119159188427,4.435120834310792,-1.6843693250603526,AM,FRED4,"['Artemisia vulgaris var. ludoviciana', 'Artemisia vulgaris subsp. ludoviciana']"
Artemisia mongolica,Artemisia,Asteraceae,-1.795165262362888,5.276430365583576,-1.4395388757949528,AM,FRED4,['Artemisia vulgaris var. mongolica']
Aster lanceolatus,Aster,Asteraceae,-1.0216512475319814,4.219507705176107,-1.8971199848858813,AM,"(Soudzilovskaia et al., 2020)",
Aster scaber,Aster,Asteraceae,-1.554476354360126,5.389988204702237,-2.0281482500922854,AM,FRED4,"['Cardiagyris scabra', 'Doellingeria scabra']"
Aster tataricus,Aster,Asteraceae,-1.6245515502441483,5.694102440602895,-2.184802057337662,AM,FRED4,
Atractylis humilis,Atractylis,Asteraceae,-0.9342637838644056,1.7067240685289604,-0.651258991746882,AM,"(Brundrett and Tedersoo, 2018)",
Centaurea pectinata,Centaurea,Asteraceae,-0.7546182979276673,4.227395880962928,-2.069962450555541,AM,"(Brundrett and Tedersoo, 2018)",['Jacea pectinata']
Chrysopsis villosa,Chrysopsis,Asteraceae,-1.516403046466911,4.649990266460689,-1.3781642363321869,AM,"(Soudzilovskaia et al., 2020)",
Cichorium intybus,Cichorium,Asteraceae,-1.0377053528236777,5.937234329179472,-3.884458277410389,AM,FRED4,
Coreopsis palmata,Coreopsis,Asteraceae,-1.1086626245216111,4.727387818712341,-2.302585092994045,AM,"(Brundrett and Tedersoo, 2018)",
Crepis foetida,Crepis,Asteraceae,-1.3625778345025743,5.707110264748875,-2.631089159966082,AM,(Maherali et. al. 2016),"['Hostia foetida', 'Wibelia foetida', 'Rhynchopappus foetidus', 'Anisoderis foetida', 'Arnoseris foetida', 'Barkhausia foetida', 'Berinia foetida', 'Picris foetida', 'Hieracium foetidum', 'Hieracioides foetida']"
Crepis tectorum,Crepis,Asteraceae,-1.0788096613719298,4.77912349311153,-2.407945608651872,AM,"(Soudzilovskaia et al., 2020)","['Hieracioides tectorum', 'Hedypnois tectorum', 'Hieracium tectorum']"
Critoniopsis floribunda,Critoniopsis,Asteraceae,-0.7812136594283959,3.183113087778216,-1.2738928179763866,AM,"(Brundrett and Tedersoo, 2018)",['Vernonia floribunda']
Critoniopsis pycnantha,Critoniopsis,Asteraceae,-0.5581943625143599,2.8216702749080937,-1.2604128377754826,AM,"(Brundrett and Tedersoo, 2018)",['Vernonia pycnantha']
Echinacea serotina,Echinacea,Asteraceae,-0.8915981192837836,3.555348061489413,-1.5141277326297755,AM,"(Brundrett and Tedersoo, 2018)",
Erigeron canadensis,Erigeron,Asteraceae,-1.0498221244986778,4.77912349311153,-2.407945608651872,AM,FRED4,"['Leptilon canadense', 'Marsea canadensis', 'Conyzella canadensis', 'Tessenia canadensis', 'Trimorpha canadensis', 'Conyza canadensis']"
Erigeron glabellus,Erigeron,Asteraceae,-1.1847149888114397,3.9811057282116815,-1.2907429231479308,AM,"(Brundrett and Tedersoo, 2018)",['Tessenia glabella']
Erigeron pumilus,Erigeron,Asteraceae,-1.6947235067164608,4.437386082817152,-1.203972804325936,AM,"(Brundrett and Tedersoo, 2018)","['Tessenia pumila', 'Fragmosa pumila', 'Erigeron hirsutus']"
Gutierrezia sarothrae,Gutierrezia,Asteraceae,-1.3238831009984935,4.4387154166359855,-1.491654876777717,AM,(Maherali et. al. 2016),"['Xanthocephalum sarothrae', 'Solidago sarothrae']"
Helianthus agrestis,Helianthus,Asteraceae,-0.6488566675108559,5.413118182025214,-3.270169119255751,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus angustifolius,Helianthus,Asteraceae,-0.5983864213564506,5.7826039240768505,-3.4845789906012063,AM,"(Brundrett and Tedersoo, 2018)",['Discomela angustifolius']
Helianthus annuus,Helianthus,Asteraceae,-0.5339972407402029,5.49425414742403,-3.391247050808987,AM,(Maherali et. al. 2016),
Helianthus argophyllus,Helianthus,Asteraceae,-0.7637472571951524,5.63981268065158,-3.4420193761824103,AM,(Maherali et. al. 2016),['Helianthus annuus var. argophyllus']
Helianthus atrorubens,Helianthus,Asteraceae,-0.6416097839677622,5.60285655606624,-3.4112477175156566,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus carnosus,Helianthus,Asteraceae,-0.4752483078936949,5.6008018408809885,-3.4420193761824103,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus cusickii,Helianthus,Asteraceae,-0.5165030599496425,5.180040458956984,-3.366795954944823,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus debilis,Helianthus,Asteraceae,-0.8116420645202245,5.774240938304763,-3.381394754365976,AM,(Maherali et. al. 2016),['Helianthus annuus var. debilis']
Helianthus floridanus,Helianthus,Asteraceae,-0.4061756504836199,5.50577859046014,-3.366795954944823,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus giganteus,Helianthus,Asteraceae,-0.7564867052255949,5.156696196880458,-2.6980998702490417,AM,"(Brundrett and Tedersoo, 2018)",['Helianthus angustifolius subsp. giganteus']
Helianthus grosseserratus,Helianthus,Asteraceae,-0.6766220851749594,5.358588984889605,-3.324236340526028,AM,"(Soudzilovskaia et al., 2020)",
Helianthus heterophyllus,Helianthus,Asteraceae,-0.4591738278144724,5.604109458172135,-3.5578511917075324,AM,"(Brundrett and Tedersoo, 2018)",['Helianthus atrorubens subsp. heterophyllus']
Helianthus longifolius,Helianthus,Asteraceae,-0.7639208367031093,5.85574027569081,-3.4845789906012063,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus maximiliani,Helianthus,Asteraceae,-0.641252355128475,5.588259383400662,-3.3382225825007668,AM,(Maherali et. al. 2016),
Helianthus mollis,Helianthus,Asteraceae,-0.790852825200569,5.658174741178069,-3.366795954944823,AM,"(Soudzilovskaia et al., 2020)",
Helianthus neglectus,Helianthus,Asteraceae,-0.930533505341834,5.5967724511598815,-3.506557897319982,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus niveus,Helianthus,Asteraceae,-0.5583792527602542,5.549348421349137,-3.079113882493042,AM,(Maherali et. al. 2016),"['Helianthus annuus var. niveus', 'Encelia nivea']"
Helianthus occidentalis,Helianthus,Asteraceae,-0.7811273685135821,5.692788933181335,-3.324236340526028,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus pauciflorus,Helianthus,Asteraceae,-1.0216512475319814,3.951243718581428,-1.6607312068216509,AM,"(Soudzilovskaia et al., 2020)",
Helianthus petiolaris,Helianthus,Asteraceae,-0.7987436685014857,5.6947249118337,-3.4577677331505496,AM,(Maherali et. al. 2016),['Helianthus annuus subsp. petiolaris']
Helianthus porteri,Helianthus,Asteraceae,-0.7703298974643312,5.974860797941202,-3.391247050808987,AM,"(Brundrett and Tedersoo, 2018)","['Gymnolomia porteri', 'Rudbeckia porteri']"
Helianthus praecox,Helianthus,Asteraceae,-0.8292986425705315,5.948844061271341,-3.381394754365976,AM,"(Brundrett and Tedersoo, 2018)","['Helianthus debilis subsp. praecox', 'Helianthus cucumerifolius var. praecox']"
