binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonym
Ratibida_pinnata,Ratibida,Asteraceae,-0.820980552,4.025351691,-2.120263536,AM,"(Soudzilovskaia et al., 2020)","('Lepachys pinnata', 'Rudbeckia pinnata', 'Helianthus pinnatus', 'Obeliscaria pinnata')"
Heliopsis_helianthoides,Heliopsis,Asteraceae,-0.967584026,4.15888308335967,-1.966112856,AM,"(Brundrett and Tedersoo, 2018)","('Buphthalmum helianthoides',)"
Liatris_aspera,Liatris,Asteraceae,-0.798507696,4.38202663467388,-2.525728644,AM,Maherali et. al. 2016,"('Lacinaria scariosa var. aspera', 'Lacinaria aspera')"
Arnica_sororia,Arnica,Asteraceae,-1.413460029,4.34225660396333,-1.203972804,AM,"(Soudzilovskaia et al., 2020)","('Arnica fulgens var. sororia',)"
Arnica_fulgens,Arnica,Asteraceae,-0.662714973,2.76517150003119,-1.124452335,AM,Maherali et. al. 2016,"('Arnica montana var. fulgens',)"
Hymenoxys_richardsonii,Hymenoxys,Asteraceae,-1.264430773,4.2353712200147,-1.460060512,AM,"(Soudzilovskaia et al., 2020)","('Picradenia richardsonii', 'Actinea richardsonii', 'Actinella richardsonii')"
Helianthus_agrestis,Helianthus,Asteraceae,-0.648856668,5.41311818202521,-3.270169119,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus_grosseserratus,Helianthus,Asteraceae,-0.676622085,5.3585889848896,-3.324236341,AM,"(Soudzilovskaia et al., 2020)",
Helianthus_giganteus,Helianthus,Asteraceae,-0.756486705,5.15669619688046,-2.69809987,AM,"(Brundrett and Tedersoo, 2018)","('Helianthus angustifolius subsp. giganteus',)"
Helianthus_maximiliani,Helianthus,Asteraceae,-0.641252355,5.58825938340066,-3.338222583,AM,Maherali et. al. 2016,
Helianthus_verticillatus,Helianthus,Asteraceae,-0.606973512,5.43256412823508,-3.182061852,AM,"(Brundrett and Tedersoo, 2018)",
Helianthus_salicifolius,Helianthus,Asteraceae,-0.908354644,5.51324727808774,-3.283414346,AM,"(Brundrett and Tedersoo, 2018)",
