"binominal","F01286","F01289","F00679D","F00727D","F00709D","F00679O","F00727O","F00709O","state","synonym"
"Anaphalis_aureopunctata","Anaphalis","Asteraceae",-1.98813938327305,6.1720241358809,-1.91171878401292,-1.98813938327305,6.1720241358809,-1.91171878401292,"AM",""
"Anaphalis_hancockii","Anaphalis","Asteraceae",-1.72204685681675,5.76787698692392,-2.07301064827262,-1.72204685681675,5.76787698692392,-2.07301064827262,"AM",""
"Solidago_decurrens","Solidago","Asteraceae",-1.39341968606248,5.31263315491084,-2.28683673196341,-1.39341968606248,5.31263315491084,-2.28683673196341,"AM",""
"Aster_scaber","Aster","Asteraceae",-1.55447635436013,5.38998820470224,-2.02814825009229,-1.55447635436013,5.38998820470224,-2.02814825009229,"AM","('Cardiagyris scabra', 'Doellingeria scabra')"
"Aster_tataricus","Aster","Asteraceae",-1.62455155024415,5.69410244060289,-2.18480205733766,-1.62455155024415,5.69410244060289,-2.18480205733766,"AM",""
"Artemisia_igniaria","Artemisia","Asteraceae",-1.78856457833154,5.3188690127693,-1.50180724701725,-1.78856457833154,5.3188690127693,-1.50180724701725,"AM",""
"Artemisia_mongolica","Artemisia","Asteraceae",-1.79516526236289,5.27643036558358,-1.43953887579495,-1.79516526236289,5.27643036558358,-1.43953887579495,"AM","('Artemisia vulgaris var. mongolica',)"
"Nabalus_tatarinowii","Nabalus","Asteraceae",-1.72372705883623,5.837122182327,-2.14843441030964,-1.72372705883623,5.837122182327,-2.14843441030964,"AM","('Prenanthes tatarinowii',)"
"Saussurea_nivea","Saussurea","Asteraceae",-1.31788832845583,4.76606890365125,-1.88706964583238,-1.31788832845583,4.76606890365125,-1.88706964583238,"AM",""
"Saussurea_mongolica","Saussurea","Asteraceae",-1.52601630429503,5.01532496040111,-1.70660166354081,-1.52601630429503,5.01532496040111,-1.70660166354081,"AM","('Saussurea ussuriensis var. mongolica',)"
"Saussurea_amurensis","Saussurea","Asteraceae",-1.60395298220353,5.5051756973674,-2.05127066137981,-1.60395298220353,5.5051756973674,-2.05127066137981,"AM","('Theodorea amurensis',)"
"Adenocaulon_himalaicum","Adenocaulon","Asteraceae",-1.7521542146357,5.26223251994172,-1.50564111875246,-1.7521542146357,5.26223251994172,-1.50564111875246,"AM",""
"Sanicula_orthacantha","Sanicula","Apiaceae",-1.63616697217612,5.02199985086301,-1.50219238402966,-1.63616697217612,5.02199985086301,-1.50219238402966,"AM",""
"Heptapleurum_heptaphyllum","Heptapleurum","Araliaceae",-1.30729835489339,5.05933598823162,-2.20727491318972,-1.30729835489339,5.05933598823162,-2.20727491318972,"AM","('Aralia heptaphylla', 'Sciodaphyllum heptaphyllum', 'Schefflera heptaphylla', 'Vitis heptaphylla', 'Ampelopsis heptaphylla')"
"Heptapleurum_minutistellatum","Heptapleurum","Araliaceae",-1.10072451785438,3.63521492952824,-1.04982212449868,-1.10072451785438,3.63521492952824,-1.04982212449868,"AM","('Schefflera minutistellata',)"
"Dendropanax_dentigerus","Dendropanax","Araliaceae",-2.06120877341878,5.4083710520356,-0.8754687365539,-2.06120877341878,5.4083710520356,-0.8754687365539,"AM","('Textoria dentigera', 'Dendropanax chevalieri var. dentigerus', 'Gilibertia dentigera')"
