binominal,F01286,F01289,F00679D,F00727D,F00709D,F00679O,F00727O,F00709O,state,synonym
Abies nephrolepis,Abies,Pinaceae,-0.8789146685609613,3.2975338379252603,-1.2740166493206921,-0.8789146685609613,3.2975338379252603,-1.2740166493206921,EcM,"('Abies veitchii var. nephrolepis', 'Abies sibirica var. nephrolepis', 'Pinus nephrolepis')"
Acacia auriculiformis,Acacia,Fabaceae,-0.7110735690934007,3.6204221534690286,-1.2264456601779945,-0.9535513672355987,3.985691595353347,-1.3093333199837622,EcMAM,"('Racosperma auriculiforme',)"
Acacia crassicarpa,Acacia,Fabaceae,-1.487530062200767,4.684720464746101,-1.0216512475319814,-1.487530062200767,4.684720464746101,-1.0216512475319814,EcMAM,"('Racosperma crassicarpum',)"
Acacia mangium,Acacia,Fabaceae,-1.3761460300680755,4.597037202757902,-1.2378743560016174,-1.3761460300680755,4.597037202757902,-1.2378743560016174,EcMAM,"('Racosperma mangium',)"
Acer barbinerve,Acer,Sapindaceae,-1.3771364233351249,4.96758145600384,-1.878436748579971,-1.3771364233351249,4.96758145600384,-1.878436748579971,AM,"('Acer diabolicum subsp. barbinerve',)"
Acer campbellii,Acer,Sapindaceae,-1.6620478627063977,4.370364110801968,-0.7874578600311866,-1.6620478627063977,4.370364110801968,-0.7874578600311866,AM,
Acer caudatum,Acer,Sapindaceae,-1.4443472925685077,4.47043733121117,-1.3470736479666092,-1.4443472925685077,4.47043733121117,-1.3470736479666092,AM,
Acer coriaceifolium,Acer,Sapindaceae,-1.2039728043259361,4.482248972475585,-1.6607312068216507,-1.2039728043259361,4.482248972475585,-1.6607312068216507,AM,
Acer davidii,Acer,Sapindaceae,-0.9011629509391214,3.904554389355861,-1.0369443096910465,-1.3190258036749598,4.25961011047766,-1.221270409860661,AM,"('Acer sikkimense subsp. davidii',)"
Acer fabri,Acer,Sapindaceae,-1.6402322276075108,4.956284699346174,-1.2378743560016172,-1.6402322276075108,4.956284699346174,-1.2378743560016172,AM,
Acer negundo,Acer,Sapindaceae,-1.3093333199837622,3.5015453554964373,-0.5389965007326869,-1.3093333199837622,3.5015453554964373,-0.5389965007326869,AM,"('Negundo aceroides', 'Rulac negundo')"
Acer pictum,Acer,Sapindaceae,-1.2851828597514792,4.331651917212705,-1.451011065597837,-1.2851828597514792,4.331651917212705,-1.451011065597837,AM,"('Kalopanax pictus', 'Acer lobelii subsp. pictum', 'Acer platanoides subsp. pictum')"
Acer platanoides,Acer,Sapindaceae,-0.4717643055269423,2.723875525581712,-0.7021764202328682,-0.8101233718028426,2.978034141962474,-0.6931470272266237,AM,"('Euacer platanoides',)"
Acer pseudoplatanus,Acer,Sapindaceae,-1.0011755257363064,3.3947983124707286,-0.6769862192246963,-1.1322166452002982,3.55694236324803,-0.69090238998864,AM,
Acer rubrum,Acer,Sapindaceae,-1.2076833837224716,3.4779183391108166,-0.6820973443733603,-1.2076833837224716,3.4779183391108166,-0.6820973443733603,AM,"('Rufacer rubrum',)"
Acer saccharum,Acer,Sapindaceae,-1.1439710926164879,3.5194672175812927,-0.7319413179895892,-1.1439710926164879,3.5194672175812927,-0.7319413179895892,AM,"('Saccharodendron saccharum',)"
Acer tataricum,Acer,Sapindaceae,-1.4561447444507682,5.150272465209543,-1.922649808506291,-1.4561447444507682,5.150272465209543,-1.922649808506291,AM,"('Euacer tataricum',)"
Acer tegmentosum,Acer,Sapindaceae,-1.054863381738095,4.331653321710459,-1.925719074665456,-1.054863381738095,4.331653321710459,-1.925719074665456,AM,"('Acer pensylvanicum var. tegmentosum',)"
Acer triflorum,Acer,Sapindaceae,-1.452006904485272,4.70622041830678,-1.4824401519498853,-1.452006904485272,4.70622041830678,-1.4824401519498853,AM,"('Crula triflora',)"
Acer truncatum,Acer,Sapindaceae,-0.84862365680033,3.625981809734791,-1.247084596210131,-1.2198183895832024,3.9962123466902617,-1.2834646837332204,AM,"('Acer cappadocicum subsp. truncatum', 'Acer laetum var. truncatum', 'Acer lobelii subsp. truncatum', 'Acer pictum var. truncatum')"
Acronychia pedunculata,Acronychia,Rutaceae,-0.7793250817143519,3.8561120484843223,-1.3305443460153987,-1.0639985555038787,4.13835347312542,-1.2694006096483912,AM,"('Jambolifera pedunculata', 'Cyminosma pedunculata')"
Actaea cimicifuga,Actaea,Ranunculaceae,-1.3203193721963578,4.763139807722203,-1.4371650079933809,-1.3203193721963578,4.763139807722203,-1.4371650079933809,AM,"('Cimicifuga foetida',)"
Actinidia kolomikta,Actinidia,Actinidiaceae,-1.4696759700589417,5.413981572847829,-2.227361671756458,-1.4696759700589417,5.413981572847829,-2.227361671756458,AM,"('Prunus kolomikta', 'Trochostigma kolomikta')"
Adenocaulon himalaicum,Adenocaulon,Asteraceae,-1.7521542146356957,5.262232519941716,-1.5056411187524568,-1.7521542146356957,5.262232519941716,-1.5056411187524568,AM,
Adiantum pedatum,Adiantum,Pteridaceae,-0.9509219051762131,4.835134668982727,-2.0809642492107376,-1.0405061539325127,5.022208973931916,-2.31293905574561,AM,
Adina metcalfii,Adina,Rubiaceae,-1.8679496075861015,4.604770105966751,-1.2378743560016174,-1.8679496075861015,4.604770105966751,-1.2378743560016174,AM,"('Pertusadina metcalfii',)"
Adina pilulifera,Adina,Rubiaceae,-1.9834043534828938,6.363496743711504,-2.169053702869523,-1.9834043534828938,6.363496743711504,-2.169053702869523,AM,"('Cephalanthus pilulifer', 'Nauclea pilulifera')"
Aesculus hippocastanum,Aesculus,Sapindaceae,-0.5354071857518755,2.5572538836889978,-1.5517588008474223,-0.5354071857518755,2.5572538836889978,-1.5517588008474223,AM,"('Pawia hippocastanum',)"
Aesculus parviflora,Aesculus,Sapindaceae,-0.7656387259893849,3.340723757934519,-1.8033261055995204,-0.7656387259893849,3.340723757934519,-1.8033261055995204,AM,
Agathis moorei,Agathis,Araucariaceae,-0.5331722250884879,2.682398818810134,-1.2315269549360046,-0.5331722250884879,2.682398818810134,-1.2315269549360046,AM,"('Salisburyodendron moorei', 'Dammara moorei')"
Agrimonia pilosa,Agrimonia,Rosaceae,-1.4850103340590484,5.086378117704167,-1.7510703731384052,-1.4850103340590484,5.086378117704167,-1.7510703731384052,AM,"('Agrimonia eupatoria var. pilosa', 'Agrimonia dahurica var. pilosa')"
Aidia oxyodonta,Aidia,Rubiaceae,-1.1634754186454301,4.075976904863916,-0.2237466501417525,-1.8232648299258283,4.532133434744117,-0.12806078183535008,AM,"('Randia oxyodonta',)"
Alangium chinense,Alangium,Cornaceae,-2.3735441819345398,5.135268885097667,-1.1394342831883648,-2.3735441819345398,5.135268885097667,-1.1394342831883648,AM,"('Karangolum chinense', 'Stylis chinensis', 'Stylidium chinense', 'Marlea chinensis')"
Alchornea tiliifolia,Alchornea,Euphorbiaceae,-1.0277811079075183,4.586632214677318,-1.2420208719634658,-1.4610179073158271,5.031564519657693,-1.5171626363249295,AM,"('Stipellaria tiliifolia',)"
Alchornea trewioides,Alchornea,Euphorbiaceae,-1.369240606554063,4.527772527776599,-1.518466134445765,-1.369240606554063,4.527772527776599,-1.518466134445765,AM,"('Stipellaria trewioides',)"
Allophylus cobbe,Allophylus,Sapindaceae,-1.8568101214823827,4.318421011584911,-0.5108256237659907,-1.8568101214823827,4.318421011584911,-0.5108256237659907,AM,"('Ornitrophe cobbe', 'Schmidelia cobbe', 'Toxicodendrum cobbe', 'Rhus cobbe')"
Alniphyllum fortunei,Alniphyllum,Styracaceae,-1.1701637881537545,4.328515757938198,-1.6495161358775952,-1.1701637881537545,4.328515757938198,-1.6495161358775952,AM,"('Halesia fortunei',)"
Alpinia japonica,Alpinia,Zingiberaceae,-1.7781524658218382,5.505626207959451,-1.7272209468404838,-1.7781524658218382,5.505626207959451,-1.7272209468404838,AM,"('Globba japonica', 'Languas japonica')"
Alstonia scholaris,Alstonia,Apocynaceae,-0.6468362776966949,3.248822901236153,-1.7719568419318752,-0.6468362776966949,3.248822901236153,-1.7719568419318752,AM,"('Echites scholaris', 'Pala scholaris')"
Anaphalis aureopunctata,Anaphalis,Asteraceae,-1.98813938327305,6.172024135880895,-1.9117187840129164,-1.98813938327305,6.172024135880895,-1.9117187840129164,AM,
Anaphalis hancockii,Anaphalis,Asteraceae,-1.7220468568167546,5.7678769869239215,-2.0730106482726223,-1.7220468568167546,5.7678769869239215,-2.0730106482726223,AM,
Antidesma maclurei,Antidesma,Phyllanthaceae,-0.909985650739561,2.995232148512309,-1.2378743560016174,-0.909985650739561,2.995232148512309,-1.2378743560016174,AM,
Aphanamixis polystachya,Aphanamixis,Meliaceae,-0.9112621205597257,4.114006849144888,-0.8324934900624144,-1.4091817410570058,4.585981721907068,-0.9787191324384487,AM,"('Amoora polystachya', 'Aglaia polystachya', 'Ricinocarpodendron polystachyum')"
Aporosa octandra,Aporosa,Phyllanthaceae,-1.0034293896909183,3.3724549127965013,-1.0788096613719298,-1.0034293896909183,3.3724549127965013,-1.0788096613719298,AM,"('Myrica octandra',)"
Aporosa yunnanensis,Aporosa,Phyllanthaceae,-1.341952169769155,4.181223737980477,-1.215146105485859,-1.341952169769155,4.181223737980477,-1.215146105485859,AM,"('Aporosa wallichii f. yunnanensis',)"
Araucaria luxurians,Araucaria,Araucariaceae,-0.5620214568211797,3.1834897482442184,-1.4713117681169274,-0.5620214568211797,3.1834897482442184,-1.4713117681169274,AM,"('Eutassa luxurians', 'Araucaria columnaris f. luxurians', 'Araucaria cookii var. luxurians')"
Araucaria rulei,Araucaria,Araucariaceae,-1.0740933545736093,3.759017441866033,-0.9940989202381906,-1.0740933545736093,3.759017441866033,-0.9940989202381906,AM,"('Eutassa rulei', 'Eutacta rulei')"
Archidendron clypearia,Archidendron,Fabaceae,-1.306263961214402,4.2531984503199265,-0.8915981192837836,-1.306263961214402,4.2531984503199265,-0.8915981192837836,AM,"('Pithecellobium clypearia', 'Abarema clypearia', 'Feuilleea clypearia', 'Inga clypearia', 'Albizia clypearia')"
Archidendron lucidum,Archidendron,Fabaceae,-1.3449221180141588,4.07567129695648,-1.171182981502945,-1.3449221180141588,4.07567129695648,-1.171182981502945,AM,"('Pithecellobium lucidum', 'Abarema lucida')"
Ardisia depressa,Ardisia,Primulaceae,-0.6744086623643429,3.566429396233603,-1.257072612987021,-1.1589934773667903,3.947653350532281,-1.3053150608015927,AM,
Ardisia japonica,Ardisia,Primulaceae,-1.469241281940817,4.620057234933822,-1.4175469058938364,-1.469241281940817,4.620057234933822,-1.4175469058938364,AM,"('Tinus japonica', 'Bladhia japonica')"
Ardisia quinquegona,Ardisia,Primulaceae,-0.1369658550731573,2.384533675641213,-1.2517634681622845,-0.5738837597331276,2.793208009442517,-1.297063227391948,AM,"('Bladhia quinquegona',)"
Artemisia igniaria,Artemisia,Asteraceae,-1.7885645783315358,5.318869012769295,-1.5018072470172452,-1.7885645783315358,5.318869012769295,-1.5018072470172452,AM,
Artemisia mongolica,Artemisia,Asteraceae,-1.795165262362888,5.276430365583576,-1.4395388757949528,-1.795165262362888,5.276430365583576,-1.4395388757949528,AM,"('Artemisia vulgaris var. mongolica',)"
Artocarpus styracifolius,Artocarpus,Moraceae,-1.262449734084912,3.5421180727185324,-0.527632742082372,-1.262449734084912,3.5421180727185324,-0.527632742082372,AM,
Asimina triloba,Asimina,Annonaceae,-0.21642382930236975,2.3595606098593622,-1.7813142108717117,-0.21642382930236975,2.3595606098593622,-1.7813142108717117,AM,"('Uvaria triloba', 'Porcelia triloba', 'Annona triloba')"
Asparagus schoberioides,Asparagus,Asparagaceae,-1.0708998501015738,4.78553148940686,-2.406725353466155,-1.0708998501015738,4.78553148940686,-2.406725353466155,AM,
Aster scaber,Aster,Asteraceae,-1.554476354360126,5.389988204702237,-2.0281482500922854,-1.554476354360126,5.389988204702237,-2.0281482500922854,AM,"('Cardiagyris scabra', 'Doellingeria scabra')"
Aster tataricus,Aster,Asteraceae,-1.6245515502441485,5.694102440602895,-2.184802057337662,-1.6245515502441485,5.694102440602895,-2.184802057337662,AM,
Astilbe rivularis,Astilbe,Saxifragaceae,-0.9564618965634318,3.6047036853482144,-1.4515348843366063,-0.9564618965634318,3.6047036853482144,-1.4515348843366063,NMAM,
Astilbe rubra,Astilbe,Saxifragaceae,-1.7620065110787073,5.3774425203207885,-1.6094379124341003,-1.7620065110787073,5.3774425203207885,-1.6094379124341003,NMAM,
Athyrium monomachii,Athyrium,Athyriaceae,-0.8160698842733365,4.1287788988004746,-1.2694499195829674,-1.2883971149020064,4.397042229047621,-1.6526085691533983,AM,"('Athyrium filix-femina var. monomachii',)"
Athyrium sinense,Athyrium,Athyriaceae,-0.5768654757814218,4.226417320290661,-1.5106114209698398,-0.796058969390602,4.4965029656850435,-1.9113022009918743,AM,"('Athyrium filix-femina subsp. sinense',)"
Athyrium spinulosum,Athyrium,Athyriaceae,-1.404262394393283,4.7041419825960835,-1.60943620576889,-1.404262394393283,4.7041419825960835,-1.60943620576889,AM,"('Cystopteris spinulosa', 'Pseudocystopteris spinulosa')"
Barringtonia racemosa,Barringtonia,Lecythidaceae,-0.3168828832754556,2.435483954796453,-0.9852825475580925,-0.6316687868398987,2.7692142125905046,-1.1134458268772267,AM,"('Caryophyllus racemosus', 'Butonica racemosa', 'Butonica alba', 'Eugenia racemosa', 'Michelia racemosa', 'Stravadium racemosum', 'Huttum racemosum')"
Betula costata,Betula,Betulaceae,-1.1134214053367373,4.713259579070718,-1.9045246250276415,-1.1134214053367373,4.713259579070718,-1.9045246250276415,EcM,"('Betula ermanii f. costata', 'Betula ermanii var. costata', 'Betula ulmifolia var. costata')"
Betula dahurica,Betula,Betulaceae,-0.7336448131078998,3.176478685416589,-0.7031427211470581,-1.1875733916842934,3.610745089873392,-0.906105784981126,EcM,
Betula fruticosa,Betula,Betulaceae,-1.2718948208113945,3.88699799929116,-1.0756070598850043,-1.2718948208113945,3.88699799929116,-1.0756070598850043,EcM,
Betula pendula,Betula,Betulaceae,-1.0135878797990963,4.211327966460332,-1.237812975557849,-1.2955578074468506,4.462891219206394,-1.3824842069847876,EcM,"('Betula alba lusus pendula', 'Betula alba var. pendula', 'Betula alba var. pendula')"
Betula utilis,Betula,Betulaceae,-0.860807038484872,3.467304897670777,-0.45276814805516546,-1.4200530816171202,3.925695418618414,-0.7095039433524482,EcM,
Blastus cochinchinensis,Blastus,Melastomataceae,-1.5941388767862934,5.32488948298348,-1.739950432158628,-1.5941388767862934,5.32488948298348,-1.739950432158628,AM,
Blastus pauciflorus,Blastus,Melastomataceae,-1.8153352078044724,5.490746388301094,-1.599256004436593,-1.8153352078044724,5.490746388301094,-1.599256004436593,AM,"('Oxyspora pauciflora', 'Allomorphia pauciflora')"
Calamus rhabdocladus,Calamus,Arecaceae,-1.520054351299415,4.637108263275592,-1.368275853831498,-1.520054351299415,4.637108263275592,-1.368275853831498,AM,
Callitropsis nootkatensis,Callitropsis,Cupressaceae,-0.9321378594342342,3.638863507167167,-1.330940355059758,-0.9321378594342342,3.638863507167167,-1.330940355059758,AM,"('Xanthocyparis nootkatensis', 'Chamaecyparis nootkatensis', 'Cupressus nootkatensis')"
Calocedrus decurrens,Calocedrus,Cupressaceae,-0.4246224436498589,2.480733175391062,-1.3101305142018609,-0.4246224436498589,2.480733175391062,-1.3101305142018609,AM,"('Heyderia decurrens', 'Thuja decurrens', 'Libocedrus decurrens')"
Caltha palustris,Caltha,Ranunculaceae,-1.5616005830199404,5.84841055554281,-2.4849066537880002,-1.5616005830199404,5.84841055554281,-2.4849066537880002,NMAM,"('Populago palustris', 'Trollius palustris')"
Canarium album,Canarium,Burseraceae,-0.8880401510815782,4.1566015441899475,-1.6635118780789713,-1.3357619422246958,4.444800660923522,-1.5180366134964811,AM,"('Pimela alba',)"
Carallia brachiata,Carallia,Rhizophoraceae,-1.5405650481477249,4.693547296605504,-1.5606477482646683,-1.5405650481477249,4.693547296605504,-1.5606477482646683,AM,"('Karekandelia brachiata', 'Petalotoma brachiata', 'Diatoma brachiata')"
Carpinus betulus,Carpinus,Betulaceae,-0.395029573821856,2.940403375587629,-0.7090023815849138,-0.8216634670213544,3.2057125189154685,-0.7509665431313329,EcM,
Carpinus cordata,Carpinus,Betulaceae,-0.8596254281763644,3.421208368713986,0.02839048351807912,-1.7990560506510975,3.887578459731638,0.048673094777395634,EcM,"('Distegocarpus cordatus',)"
Carya glabra,Carya,Juglandaceae,-1.7025283355001122,4.060998411838119,-0.21346828579079147,-1.7025283355001122,4.060998411838119,-0.21346828579079147,EcM,"('Juglans glabra', 'Hicorius glabra', 'Scoria glabra')"
Caryota maxima,Caryota,Arecaceae,-1.2301456786299592,4.05301196636022,-1.3342833741352949,-1.2301456786299592,4.05301196636022,-1.3342833741352949,AM,"('Caryota rumphiana var. javanica',)"
Castanea henryi,Castanea,Fagaceae,-1.7836127440922864,3.7125959807312525,-0.7133498878774648,-1.7836127440922864,3.7125959807312525,-0.7133498878774648,EcM,"('Castanopsis henryi',)"
Castanopsis carlesii,Castanopsis,Fagaceae,-0.5201637912738237,3.327685364450979,-0.2955437365088798,-0.8169747643702406,3.7161930529171356,-0.7967678095876177,EcM,"('Shiia carlesii', 'Synaedrys carlesii', 'Quercus carlesii', 'Castanopsis cuspidata var. carlesii')"
Castanopsis echinocarpa,Castanopsis,Fagaceae,-1.8113705148771706,4.402809173856411,-0.6348782724359695,-1.8113705148771706,4.402809173856411,-0.6348782724359695,EcM,"('Castanopsis tribuloides var. echinocarpa',)"
Castanopsis eyrei,Castanopsis,Fagaceae,-1.636637834073377,4.6279072887905155,-1.0739196751021285,-1.636637834073377,4.6279072887905155,-1.0739196751021285,EcM,"('Lithocarpus eyrei', 'Pasania eyrei', 'Quercus eyrei')"
Castanopsis fabri,Castanopsis,Fagaceae,-0.6720017980203619,3.7511979652122323,-0.1610270482843259,-0.9862242513460234,4.080148074256517,-0.6194105552326367,EcM,
Castanopsis fargesii,Castanopsis,Fagaceae,-1.5960282255241827,4.743054926652544,-1.330724511046161,-1.5960282255241827,4.743054926652544,-1.330724511046161,EcM,
Castanopsis fissa,Castanopsis,Fagaceae,-1.5831003121148188,4.537328196268297,-0.8859853819124083,-1.5831003121148188,4.537328196268297,-0.8859853819124083,EcM,"('Lithocarpus fissus', 'Pasania fissa', 'Quercus fissa', 'Shiia fissa', 'Synaedrys fissa')"
Castanopsis hystrix,Castanopsis,Fagaceae,-1.7868316309917582,4.257171777528256,-0.5978370007556204,-1.7868316309917582,4.257171777528256,-0.5978370007556204,EcM,
Castanopsis wattii,Castanopsis,Fagaceae,-1.82504741609423,4.52526080275979,-0.6733445532637656,-1.82504741609423,4.52526080275979,-0.6733445532637656,EcM,"('Castanea wattii', 'Castanopsis tribuloides var. wattii')"
Catalpa bignonioides,Catalpa,Bignoniaceae,-0.4823353979123195,3.186479010713852,-1.9643287345793314,-0.4823353979123195,3.186479010713852,-1.9643287345793314,AM,
Catunaregam spinosa,Catunaregam,Rubiaceae,-1.3587181053497872,4.38502214365368,-0.9675840262617056,-1.3587181053497872,4.38502214365368,-0.9675840262617056,AM,"('Xeromphis spinosa', 'Randia spinosa', 'Canthium spinosum', 'Gardenia spinosa')"
Caulophyllum robustum,Caulophyllum,Berberidaceae,-1.0277811079075183,4.518592891171162,-2.2244203229266644,-1.0277811079075183,4.518592891171162,-2.2244203229266644,AM,"('Leontice robusta', 'Caulophyllum thalictroides subsp. robustum')"
Cedrus libani,Cedrus,Pinaceae,-0.6856420810741719,2.5658370650248705,-0.8761102118546811,-0.6856420810741719,2.5658370650248705,-0.8761102118546811,EcM,"('Larix cedrus', 'Picea cedrus', 'Abies cedrus', 'Cedrus effusa', 'Cedrus libanotica subsp. libani', 'Pinus cedrus')"
Celtis sinensis,Celtis,Cannabaceae,-1.963046135002048,4.727387818712341,-0.4780358009429998,-1.963046135002048,4.727387818712341,-0.4780358009429998,AM,"('Celtis tetrandra subsp. sinensis',)"
Cephalotaxus harringtonii,Cephalotaxus,Cephalotaxaceae,-0.23748036762027405,2.558500762071287,-1.67872047051902,-0.23748036762027405,2.558500762071287,-1.67872047051902,AM,
Cercidiphyllum japonicum,Cercidiphyllum,Cercidiphyllaceae,-0.6665683528703155,2.8866351299726367,-1.502828177375842,-0.6665683528703155,2.8866351299726367,-1.502828177375842,AM,
Chamaecyparis pisifera,Chamaecyparis,Cupressaceae,-0.7316019285261405,3.1411255436760595,-1.6513841480516198,-0.7316019285261405,3.1411255436760595,-1.6513841480516198,AM,"('Thuja pisifera', 'Retinispora pisifera', 'Cupressus pisifera')"
Chenopodium album,Chenopodium,Amaranthaceae,-1.009685310764031,3.877137389348841,-0.6527359356017427,-1.6543788765384335,4.294364412566874,-0.5693064569111542,NMAM,"('Chenopodium viride var. album', 'Botrys albus', 'Atriplex alba')"
Chionanthus virginicus,Chionanthus,Oleaceae,-0.2723398649824343,2.2728510243367404,-1.6264569176036952,-0.2723398649824343,2.2728510243367404,-1.6264569176036952,AM,
Chloranthus henryi,Chloranthus,Chloranthaceae,-0.7721903879003982,3.6183868591394077,-1.826024060587772,-0.7721903879003982,3.6183868591394077,-1.826024060587772,AM,
Choerospondias axillaris,Choerospondias,Anacardiaceae,-1.2743505628979064,4.287765521144558,-1.4219215387630417,-1.2743505628979064,4.287765521144558,-1.4219215387630417,AM,"('Spondias axillaris', 'Poupartia axillaris')"
Cibotium barometz,Cibotium,Cibotiaceae,-1.3933189760568552,4.430282550681985,-1.39971738010068,-1.3933189760568552,4.430282550681985,-1.39971738010068,AM,"('Dicksonia barometz', 'Polypodium barometz', 'Aspidium barometz', 'Nephrodium barometz')"
Cinnamomum austro-sinensis,Cinnamomum,Lauraceae,-0.7536671203557341,3.4349777264175745,-1.5477795650960446,-0.7536671203557341,3.4349777264175745,-1.5477795650960446,AM,
Cinnamomum camphora,Cinnamomum,Lauraceae,-0.5703257138969232,3.566799582085147,-1.5408930044678264,-0.7376444905771392,3.7636333958879225,-1.6885005044321315,AM,"('Camphora officinarum',)"
Cinnamomum chekiangense,Cinnamomum,Lauraceae,-0.3316497516765331,2.187736702867612,-0.16175860990810062,-0.5277500404869845,2.645283019561125,-1.084659239785921,AM,
Cinnamomum micranthum,Cinnamomum,Lauraceae,-0.6099916476808277,2.3973602883257543,-0.179795197728128,-0.7266131765865199,2.7409527713431654,-1.0415313708308989,AM,"('Camphora micrantha',)"
Cinnamomum parthenoxylon,Cinnamomum,Lauraceae,-0.8412412388046727,3.7301324475408175,-1.612675471008872,-0.8412412388046727,3.7301324475408175,-1.612675471008872,AM,"('Camphora parthenoxylon',)"
Convallaria majalis,Convallaria,Asparagaceae,-0.8673815271712808,4.235455147957244,-2.1553834116274024,-0.8673815271712808,4.235455147957244,-2.1553834116274024,AM,"('Polygonatum majale', 'Lilium-convallium majale')"
Coriaria nepalensis,Coriaria,Coriariaceae,-0.8209805520698302,3.4438022240442625,-1.5652480993864386,-0.8209805520698302,3.4438022240442625,-1.5652480993864386,AM,
Cornus bretschneideri,Cornus,Cornaceae,-0.7898506596884659,3.4126027150916673,-1.0553873401956106,-1.020106978030153,3.732289169594412,-1.3409629066349513,AM,"('Swida bretschneideri',)"
Cornus controversa,Cornus,Cornaceae,-0.4253362377505763,2.6876847819083753,-1.5961615792599948,-0.4253362377505763,2.6876847819083753,-1.5961615792599948,AM,"('Bothrocaryum controversum', 'Swida controversa')"
Cornus florida,Cornus,Cornaceae,-0.6871889212931477,3.299267449170942,-1.6996361803522493,-0.6871889212931477,3.299267449170942,-1.6996361803522493,AM,"('Benthamia florida', 'Benthamidia florida', 'Cynoxylon floridum')"
Cornus kousa,Cornus,Cornaceae,-0.970351008724099,3.943419006364818,-1.7643604967696704,-0.970351008724099,3.943419006364818,-1.7643604967696704,AM,"('Benthamia kousa', 'Benthamia japonica', 'Dendrobenthamia japonica', 'Benthamidia japonica', 'Cynoxylon japonicum', 'Cynoxylon kousa')"
Cornus officinalis,Cornus,Cornaceae,-0.3454919267624164,2.4651439204958847,-0.7271246105625899,-0.8139689657927384,2.9016287605343862,-0.8412394924155211,AM,"('Macrocarpium officinale',)"
Cornus ulotricha,Cornus,Cornaceae,-0.492515122207834,2.5869264582422264,-1.358953328934706,-0.492515122207834,2.5869264582422264,-1.358953328934706,AM,"('Swida ulotricha',)"
Corylus ferox,Corylus,Betulaceae,-1.373575588712116,4.2238506926503625,-1.2332068313793185,-1.373575588712116,4.2238506926503625,-1.2332068313793185,EcM,
Corylus sieboldiana,Corylus,Betulaceae,-1.5768093921357913,4.889169309200653,-1.4522698886567686,-1.5768093921357913,4.889169309200653,-1.4522698886567686,EcM,"('Corylus heterophylla var. sieboldiana', 'Corylus rostrata var. sieboldiana')"
Cotoneaster acutifolius,Cotoneaster,Rosaceae,-1.5925807953676774,4.631792642548199,-1.2039728043259361,-1.5925807953676774,4.631792642548199,-1.2039728043259361,AM,"('Pyrus acutifolia', 'Cotoneaster niger var. acutifolius')"
Cotoneaster adpressus,Cotoneaster,Rosaceae,-1.4120225096926218,4.483807694240553,-1.432507206031779,-1.4120225096926218,4.483807694240553,-1.432507206031779,AM,"('Cotoneaster horizontalis var. adpressus', 'Pyrus adpressa')"
Cotoneaster multiflorus,Cotoneaster,Rosaceae,-1.4711988682103345,4.984803505157494,-1.769250478028886,-1.4711988682103345,4.984803505157494,-1.769250478028886,AM,"('Pyrus multiflora',)"
Crataegus pinnatifida,Crataegus,Rosaceae,-1.540145085938151,4.65663128004649,-1.3051567539906619,-1.540145085938151,4.65663128004649,-1.3051567539906619,AM,"('Mespilus pinnatifida', 'Mespilus pentagyna var. pinnatifida', 'Crataegus oxyacantha var. pinnatifida')"
Cratoxylum cochinchinense,Cratoxylum,Hypericaceae,-2.1126261090708796,3.48216274048526,-0.8915981192837836,-2.1126261090708796,3.48216274048526,-0.8915981192837836,AM,"('Vismia cochinchinensis', 'Hypericum cochinchinense')"
Cryptocarya chinensis,Cryptocarya,Lauraceae,0.23455246278179281,1.9188289733588577,-1.2263224872888798,0.06169872875698554,2.1186374936341332,-1.2855937689100123,AM,"('Beilschmiedia chinensis',)"
Cryptocarya concinna,Cryptocarya,Lauraceae,-0.3720015490705895,2.656004657858118,-0.9565792471919702,-0.6076031492623075,2.997849710239327,-1.2602028733289756,AM,
Cryptomeria japonica,Cryptomeria,Cupressaceae,-0.5082871816713437,3.260886302718273,-1.7908018324085988,-0.5082871816713437,3.260886302718273,-1.7908018324085988,AM,"('Cupressus japonica', 'Schubertia japonica', 'Taxodium japonicum')"
Cunninghamia lanceolata,Cunninghamia,Cupressaceae,-0.44655056907372687,2.4276989036119043,-1.96492930806294,-0.7379801898869981,2.784829339782583,-2.102177219655536,AM,"('Araucaria lanceolata', 'Belis lanceolata', 'Abies lanceolata', 'Pinus lanceolata')"
Cycas nathorstii,Cycas,Cycadaceae,0.15516603732018805,2.2066849150417047,-1.543803303158168,0.15516603732018805,2.2066849150417047,-1.543803303158168,AM,
Cycas panzhihuaensis,Cycas,Cycadaceae,0.09959392086406774,1.9774285368966034,-1.543549763391632,0.09959392086406774,1.9774285368966034,-1.543549763391632,AM,
