species,number of plants studied,mycorrhiza type,AM intensity,AM method,EcM intensity,EcM frequency,EcM method,ErM intensity,ErM frequency,ErM method,OrM intensity,OrM frequency,OrM method,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Give genus and epithet (original), e.g. Acer platanoides. If epithet is not known, give Genus name only (Acer)",give n (number of individuals),SELECT mycorrhiza type,the average amount of root system colonized in species per site,SELECT method,the average amount of root system colonized in species per site,"% individual plants colonized. RELEVANT if Intensity is not given. If none are given, then both fields remain empty",SELECT method,the average amount of root system colonized in species per site,"% individual plants colonized. RELEVANT if Intensity is not given. If none are given, then both fields remain empty",SELECT method,the average amount of root system colonized in species per site,"% individual plants colonized. RELEVANT if Intensity is not given. If none are given, then both fields remain empty",SELECT method,Make a note on reported mycorrhiza type or colonization determination method. Examples: Jungermannioid mycorrhiza; Thysanotus mycorrhiza,Name of curator,Remark on reliability,Name of curator,Remark on reliability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,,EcM; others not addressed,,,7,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,confirmed ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies alba,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,confirmed ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies amabilis,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies lasiocarpa var. arizonica,,EcM; others not addressed,,,7,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies balsamea,,EcM; others not addressed,,,11,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies balsamea,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies balsamea,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies cephalonica,,EcM; others not addressed,,,15,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies cilicica,,EcM; others not addressed,,,7,,Selivanov 1981: root tips colonized (%) / 100 mm root,,,,,,,,,,,,Laura M. Suz,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
