binominal,F01286,F01287,F01289,F01290,state
Abies alba,Abies,alba,Pinaceae,Pinales,EcM
Abies nephrolepis,Abies,nephrolepis,Pinaceae,Pinales,EcM
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,EcMAM
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,EcMAM
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,EcMAM
Acer barbinerve,Acer,barbinerve,Sapindaceae,Sapindales,AM
Acer campbellii,Acer,campbellii,Sapindaceae,Sapindales,AM
Acer campestre,Acer,campestre,Sapindaceae,Sapindales,AM
Acer caudatum,Acer,caudatum,Sapindaceae,Sapindales,AM
Acer coriaceifolium,Acer,coriaceifolium,Sapindaceae,Sapindales,AM
Acer davidii,Acer,davidii,Sapindaceae,Sapindales,AM
Acer fabri,Acer,fabri,Sapindaceae,Sapindales,AM
Acer laurinum,Acer,laurinum,Sapindaceae,Sapindales,AM
Acer negundo,Acer,negundo,Sapindaceae,Sapindales,AM
Acer pictum,Acer,pictum,Sapindaceae,Sapindales,AM
Acer platanoides,Acer,platanoides,Sapindaceae,Sapindales,AM
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,Sapindales,AM
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales,AM
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,AM
Acer tataricum,Acer,tataricum,Sapindaceae,Sapindales,AM
Acer tegmentosum,Acer,tegmentosum,Sapindaceae,Sapindales,AM
Acer triflorum,Acer,triflorum,Sapindaceae,Sapindales,AM
Acer truncatum,Acer,truncatum,Sapindaceae,Sapindales,AM
Achillea millefolium,Achillea,millefolium,Asteraceae,Asterales,AM
Ackama rosifolia,Ackama,rosifolia,Cunoniaceae,Oxalidales,AM
Acronychia pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales,AM
Actaea cimicifuga,Actaea,cimicifuga,Ranunculaceae,Ranunculales,AM
Actinidia kolomikta,Actinidia,kolomikta,Actinidiaceae,Ericales,AM
