"binominal","F01286","F01289","F00679","F00679_se","F00727","F00727_se","F00709","F00709_se","state","state_source","synonym"
"Heliopsis_helianthoides","Heliopsis","Asteraceae",-0.967584026261706,NA,4.15888308335967,NA,-1.96611285637283,NA,"AM","(Brundrett and Tedersoo, 2018)","('Buphthalmum helianthoides',)"
"Ratibida_pinnata","Ratibida","Asteraceae",-0.82098055206983,NA,4.02535169073515,NA,-2.12026353620009,NA,"AM","(Soudzilovskaia et al., 2020)","('Lepachys pinnata', 'Rudbeckia pinnata', 'Helianthus pinnatus', 'Obeliscaria pinnata')"
"Liatris_aspera","Liatris","Asteraceae",-0.798507696217772,NA,4.38202663467388,NA,-2.52572864430826,NA,"AM","(Maherali et. al. 2016)","('Lacinaria scariosa var. aspera', 'Lacinaria aspera')"
"Arnica_sororia","Arnica","Asteraceae",-1.41346002919266,NA,4.34225660396333,NA,-1.20397280432594,NA,"AM","(Soudzilovskaia et al., 2020)","('Arnica fulgens var. sororia',)"
"Arnica_fulgens","Arnica","Asteraceae",-0.662714973439743,NA,2.76517150003119,NA,-1.12445233453333,NA,"AM","(Maherali et. al. 2016)","('Arnica montana var. fulgens',)"
"Hymenoxys_richardsonii","Hymenoxys","Asteraceae",-1.26443077336305,NA,4.2353712200147,NA,-1.46006051231644,NA,"AM","(Soudzilovskaia et al., 2020)","('Picradenia richardsonii', 'Actinea richardsonii', 'Actinella richardsonii')"
"Helianthus_agrestis","Helianthus","Asteraceae",-0.650147445859933,0.0508199530545214,5.40309710764984,0.141806861938877,-3.27890144040212,0.132346277113541,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_grosseserratus","Helianthus","Asteraceae",-0.679039078907476,0.0695548940936002,5.35836803304502,0.0210222795295003,-3.32423634052603,0,"AM","(Soudzilovskaia et al., 2020)",NA
"Helianthus_giganteus","Helianthus","Asteraceae",-0.764041473633314,0.0870641772000534,4.99527968394287,0.442275715988439,-2.89623116985954,0.428005170666491,"AM","(Brundrett and Tedersoo, 2018)","('Helianthus angustifolius subsp. giganteus',)"
"Helianthus_maximiliani","Helianthus","Asteraceae",-0.642372872202358,0.0473484034769967,5.58199187122379,0.112076911244773,-3.33832177900938,0.0140854384833479,"AM","(Maherali et. al. 2016)",NA
"Helianthus_verticillatus","Helianthus","Asteraceae",-0.607848875582798,0.0418478000192016,5.42254651269494,0.141782305394487,-3.1821344364883,0.0120487757895302,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_salicifolius","Helianthus","Asteraceae",-0.908364709328631,0.0044868183938454,5.50986303131536,0.0823172667595382,-3.28564152118046,0.0667656963122613,"AM","(Brundrett and Tedersoo, 2018)",NA
"Pappobolus_microphyllus","Pappobolus","Asteraceae",-0.749788233021618,0.0846086671053155,5.63818771158518,0.0262647106070783,-3.33832177900938,0.0140854384833479,"AM","(Brundrett and Tedersoo, 2018)","('Leighia microphylla', 'Helianthopsis microphylla', 'Viguiera microphylla', 'Helianthus microphyllus')"
"Helianthus_occidentalis","Helianthus","Asteraceae",-0.781127368513582,NA,5.69278893318134,NA,-3.32423634052603,NA,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_mollis","Helianthus","Asteraceae",-0.792566275476877,0.0585564537372787,5.65790349588915,0.0232924800942515,-3.36774202902084,0.0435056884948146,"AM","(Soudzilovskaia et al., 2020)",NA
"Helianthus_silphioides","Helianthus","Asteraceae",-0.612814582252792,0.113143910027695,5.45375281076964,0.0597162571630565,-3.25617025336374,0.15507746415192,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_atrorubens","Helianthus","Asteraceae",-0.641609783967762,NA,5.60285655606624,NA,-3.41124771751566,NA,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_longifolius","Helianthus","Asteraceae",-0.764207867964082,0.0169476809192573,5.85235937735577,0.0587450686760533,-3.48541563322502,0.0290078219457661,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_angustifolius","Helianthus","Asteraceae",-0.600742627587319,0.0482089631376496,5.7815912075156,0.0316762095837185,-3.48469801543799,0.0109299409409969,"AM","(Brundrett and Tedersoo, 2018)","('Discomela angustifolius',)"
"Helianthus_floridanus","Helianthus","Asteraceae",-0.407037906347625,0.0415332089029173,5.50378369344891,0.0631858196441021,-3.37537576508624,0.131182132233746,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_petiolaris","Helianthus","Asteraceae",-0.798782308458641,0.0087909561300814,5.69424011679468,0.0311407574140152,-3.45890280741782,0.0476550899021626,"AM","(Maherali et. al. 2016)","('Helianthus annuus subsp. petiolaris',)"
"Helianthus_neglectus","Helianthus","Asteraceae",-0.934762385992995,0.0920309204038837,5.59667123498659,0.0142281121895524,-3.50711376174633,0.033345687249336,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_niveus","Helianthus","Asteraceae",-0.558379252760254,NA,5.54934842134914,NA,-3.07911388249304,NA,"AM","(Maherali et. al. 2016)","('Helianthus annuus var. niveus', 'Encelia nivea')"
"Helianthus_praecox","Helianthus","Asteraceae",-0.829298642570532,NA,5.94884406127134,NA,-3.38139475436598,NA,"AM","(Brundrett and Tedersoo, 2018)","('Helianthus debilis subsp. praecox', 'Helianthus cucumerifolius var. praecox')"
"Helianthus_debilis","Helianthus","Asteraceae",-0.811642064520224,NA,5.77424093830476,NA,-3.38139475436598,NA,"AM","(Maherali et. al. 2016)","('Helianthus annuus var. debilis',)"
"Helianthus_argophyllus","Helianthus","Asteraceae",-0.774418028799632,0.146347399613029,5.63729343575875,0.0710121276250359,-3.44201937618241,0,"AM","(Maherali et. al. 2016)","('Helianthus annuus var. argophyllus',)"
"Helianthus_annuus","Helianthus","Asteraceae",-0.547573757128929,0.116597419393688,5.49276766030634,0.0383709726046483,-3.39395105278352,0.0518025090465709,"AM","(Maherali et. al. 2016)",NA
