F01286,F01287,F01289,F01290,F00679,F00727,F00709
Abies,alba,Pinaceae,Pinales,-0.5923972774598022,3.4665688891036184,-1.4092218657635953
Abies,nephrolepis,Pinaceae,Pinales,-0.8789146685609613,3.2975338379252603,-1.2740166493206921
Acacia,auriculiformis,Fabaceae,Fabales,-0.7110735690934007,3.6204221534690286,-1.2264456601779945
Acacia,crassicarpa,Fabaceae,Fabales,-1.487530062200767,4.684720464746101,-1.0216512475319814
Acacia,mangium,Fabaceae,Fabales,-1.3761460300680755,4.597037202757902,-1.2378743560016174
Acer,barbinerve,Sapindaceae,Sapindales,-1.3771364233351249,4.96758145600384,-1.878436748579971
Acer,campbellii,Sapindaceae,Sapindales,-1.6620478627063977,4.370364110801968,-0.7874578600311866
Acer,campestre,Sapindaceae,Sapindales,-0.8651224452997557,3.4330189939851112,-1.2729656758128873
Acer,caudatum,Sapindaceae,Sapindales,-1.4443472925685077,4.47043733121117,-1.3470736479666092
Acer,coriaceifolium,Sapindaceae,Sapindales,-1.2039728043259361,4.482248972475585,-1.6607312068216507
Acer,davidii,Sapindaceae,Sapindales,-0.9011629509391214,3.904554389355861,-1.0369443096910465
Acer,fabri,Sapindaceae,Sapindales,-1.6402322276075108,4.956284699346174,-1.2378743560016172
Acer,laurinum,Sapindaceae,Sapindales,-0.4637388494888204,2.490158454844356,-1.1544947218001482
Acer,negundo,Sapindaceae,Sapindales,-1.2765434971607714,3.6436205477083217,-0.6223159997993539
Acer,pictum,Sapindaceae,Sapindales,-1.2851828597514792,4.331651917212705,-1.451011065597837
Acer,platanoides,Sapindaceae,Sapindales,-0.8485363963897034,3.182222021482127,-0.8393296374972875
Acer,pseudoplatanus,Sapindaceae,Sapindales,-1.014658337344577,3.5490361399111348,-0.8675905042164223
Acer,rubrum,Sapindaceae,Sapindales,-0.5945930701315817,3.31800819749088,-1.5395388495880817
Acer,saccharum,Sapindaceae,Sapindales,-0.5839580311029289,3.4158772321765167,-1.619839167394876
Acer,tataricum,Sapindaceae,Sapindales,-1.4561447444507682,5.150272465209543,-1.922649808506291
Acer,tegmentosum,Sapindaceae,Sapindales,-1.054863381738095,4.331653321710459,-1.925719074665456
Acer,triflorum,Sapindaceae,Sapindales,-1.452006904485272,4.70622041830678,-1.4824401519498853
Acer,truncatum,Sapindaceae,Sapindales,-0.84862365680033,3.625981809734791,-1.247084596210131
Achillea,millefolium,Asteraceae,Asterales,-1.1099833619680337,5.267111200846772,-2.03473035444365
Ackama,rosifolia,Cunoniaceae,Oxalidales,-1.0198793140602396,3.9510243683276944,-1.6113105350825605
Acronychia,pedunculata,Rutaceae,Sapindales,-0.6463858004103561,3.5023246996143294,-1.2275198019754328
Actaea,cimicifuga,Ranunculaceae,Ranunculales,-1.3203193721963578,4.763139807722203,-1.4371650079933809
Actinidia,kolomikta,Actinidiaceae,Ericales,-1.4696759700589417,5.413981572847829,-2.227361671756458
Actinodaphne,henryi,Lauraceae,Laurales,-0.24262373060233655,1.9822033925197489,-1.1111430831656388
Adenocaulon,himalaicum,Asteraceae,Asterales,-1.7521542146356957,5.262232519941716,-1.5056411187524568
Adiantum,pedatum,Pteridaceae,Polypodiales,-0.9509219051762131,4.835134668982727,-2.0809642492107376
Adina,metcalfii,Rubiaceae,Gentianales,-1.8679496075861015,4.604770105966751,-1.2378743560016174
Adina,pilulifera,Rubiaceae,Gentianales,-1.9834043534828938,6.363496743711504,-2.169053702869523
Aesculus,hippocastanum,Sapindaceae,Sapindales,-1.0750926075954816,2.7899823155426104,-1.682905064315973
Aesculus,parviflora,Sapindaceae,Sapindales,-0.7656387259893849,3.340723757934519,-1.8033261055995204
Afrocarpus,falcatus,Podocarpaceae,Araucariales,-0.2744368457017603,2.4475508632442313,-1.171182981502945
Agastache,foeniculum,Lamiaceae,Lamiales,-0.8675005677047231,3.6888794541139363,-1.7147984280919266
Agathis,australis,Araucariaceae,Araucariales,-0.4628506065533998,2.638282937179391,-1.4363903568363419
Agathis,kinabaluensis,Araucariaceae,Araucariales,-0.2940355464239563,2.4272333975591565,-1.5547130127448539
Agathis,moorei,Araucariaceae,Araucariales,-0.5331722250884879,2.682398818810134,-1.2315269549360046
Aglaia,exstipulata,Meliaceae,Sapindales,-0.08790268317591103,0.6983538030461193,-0.23891475425760197
Aglaia,odoratissima,Meliaceae,Sapindales,-0.1690697511182067,1.6522278025290842,-1.0420794621337677
Agouticarpa,curviflora,Rubiaceae,Gentianales,-0.2876820724517809,1.205970806988609,-0.7444404749474959
Agrimonia,pilosa,Rosaceae,Rosales,-1.4850103340590484,5.086378117704167,-1.7510703731384052
Agropyron,cristatum,Poaceae,Poales,-1.4696759700589417,5.203457085524077,-2.0024805005437076
Agrostis,capillaris,Poaceae,Poales,-2.0402208285265546,5.556828061699537,-1.4696759700589417
Agrostis,scabra,Poaceae,Poales,-1.5606477482646683,4.941642422609304,-1.6094379124341003
Aidia,oxyodonta,Rubiaceae,Gentianales,-1.1634754186454301,4.075976904863916,-0.2237466501417525
Ailanthus,fordii,Simaroubaceae,Sapindales,-0.21614724886428996,1.9462855439429776,-0.9659651899161896
Aiouea,montana,Lauraceae,Laurales,-0.3782877805899664,2.626453652342642,-1.6204667369525432
Alangium,chinense,Cornaceae,Cornales,-2.3735441819345398,5.135268885097667,-1.1394342831883648
Alchornea,tiliifolia,Euphorbiaceae,Malpighiales,-0.6773633126797123,3.9209672197415117,-1.0817226497384662
Alchornea,trewioides,Euphorbiaceae,Malpighiales,-1.369240606554063,4.527772527776599,-1.518466134445765
Alectryon,excelsus,Sapindaceae,Sapindales,-0.7658791767260443,3.6063919629954304,-1.7418734043486572
Alibertia,claviflora,Rubiaceae,Gentianales,-0.4668087383492164,1.888583653863595,-0.7940730991499059
Alibertia,edulis,Rubiaceae,Gentianales,-0.33267943838251673,1.8764069432883397,-1.018877320649256
Allantoma,lineata,Lecythidaceae,Ericales,-0.9238189982949466,2.8414149131696336,-0.8651224452997557
Allium,bidentatum,Amaryllidaceae,Asparagales,-0.6931471805599453,3.362629788512897,-1.7147984280919266
Allium,tenuissimum,Amaryllidaceae,Asparagales,-0.916290731874155,3.887935209899056,-1.8325814637483102
Allium,textile,Amaryllidaceae,Asparagales,-1.168659288052703,5.23566960080539,-2.25380866225225
Allophylus,abyssinicus,Sapindaceae,Sapindales,-0.5978370007556204,2.3561258599220753,-0.8915981192837836
Allophylus,cobbe,Sapindaceae,Sapindales,-1.8568101214823827,4.318421011584911,-0.5108256237659907
Alniphyllum,fortunei,Styracaceae,Ericales,-1.1701637881537545,4.328515757938198,-1.6495161358775952
Alnus,glutinosa,Betulaceae,Fagales,-0.9526305986530476,3.2857469622150157,-0.9007259785570098
Alpinia,japonica,Zingiberaceae,Zingiberales,-1.7781524658218382,5.505626207959451,-1.7272209468404838
Alseis,blackiana,Rubiaceae,Gentianales,-0.4266678815496418,2.549350172624313,-1.4196797239749819
Alseodaphnopsis,andersonii,Lauraceae,Laurales,-0.18032355413128162,1.3272188234777798,-0.6442685707781323
Alsophila,smithii,Cyatheaceae,Cyatheales,-0.4785466841097563,2.7003031910162543,-1.363973074976162
Alsophila,tricolor,Cyatheaceae,Cyatheales,-0.46426015461866993,2.7746455279300806,-1.5405216812172728
Alstonia,scholaris,Apocynaceae,Gentianales,-0.6468362776966949,3.248822901236153,-1.7719568419318752
Amaioua,glomerulata,Rubiaceae,Gentianales,-0.6772738314036552,2.2460147415056513,-0.7011793522572096
Amaioua,guianensis,Rubiaceae,Gentianales,-0.7830718880879323,2.8148097376737438,-0.7985076962177716
Ambrosia,artemisiifolia,Asteraceae,Asterales,-1.0216512475319814,4.859812404361672,-2.5257286443082556
Amelanchier,alnifolia,Rosaceae,Rosales,-0.9779888454580034,3.038581000863127,-0.6852420009898399
Anaphalis,aureopunctata,Asteraceae,Asterales,-1.98813938327305,6.172024135880895,-1.9117187840129164
Anaphalis,hancockii,Asteraceae,Asterales,-1.7220468568167546,5.7678769869239215,-2.0730106482726223
Anaxagorea,javanica,Annonaceae,Magnoliales,-0.2086860662252831,1.8703129747441396,-1.0627628528511366
Andesanthus,lepidotus,Melastomataceae,Myrtales,-0.7200046347298279,3.094981036492347,-1.40186447264136
Andropogon,gerardii,Poaceae,Poales,-1.171182981502945,4.02535169073515,-1.4271163556401458
Androsace,occidentalis,Primulaceae,Ericales,-2.163941784752468,5.334918413389103,-0.8986771581220587
Anemone,cylindrica,Ranunculaceae,Ranunculales,-1.0216512475319814,3.9512437185814275,-1.6607312068216509
Aniba,coto,Lauraceae,Laurales,-0.26713897862787755,2.005551295665007,-1.1098046501220493
Aniba,guianensis,Lauraceae,Laurales,-0.42159449003804794,2.647592232065096,-1.4653375684603434
Aniba,hostmanniana,Lauraceae,Laurales,-0.17197526473981037,1.9501867058225735,-1.2801341652915
Aniba,muca,Lauraceae,Laurales,-0.02716566807276955,0.9789762741813389,-0.683469391793493
Aniba,terminalis,Lauraceae,Laurales,-0.2382571891242579,1.776645831418007,-0.941608539858445
Antennaria,neglecta,Asteraceae,Asterales,-1.2911660160283132,4.826183259044324,-1.8364953630694465
Antennaria,parvifolia,Asteraceae,Asterales,-1.0511086660241429,3.805296934268106,-1.3846290804697148
Anthyllis,cytisoides,Fabaceae,Fabales,-1.250627749698357,2.2408114559060697,-0.5132099356464621
Anthyllis,terniflora,Fabaceae,Fabales,-1.0109448769163498,1.7962250888235667,-0.5986780470632063
Antiaris,toxicaria,Moraceae,Rosales,-0.3521992607680095,2.1794240323790217,-0.9712071692930814
Antidesma,maclurei,Phyllanthaceae,Malpighiales,-0.909985650739561,2.995232148512309,-1.2378743560016174
Aphanamixis,polystachya,Meliaceae,Sapindales,-0.9112621205597257,4.114006849144888,-0.8324934900624144
Apodytes,dimidiata,Metteniusaceae,Metteniusales,-0.5978370007556204,2.5572273113676265,-1.0788096613719298
Aporosa,octandra,Phyllanthaceae,Malpighiales,-1.0034293896909183,3.3724549127965013,-1.0788096613719298
Aporosa,subcaudata,Phyllanthaceae,Malpighiales,-0.6995677483628681,2.4220089311308337,-0.7807452401596214
Aporosa,yunnanensis,Phyllanthaceae,Malpighiales,-0.6069015967150516,3.0550926552001942,-1.0248716714237982
