binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Abies alba,Abies,alba,Pinaceae,Pinales,EcM,FRED4,"['Pinus alba', 'Pinus abies var. pectinata', 'Pinus picea', 'Picea pectinata']"
Abies nephrolepis,Abies,nephrolepis,Pinaceae,Pinales,EcM,FRED4,"['Abies veitchii var. nephrolepis', 'Abies sibirica var. nephrolepis', 'Pinus nephrolepis']"
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,AM,FRED4,['Racosperma auriculiforme']
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,EcMAM,FRED4,['Racosperma crassicarpum']
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,EcMAM,FRED4,['Racosperma mangium']
Acer barbinerve,Acer,barbinerve,Sapindaceae,Sapindales,AM,FRED4,['Acer diabolicum subsp. barbinerve']
Acer campbellii,Acer,campbellii,Sapindaceae,Sapindales,AM,FRED4,
Acer campestre,Acer,campestre,Sapindaceae,Sapindales,AM,FRED4,['Euacer campestre']
Acer caudatum,Acer,caudatum,Sapindaceae,Sapindales,EcMAM,FRED4,
Acer coriaceifolium,Acer,coriaceifolium,Sapindaceae,Sapindales,AM,FRED4,
Acer davidii,Acer,davidii,Sapindaceae,Sapindales,AM,FRED4,['Acer sikkimense subsp. davidii']
Acer fabri,Acer,fabri,Sapindaceae,Sapindales,AM,FRED4,
Acer laurinum,Acer,laurinum,Sapindaceae,Sapindales,,,
Acer negundo,Acer,negundo,Sapindaceae,Sapindales,NMAM,FRED4,"['Negundo aceroides', 'Rulac negundo']"
Acer pictum,Acer,pictum,Sapindaceae,Sapindales,EcMAM,FRED4,"['Kalopanax pictus', 'Acer lobelii subsp. pictum', 'Acer platanoides subsp. pictum']"
Acer platanoides,Acer,platanoides,Sapindaceae,Sapindales,NMAM,FRED4,['Euacer platanoides']
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,Sapindales,NMAM,FRED4,
Acer rubrum,Acer,rubrum,Sapindaceae,Sapindales,AM,FRED4,['Rufacer rubrum']
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,NMAM,FRED4,['Saccharodendron saccharum']
Acer tataricum,Acer,tataricum,Sapindaceae,Sapindales,EcMAM,FRED4,['Euacer tataricum']
Acer tegmentosum,Acer,tegmentosum,Sapindaceae,Sapindales,AM,FRED4,['Acer pensylvanicum var. tegmentosum']
Acer triflorum,Acer,triflorum,Sapindaceae,Sapindales,AM,FRED4,['Crula triflora']
Acer truncatum,Acer,truncatum,Sapindaceae,Sapindales,EcMAM,FRED4,"['Acer cappadocicum subsp. truncatum', 'Acer laetum var. truncatum', 'Acer lobelii subsp. truncatum', 'Acer pictum var. truncatum']"
Achillea millefolium,Achillea,millefolium,Asteraceae,Asterales,NMAM,FRED4,"['Chamaemelum millefolium', 'Alitubus millefolium', 'Santolina millefolium']"
Ackama rosifolia,Ackama,rosifolia,Cunoniaceae,Oxalidales,AM,FRED4,['Caldcluvia rosifolia']
Acronychia pedunculata,Acronychia,pedunculata,Rutaceae,Sapindales,AM,FRED4,"['Jambolifera pedunculata', 'Cyminosma pedunculata']"
Actaea cimicifuga,Actaea,cimicifuga,Ranunculaceae,Ranunculales,NMAM,FRED4,['Cimicifuga foetida']
Actinidia kolomikta,Actinidia,kolomikta,Actinidiaceae,Ericales,AM,FRED4,"['Prunus kolomikta', 'Trochostigma kolomikta']"
Actinodaphne henryi,Actinodaphne,henryi,Lauraceae,Laurales,AM,FungalRoot,
Adenocaulon himalaicum,Adenocaulon,himalaicum,Asteraceae,Asterales,AM,FRED4,
Adiantum pedatum,Adiantum,pedatum,Pteridaceae,Polypodiales,AM,FRED4,
Adina metcalfii,Adina,metcalfii,Rubiaceae,Gentianales,AM,FRED4,['Pertusadina metcalfii']
Adina pilulifera,Adina,pilulifera,Rubiaceae,Gentianales,AM,FRED4,"['Cephalanthus pilulifer', 'Nauclea pilulifera']"
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales,AM,FRED4,['Pawia hippocastanum']
Aesculus parviflora,Aesculus,parviflora,Sapindaceae,Sapindales,AM,FRED4,
Afrocarpus falcatus,Afrocarpus,falcatus,Podocarpaceae,Araucariales,AM,FungalRoot,"['Taxus falcata', 'Nageia falcata', 'Podocarpus falcatus', 'Decussocarpus falcatus']"
Agastache foeniculum,Agastache,foeniculum,Lamiaceae,Lamiales,,,"['Stachys foeniculum', 'Lophanthus foeniculum', 'Hyssopus foeniculum', 'Vleckia foeniculum']"
Agathis australis,Agathis,australis,Araucariaceae,Araucariales,AM,FRED4,"['Dammara australis', 'Salisburyodendron australis']"
Agathis kinabaluensis,Agathis,kinabaluensis,Araucariaceae,Araucariales,AM,FRED4,
Agathis moorei,Agathis,moorei,Araucariaceae,Araucariales,AM,FRED4,"['Salisburyodendron moorei', 'Dammara moorei']"
Aglaia exstipulata,Aglaia,exstipulata,Meliaceae,Sapindales,,,['Euphoria exstipulata']
Aglaia odoratissima,Aglaia,odoratissima,Meliaceae,Sapindales,,,
Agouticarpa curviflora,Agouticarpa,curviflora,Rubiaceae,Gentianales,AM,FRED4,['Genipa curviflora']
Agrimonia pilosa,Agrimonia,pilosa,Rosaceae,Rosales,AM,FRED4,"['Agrimonia eupatoria var. pilosa', 'Agrimonia dahurica var. pilosa']"
Agropyron cristatum,Agropyron,cristatum,Poaceae,Poales,AM,FRED4,"['Eremopyrum cristatum', 'Triticum cristatum', 'Costia cristata', 'Kratzmannia cristata', 'Bromus cristatus', 'Zeia cristata']"
Agrostis capillaris,Agrostis,capillaris,Poaceae,Poales,AM,FRED4,"['Agrostis polymorpha var. capillaris', 'Trichodium capillare']"
Agrostis scabra,Agrostis,scabra,Poaceae,Poales,AM,Maherali et. al. 2016,"['Agrostis hyemalis var. scabra', 'Agrostis laxiflora var. scabra', 'Trichodium scabrum']"
Aidia oxyodonta,Aidia,oxyodonta,Rubiaceae,Gentianales,AM,FRED4,['Randia oxyodonta']
Ailanthus fordii,Ailanthus,fordii,Simaroubaceae,Sapindales,,,
Aiouea montana,Aiouea,montana,Lauraceae,Laurales,,,"['Persea montana', 'Phoebe montana', 'Cinnamomum montanum', 'Laurus montana']"
Alangium chinense,Alangium,chinense,Cornaceae,Cornales,AM,FRED4,"['Karangolum chinense', 'Stylis chinensis', 'Stylidium chinense', 'Marlea chinensis']"
Alchornea tiliifolia,Alchornea,tiliifolia,Euphorbiaceae,Malpighiales,AM,FRED4,['Stipellaria tiliifolia']
Alchornea trewioides,Alchornea,trewioides,Euphorbiaceae,Malpighiales,AM,FRED4,['Stipellaria trewioides']
