F01286,F01287,F01289,F01290
Berula,erecta,Apiaceae,Apiales
Ruscus,aculeatus,Asparagaceae,Asparagales
Bellis,perennis,Asteraceae,Asterales
Erigeron,acris,Asteraceae,Asterales
Hypochaeris,radicata,Asteraceae,Asterales
Jacobaea,erucifolia,Asteraceae,Asterales
Matricaria,discoidea,Asteraceae,Asterales
Myosotis,arvensis,Boraginaceae,Boraginales
Myosotis,discolor,Boraginaceae,Boraginales
Myosotis,ramosissima,Boraginaceae,Boraginales
Arabidopsis,arenosa,Brassicaceae,Brassicales
Arabidopsis,thaliana,Brassicaceae,Brassicales
Arabis,sagittata,Brassicaceae,Brassicales
Barbarea,vulgaris,Brassicaceae,Brassicales
Brassica,rapa,Brassicaceae,Brassicales
Capsella,bursa-pastoris,Brassicaceae,Brassicales
Cardamine,pratensis,Brassicaceae,Brassicales
Erophila,verna,Brassicaceae,Brassicales
Lepidium,campestre,Brassicaceae,Brassicales
Sinapis,arvensis,Brassicaceae,Brassicales
Sisymbrium,officinale,Brassicaceae,Brassicales
Thlaspi,arvense,Brassicaceae,Brassicales
Thlaspi,perfoliatum,Brassicaceae,Brassicales
Dacryodes,rugosa,Burseraceae,Sapindales
Campanula,glomerata,Campanulaceae,Asterales
Campanula,patula,Campanulaceae,Asterales
Campanula,persicifolia,Campanulaceae,Asterales
Campanula,rapunculoides,Campanulaceae,Asterales
Scabiosa,columbaria,Caprifoliaceae,Dipsacales
Valeriana,locusta,Caprifoliaceae,Dipsacales
Cerastium,glomeratum,Caryophyllaceae,Caryophyllales
Cerastium,pumilum,Caryophyllaceae,Caryophyllales
Cerastium,semidecandrum,Caryophyllaceae,Caryophyllales
Dianthus,carthusianorum,Caryophyllaceae,Caryophyllales
Silene,vulgaris,Caryophyllaceae,Caryophyllales
Spergula,arvensis,Caryophyllaceae,Caryophyllales
Stellaria,graminea,Caryophyllaceae,Caryophyllales
Stellaria,media,Caryophyllaceae,Caryophyllales
Licania,alba,Chrysobalanaceae,Malpighiales
Helianthemum,nummularium,Cistaceae,Malvales
Clusia,latipes,Clusiaceae,Malpighiales
Phedimus,spurius,Crassulaceae,Saxifragales
Carex,leporina,Cyperaceae,Poales
Carex,muricata,Cyperaceae,Poales
Carex,ornithopoda,Cyperaceae,Poales
Carex,praecox,Cyperaceae,Poales
Carex,vulpina,Cyperaceae,Poales
Diospyros,nigrocortex,Ebenaceae,Ericales
Centaurium,erythraea,Gentianaceae,Gentianales
Geranium,pusillum,Geraniaceae,Geraniales
Griselinia,littoralis,Griseliniaceae,Apiales
Hypericum,perforatum,Hypericaceae,Malpighiales
Juncus,effusus,Juncaceae,Poales
Juncus,inflexus,Juncaceae,Poales
Luzula,campestris,Juncaceae,Poales
Clinopodium,acinos,Lamiaceae,Lamiales
Lamium,purpureum,Lamiaceae,Lamiales
Stachys,arvensis,Lamiaceae,Lamiales
Thymus,pulegioides,Lamiaceae,Lamiales
Aniba,citrifolia,Lauraceae,Laurales
Aniba,williamsii,Lauraceae,Laurales
Beilschmiedia,brachythyrsa,Lauraceae,Laurales
Beilschmiedia,percoriacea,Lauraceae,Laurales
Beilschmiedia,robusta,Lauraceae,Laurales
Cryptocarya,densiflora,Lauraceae,Laurales
Endlicheria,melinonii,Lauraceae,Laurales
Licaria,cannella,Lauraceae,Laurales
Licaria,polyphylla,Lauraceae,Laurales
Litsea,accedens,Lauraceae,Laurales
Litsea,calicaris,Lauraceae,Laurales
Litsea,cambodiana,Lauraceae,Laurales
Litsea,dilleniifolia,Lauraceae,Laurales
Litsea,monopetala,Lauraceae,Laurales
Rhodostemonodaphne,kunthiana,Lauraceae,Laurales
Magnolia,henryi,Magnoliaceae,Magnoliales
Sterculia,macrophylla,Malvaceae,Malvales
Aglaia,squamulosa,Meliaceae,Sapindales
Endocomia,macrocoma,Myristicaceae,Magnoliales
Horsfieldia,kingii,Myristicaceae,Magnoliales
Knema,globularia,Myristicaceae,Magnoliales
Knema,tenuinervia,Myristicaceae,Magnoliales
Otoba,parvifolia,Myristicaceae,Magnoliales
Virola,sebifera,Myristicaceae,Magnoliales
Epilobium,hirsutum,Onagraceae,Myrtales
Epilobium,parviflorum,Onagraceae,Myrtales
Euphrasia,officinalis,Orobanchaceae,Lamiales
Pittosporum,kerrii,Pittosporaceae,Apiales
Veronica,arvensis,Plantaginaceae,Lamiales
Veronica,officinalis,Plantaginaceae,Lamiales
Veronica,serpyllifolia,Plantaginaceae,Lamiales
Veronica,spicata,Plantaginaceae,Lamiales
Agrostis,stolonifera,Poaceae,Poales
Alopecurus,geniculatus,Poaceae,Poales
Alopecurus,pratensis,Poaceae,Poales
Anthoxanthum,odoratum,Poaceae,Poales
Arrhenatherum,elatius,Poaceae,Poales
Briza,media,Poaceae,Poales
Bromus,hordeaceus,Poaceae,Poales
Bromus,sterilis,Poaceae,Poales
Calamagrostis,canescens,Poaceae,Poales
Cynosurus,cristatus,Poaceae,Poales
Festuca,guestfalica,Poaceae,Poales
Festuca,nigrescens,Poaceae,Poales
Glyceria,fluitans,Poaceae,Poales
Helictochloa,pratensis,Poaceae,Poales
Helictotrichon,pubescens,Poaceae,Poales
Lolium,pratense,Poaceae,Poales
Phleum,bertolonii,Poaceae,Poales
Poa,angustifolia,Poaceae,Poales
Poa,annua,Poaceae,Poales
Poa,trivialis,Poaceae,Poales
Sesleria,albicans,Poaceae,Poales
Trisetum,flavescens,Poaceae,Poales
Persicaria,lapathifolia,Polygonaceae,Caryophyllales
Rumex,acetosa,Polygonaceae,Caryophyllales
Rumex,thyrsiflorus,Polygonaceae,Caryophyllales
Primula,veris,Primulaceae,Ericales
Ranunculus,acris,Ranunculaceae,Ranunculales
Ranunculus,minimus,Ranunculaceae,Ranunculales
Ripogonum,scadens,Ripogonaceae,Liliales
Alchemilla,arvensis,Rosaceae,Rosales
Alchemilla,xanthochlora,Rosaceae,Rosales
Fragaria,vesca,Rosaceae,Rosales
Fragaria,viridis,Rosaceae,Rosales
Geum,rivale,Rosaceae,Rosales
Geum,urbanum,Rosaceae,Rosales
Potentilla,argentea,Rosaceae,Rosales
Potentilla,heptaphylla,Rosaceae,Rosales
Potentilla,recta,Rosaceae,Rosales
Potentilla,verna,Rosaceae,Rosales
Potentilla,x,Rosaceae,Rosales
Cruciata,laevipes,Rubiaceae,Gentianales
Cynanchica,pyrenaica,Rubiaceae,Gentianales
Galium,album,Rubiaceae,Gentianales
Galium,pumilum,Rubiaceae,Gentianales
