"binominal","F01286","F01287","F01289","F00679","F00727","F00709","state","taxa"
"Abies_alba","Abies","alba","Pinaceae",0.496,22.12,0.24,"EcM","Abies_alba"
"Abies_alba","Abies","alba","Pinaceae",0.543,12.86,0.34,"EcM","Abies_alba"
"Abies_alba","Abies","alba","Pinaceae",0.62,61.1,0.153,"EcM","Abies_alba"
"Abies_nephrolepis","Abies","nephrolepis","Pinaceae",0.415233333,27.04585714,0.279705882,"EcM","Abies_nephrolepis"
"Acacia_auriculiformis","Acacia","auriculiformis","Fabaceae",0.38313,93.62,0.25,"EcMAM","Acacia_auriculiformis"
"Acacia_auriculiformis","Acacia","auriculiformis","Fabaceae",0.50985,21.93,0.34,"EcMAM","Acacia_auriculiformis"
"Acacia_auriculiformis","Acacia","auriculiformis","Fabaceae",0.55244,6.36,0.33,"EcMAM","Acacia_auriculiformis"
"Acacia_auriculiformis","Acacia","auriculiformis","Fabaceae",0.28647,60.96,0.22,"EcMAM","Acacia_auriculiformis"
"Acacia_auriculiformis","Acacia","auriculiformis","Fabaceae",0.36203,38.78,0.27,"EcMAM","Acacia_auriculiformis"
"Acacia_auriculiformis","Acacia","auriculiformis","Fabaceae",0.85278,2.47,0.35,"EcMAM","Acacia_auriculiformis"
"Acacia_crassicarpa","Acacia","crassicarpa","Fabaceae",0.22593,108.28,0.36,"EcMAM","Acacia_crassicarpa"
"Acacia_mangium","Acacia","mangium","Fabaceae",0.25255,99.19,0.29,"EcMAM","Acacia_mangium"
"Acer_barbinerve","Acer","barbinerve","Sapindaceae",0.2523,143.6789729,0.152828829,"AM","Acer_barbinerve"
"Acer_campbellii","Acer","campbellii","Sapindaceae",0.18975,79.07241758,0.455,"AM","Acer_campbellii"
"Acer_campestre","Acer","campestre","Sapindaceae",0.429,18.21,0.39,"AM","Acer_campestre"
"Acer_campestre","Acer","campestre","Sapindaceae",0.413,43.73,0.17,"AM","Acer_campestre"
"Acer_caudatum","Acer","caudatum","Sapindaceae",0.2359,87.39493519,0.26,"AM","Acer_caudatum"
