binominal,F00645
Abies alba,EcM
Abies nephrolepis,EcM
Acacia auriculiformis,AM
Acacia crassicarpa,EcMAM
Acacia mangium,EcMAM
Acer barbinerve,AM
Acer campbellii,AM
Acer campestre,AM
Acer caudatum,EcM
Acer caudatum,EcMAM
Acer caudatum,AM
Acer coriaceifolium,AM
Acer davidii,AM
Acer fabri,AM
Acer negundo,AM
Acer negundo,NM
Acer pictum,EcM
Acer pictum,AM
Acer platanoides,AM
Acer platanoides,NM
Acer pseudoplatanus,AM
Acer pseudoplatanus,NM
Acer rubrum,AM
Acer saccharum,AM
Acer saccharum,NM
Acer tataricum,EcM
Acer tataricum,EcMAM
Acer tataricum,AM
Acer tegmentosum,AM
Acer triflorum,AM
Acer truncatum,EcMAM
Achillea millefolium,AM
Achillea millefolium,NM
Ackama rosifolia,AM
Acronychia pedunculata,AM
Actaea cimicifuga,NMAM
Actinidia kolomikta,AM
Adenocaulon himalaicum,AM
Adiantum pedatum,AM
Adina metcalfii,AM
Adina pilulifera,AM
Aesculus hippocastanum,AM
Aesculus parviflora,AM
Agathis australis,AM
Agathis kinabaluensis,AM
Agathis moorei,AM
Agouticarpa curviflora,AM
Agrimonia pilosa,AM
Agropyron cristatum,AM
Agrostis capillaris,AM
Aidia oxyodonta,AM
Alangium chinense,AM
Alchornea tiliifolia,AM
Alchornea trewioides,AM
Alectryon excelsus,AM
Alibertia claviflora,AM
Alibertia edulis,AM
Allantoma lineata,AM
Allium bidentatum,AM
Allium tenuissimum,AM
Allophylus cobbe,AM
Alniphyllum fortunei,AM
Alnus glutinosa,EcM
Alpinia japonica,AM
Alseis blackiana,AM
Alsophila smithii,AM
Alsophila tricolor,AM
Alstonia scholaris,AM
Amaioua glomerulata,AM
Amaioua guianensis,AM
Anaphalis aureopunctata,NMAM
Anaphalis hancockii,AM
Aniba guianensis,AM
Aniba hostmanniana,AM
Aniba terminalis,AM
Antidesma maclurei,AM
Aphanamixis polystachya,AM
Aporosa octandra,AM
Aporosa yunnanensis,AM
Araucaria luxurians,AM
Araucaria rulei,AM
Archidendron clypearia,AM
Archidendron lucidum,AM
Ardisia depressa,AM
Ardisia japonica,AM
Arenaria serpyllifolia,NMAM
Aristotelia serrata,AM
Artemisia frigida,AM
Artemisia igniaria,AM
Artemisia mongolica,AM
Artocarpus styracifolius,AM
Ascarina lucida,AM
Asimina triloba,AM
Asparagus schoberioides,AM
Asplenium bulbiferum,AM
Astelia fragrans,AM
Astelia nervosa,AM
Aster scaber,AM
Aster tataricus,AM
Astilbe rivularis,AM
Astilbe rubra,AM
Athyrium monomachii,AM
Athyrium sinense,AM
Athyrium spinulosum,AM
Barringtonia racemosa,AM
Beilschmiedia tarairi,AM
Beilschmiedia tawa,AM
Berberis thunbergii,AM
Betula costata,EcM
Betula dahurica,EcM
Betula fruticosa,EcM
Betula lenta,EcM
Betula pendula,EcM
Betula utilis,EcM
Blastus cochinchinensis,AM
Blastus pauciflorus,AM
Blechnopsis orientalis,AM
Blepharocalyx eggersii,AM
Brachypodium phoenicoides,AM
Brachypodium pinnatum,AM
Brachypodium sylvaticum,AM
Bromus catharticus,AM
Bromus erectus,AM
Bromus inermis,AM
Bromus inermis,NM
Bromus madritensis,AM
Brosimum lactescens,AM
Brosimum rubescens,AM
Brosimum utile,AM
Calamus rhabdocladus,AM
Calliandra houstoniana,AM
Callitropsis nootkatensis,AM
Calluna vulgaris,ErM
Calocedrus decurrens,AM
Caltha palustris,AM
Caltha palustris,NM
Caltha palustris,NMAM
Calycolpus goetheanus,AM
Campanula rotundifolia,AM
Campanula rotundifolia,NM
Canarium album,AM
Carallia brachiata,AM
Carapichea pacimonica,AM
Carex flacca,NMAM
Carex humulis,NM
Carex lasiocarpa,NM
Carex obtusata,NMAM
Carpinus betulus,EcM
Carpinus cordata,EcM
Carpodetus serratus,AM
Carya glabra,EcM
Carya ovata,EcM
Caryota maxima,AM
Castanea henryi,EcM
Castanopsis carlesii,EcM
Castanopsis echinocarpa,EcM
Castanopsis eyrei,EcM
Castanopsis fabri,EcM
Castanopsis fargesii,EcM
Castanopsis fissa,EcM
Castanopsis hystrix,EcM
Castanopsis wattii,EcM
Catalpa bignonioides,AM
Catostemma sclerophyllum,AM
Catunaregam spinosa,AM
Caulophyllum robustum,AM
Cedrus libani,EcM
Celtis australis,AM
Celtis sinensis,AM
Cephalotaxus harringtonii,AM
Cerastium arvense,AM
Cerastium arvense,NM
Cerastium arvense,NMAM
Cercidiphyllum japonicum,AM
Cercis canadensis,AM
Chamaecyparis obtusa,AM
Chamaecyparis pisifera,AM
Chamaerhodos erecta,NM
Chassalia subnuda,AM
Chenopodium album,AM
Chenopodium album,NM
Chenopodium album,NMAM
Chionanthus virginicus,AM
Choerospondias axillaris,AM
Chomelia psilocarpa,AM
Chomelia tenuiflora,AM
Chromolucuma rubriflora,AM
Chrysojasminum fruticans,AM
Chrysophyllum sanguinolentum,AM
Cibotium barometz,NM
Cichorium intybus,AM
Cinnamomum austro-sinensis,AM
Cinnamomum camphora,AM
Cinnamomum chekiangense,AM
Cinnamomum iners,AM
Cinnamomum micranthum,AM
Cinnamomum parthenoxylon,AM
Cistus albidus,EcM
Cistus ladanifer,EcM
Cistus monspeliensis,EcM
Cistus salviifolius,EcM
Cleistogenes squarrosa,AM
Cleistogenes squarrosa,NM
Clitoria javitensis,AM
Coccoloba excelsa,EcMAM
Coccoloba manzinellensis,EcMAM
Combretum decandrum,AM
Convallaria majalis,AM
Convallaria majalis,NMAM
Coprosma ciliata,AM
Coprosma foetidissima,AM
Coprosma linariifolia,AM
Coprosma lucida,AM
Coprosma rhamnoides,AM
Cordiera myrciifolia,AM
Coriaria arborea,AM
Cornus bretschneideri,AM
Cornus controversa,AM
Cornus florida,AM
Cornus kousa,AM
Cornus officinalis,EcMAM
Cornus ulotricha,AM
Corylus ferox,EcM
Corylus sieboldiana,EcM
Corynocarpus laevigatus,AM
Corythophora alta,AM
Cotoneaster acutifolius,AM
Cotoneaster adpressus,AM
Cotoneaster multiflorus,AM
Couepia magnoliifolia,AM
Crataegus monogyna,AM
Crataegus pinnatifida,AM
Crataegus pinnatifida,EcM
Cratoxylum cochinchinense,AM
Crepis tectorum,NM
Cryptocarya chinensis,AM
Cryptocarya concinna,AM
Cryptomeria japonica,AM
Cunninghamia lanceolata,AM
Cyathea smithii,AM
Cycas nathorstii,AM
Cycas panzhihuaensis,AM
Cydonia oblonga,AM
Dacrycarpus dacrydioides,AM
Dacrycarpus imbricatus,AM
Dacrydium balansae,AM
Dacrydium cupressinum,AM
Dacrydium gracile,AM
Dacrydium pectinatum,AM
Dactylis glomerata,EcM
Dactylis glomerata,AM
Dactylis glomerata,NM
Daphniphyllum pentandrum,AM
Daucus carota,AM
Decaspermum gracilentum,AM
Dendropanax dentigerus,AM
Deschampsia cespitosa,AM
Deschampsia cespitosa,NM
Descurainia sophia,NM
Deutzia glabrata,AM
Deutzia grandiflora,AM
Dicksonia squarrosa,AM
Dicranopteris linearis,AM
Dicranopteris pedata,NM
Didymocheton spectabilis,AM
Dioon rzedowskii,AM
Dioscorea nipponica,AM
Diospyros strigosa,AM
Diospyros virginiana,AM
Diplospora dubia,AM
Dracophyllum longifolium,ErM
Dracophyllum longifolium,AM
Dryopteris lepidopoda,NM
Dryopteris sparsa,AM
Elaeocarpus dentatus,AM
Elaeocarpus dubius,AM
