species,mycorrhiza type
Carex tibetikobresia,EcM; others not addressed
Carex tibetikobresia,non-mycorrhizal (checked for all types)
Amelanchier alnifolia,AM; no others
Amelanchier alnifolia,EcM; others not addressed
Festuca hallii,AM; no others
Bituminaria bituminosa,AM; no others
Imbralyx leptobotrys,AM; others not addressed
Hesperostipa comata,AM; others not addressed
Hesperostipa comata,AM; no others
Chamaecrista fasciculata,AM; no others
Cistus halimifolius,AM; no others
Arnica sororia,AM; others not addressed
Hesperostipa spartea,AM; no others
Toxicodendron acuminatum,AM; others not addressed
Aster lanceolatus,AM; others not addressed
Erica arborea,ErM
Juniperus phoenicea,AM; others not addressed
Astragalus scaberrimus,AM; others not addressed
Sextonia rubra,AM; others not addressed
Protium sagotianum,AM; others not addressed
Combretum collinum,AM; others not addressed
Hakea ceratophylla,non-mycorrhizal (checked for all types)
Hakea lissocarpha,non-mycorrhizal (checked for all types)
Carpinus caroliniana,EcM; no others
Osyris alba,AM; others not addressed
Thymelaea hirsuta,non-mycorrhizal (checked for all types)
Osyris alba,AM; no others
Thymelaea hirsuta,AM; no others
Poa cusickii,AM; others not addressed
Quercus glauca,"EcM,AM"
Onoclea sensibilis,AM; others not addressed
Chrysopsis villosa,AM; others not addressed
Rubia peregrina,AM; others not addressed
Solidago missouriensis,AM; others not addressed
Antennaria neglecta,AM; no others
Symphyotrichum novae-angliae,AM; no others
Eragrostis trichodes,AM; no others
Helianthus grosseserratus,AM; no others
Helianthus mollis,AM; no others
Helianthus pauciflorus,AM; no others
Onoclea sensibilis,AM; no others
Solidago speciosa,AM; no others
Actinodaphne henryi,AM; others not addressed
Castanopsis calathiformis,AM; others not addressed
Litsea panamanja,AM; others not addressed
Phoebe puwenensis,AM; others not addressed
Machilus tenuipilis,AM; others not addressed
Quercus glauca,EcM; no others
Antiaris toxicaria,AM; others not addressed
Quercus glauca,EcM; others not addressed
Sarcandra glabra,AM; others not addressed
Calamagrostis canadensis,AM; no others
Helicostylis tomentosa,AM; others not addressed
Platanus acerifolia,AM; others not addressed
Philadelphus incanus,AM; others not addressed
Lespedeza thunbergii,"EcM,AM"
Cinnamomum glanduliferum,AM; others not addressed
Baccaurea ramiflora,AM; others not addressed
Cryptocarya yunnanensis,AM; others not addressed
Lepisanthes senegalensis,AM; others not addressed
Xanthophyllum flavescens,AM; others not addressed
Calamagrostis canadensis,AM; others not addressed
Ficus langkokensis,AM; others not addressed
Ardisia quinquegona,AM; others not addressed
Clarisia racemosa,AM; others not addressed
Allium textile,AM; others not addressed
Artemisia cana,AM; others not addressed
Symphyotrichum laeve,AM; others not addressed
Astragalus bisulcatus,AM; others not addressed
Comandra umbellata,AM; others not addressed
Xanthisma spinulosum,AM; others not addressed
Hymenoxys richardsonii,AM; others not addressed
Monarda fistulosa,AM; others not addressed
Orthocarpus luteus,non-mycorrhizal (checked for all types)
Penstemon nitidus,AM; others not addressed
Phlox hoodii,AM; others not addressed
Sphaeralcea coccinea,AM; others not addressed
Thermopsis rhombifolia,AM; others not addressed
Vicia americana,AM; others not addressed
Ilex pedunculosa,AM; no others
Afrocarpus falcatus,AM; no others
Antiaris toxicaria,non-mycorrhizal (checked for all types)
Baccaurea ramiflora,AM; no others
Canarium subulatum,AM; no others
Graffenrieda emarginata,"EcM,AM"
Antennaria neglecta,AM; others not addressed
Nassella viridula,AM; others not addressed
Apodytes dimidiata,AM; no others
Comandra umbellata,AM; no others
Orthocarpus luteus,AM; no others
Heliopsis helianthoides,non-mycorrhizal (checked for all types)
Ratibida pinnata,AM; others not addressed
Protium giganteum,AM; no others
Symplocos cochinchinensis,AM; others not addressed
Erica arborea,non-mycorrhizal (checked for all types)
Juniperus phoenicea,non-mycorrhizal (checked for all types)
Osyris alba,non-mycorrhizal (checked for all types)
Rubia peregrina,"EcM,AM"
Oxytropis sericea,non-mycorrhizal (checked for all types)
Ardisia quinquegona,non-mycorrhizal (checked for all types)
Ficus fistulosa,AM; others not addressed
Lindera metcalfiana,non-mycorrhizal (checked for all types)
Sarcandra glabra,non-mycorrhizal (checked for all types)
Afrocarpus falcatus,AM; others not addressed
Cleidion brevipetiolatum,AM; others not addressed
Harpullia cupanioides,AM; others not addressed
Pseuduvaria trimera,non-mycorrhizal (checked for all types)
Rubia peregrina,EcM; others not addressed
Rhododendron ponticum,ErM
Helianthemum apenninum,AM; others not addressed
Helianthemum apenninum,EcM; others not addressed
Penstemon procerus,AM; no others
Litsea salicifolia,AM; others not addressed
Carya cordiformis,EcM; no others
Quercus bicolor,EcM; no others
Guarea kunthiana,AM; others not addressed
Erysimum inconspicuum,non-mycorrhizal (checked for all types)
Afrocarpus falcatus,non-EcM; others not addressed
Graffenrieda emarginata,non-EcM; others not addressed
Litsea glutinosa,AM; no others
Sphaeralcea coccinea,AM; no others
Phlox hoodii,AM; no others
Symphyotrichum puniceum,AM; no others
Zizia aurea,AM; no others
Apodytes dimidiata,non-mycorrhizal (checked for all types)
