binominal,state
Agrostis scabra,AM
Ambrosia artemisiifolia,AM
Andropogon gerardii,AM
Anthyllis cytisoides,AM
Arbutus unedo,EM
Artemisia ludoviciana,AM
Asclepias incarnata,AM
Asclepias syriaca,AM
Asclepias tuberosa,AM
Baptisia alba,AM
Berteroa incana,NM
Bouteloua curtipendula,AM
Bouteloua gracilis,AM
Carex filifolia,NM
Castanopsis indica,AMNM
Coriaria nepalensis,AM
Crepis foetida,AM
Croton kongensis,AM
Dalea purpurea,AM
Draba nemorosa,NM
Ekebergia capensis,AM
Elaeagnus commutata,AM
Ficus citrifolia,AM
Fumana thymifolia,AM
Garcinia xanthochymus,AM
Geranium rotundifolium,AM
Gutierrezia sarothrae,AM
Helianthemum almeriense,EM
Helianthus annuus,AM
Helianthus maximiliani,AM
Helichrysum italicum,AM
Helichrysum stoechas,AM
Heliocarpus americanus,AM
Ilex verticillata,AM
Inga nobilis,AM
Iris versicolor,AM
Koeleria vallesiana,AM
Lepidium densiflorum,NM
Lespedeza capitata,AM
Liatris aspera,AM
Oenothera biennis,AM
Olea europaea,AM
Panicum capillare,AMNM
Phoebe lanceolata,AM
Podophyllum peltatum,AM
Pometia pinnata,AMNM
Populus trichocarpa,EM
Pycnanthemum virginianum,AM
Quercus palustris,EM
Quercus suber,EM
Schizachyrium scoparium,AM
Solidago nemoralis,AM
Solidago rigida,AM
Sorghastrum nutans,AM
Sporobolus heterolepis,AM
Symphyotrichum ericoides,AM
Theobroma cacao,AM
Thymus mastichina,AM
Tragopogon dubius,AM
Ulex parviflorus,AM
Verbena hastata,AM
Vicia villosa,AM
