name,synonym
Abies alba,"('Pinus alba', 'Pinus abies var. pectinata', 'Pinus picea', 'Picea pectinata')"
Abies nephrolepis,"('Abies veitchii var. nephrolepis', 'Abies sibirica var. nephrolepis', 'Pinus nephrolepis')"
Acacia auriculiformis,"('Racosperma auriculiforme',)"
Acacia crassicarpa,"('Racosperma crassicarpum',)"
Acacia mangium,"('Racosperma mangium',)"
Acer barbinerve,"('Acer diabolicum subsp. barbinerve',)"
Acer campestre,"('Euacer campestre',)"
Acer davidii,"('Acer sikkimense subsp. davidii',)"
Acer negundo,"('Negundo aceroides', 'Rulac negundo')"
Acer pictum,"('Kalopanax pictus', 'Acer lobelii subsp. pictum', 'Acer platanoides subsp. pictum')"
Acer platanoides,"('Euacer platanoides',)"
Acer rubrum,"('Rufacer rubrum',)"
Acer saccharum,"('Saccharodendron saccharum',)"
Acer tataricum,"('Euacer tataricum',)"
Acer tegmentosum,"('Acer pensylvanicum var. tegmentosum',)"
Acer triflorum,"('Crula triflora',)"
Acer truncatum,"('Acer cappadocicum subsp. truncatum', 'Acer laetum var. truncatum', 'Acer lobelii subsp. truncatum', 'Acer pictum var. truncatum')"
Achillea millefolium,"('Chamaemelum millefolium', 'Alitubus millefolium', 'Santolina millefolium')"
Ackama rosifolia,"('Caldcluvia rosifolia',)"
Acronychia pedunculata,"('Jambolifera pedunculata', 'Cyminosma pedunculata')"
Actaea cimicifuga,"('Cimicifuga foetida',)"
Actinidia kolomikta,"('Prunus kolomikta', 'Trochostigma kolomikta')"
Adina metcalfii,"('Pertusadina metcalfii',)"
Adina pilulifera,"('Cephalanthus pilulifer', 'Nauclea pilulifera')"
Aesculus hippocastanum,"('Pawia hippocastanum',)"
Afrocarpus falcatus,"('Taxus falcata', 'Nageia falcata', 'Podocarpus falcatus', 'Decussocarpus falcatus')"
Agastache foeniculum,"('Stachys foeniculum', 'Lophanthus foeniculum', 'Hyssopus foeniculum', 'Vleckia foeniculum')"
Agathis australis,"('Dammara australis', 'Salisburyodendron australis')"
Agathis moorei,"('Salisburyodendron moorei', 'Dammara moorei')"
Aglaia exstipulata,"('Euphoria exstipulata',)"
Agouticarpa curviflora,"('Genipa curviflora',)"
Agrimonia pilosa,"('Agrimonia eupatoria var. pilosa', 'Agrimonia dahurica var. pilosa')"
Agropyron cristatum,"('Eremopyrum cristatum', 'Triticum cristatum', 'Costia cristata', 'Kratzmannia cristata', 'Bromus cristatus', 'Zeia cristata')"
Agrostis capillaris,"('Agrostis polymorpha var. capillaris', 'Trichodium capillare')"
Agrostis scabra,"('Agrostis hyemalis var. scabra', 'Agrostis laxiflora var. scabra', 'Trichodium scabrum')"
Aidia oxyodonta,"('Randia oxyodonta',)"
Aiouea montana,"('Persea montana', 'Phoebe montana', 'Cinnamomum montanum', 'Laurus montana')"
Alangium chinense,"('Karangolum chinense', 'Stylis chinensis', 'Stylidium chinense', 'Marlea chinensis')"
Alchornea tiliifolia,"('Stipellaria tiliifolia',)"
Alchornea trewioides,"('Stipellaria trewioides',)"
Alibertia claviflora,"('Borojoa claviflora', 'Cordiera claviflora')"
Alibertia edulis,"('Genipa edulis', 'Cordiera edulis', 'Gardenia edulis', 'Amaioua edulis')"
Allantoma lineata,"('Couratari lineata',)"
Allophylus abyssinicus,"('Schmidelia abyssinica',)"
Allophylus cobbe,"('Ornitrophe cobbe', 'Schmidelia cobbe', 'Toxicodendrum cobbe', 'Rhus cobbe')"
Alniphyllum fortunei,"('Halesia fortunei',)"
Alnus glutinosa,"('Betula alnus var. glutinosa', 'Betula glutinosa', 'Betula alnus subsp. glutinosa')"
Alpinia japonica,"('Globba japonica', 'Languas japonica')"
Alseodaphnopsis andersonii,"('Alseodaphne andersonii', 'Cryptocarya andersonii')"
Alsophila smithii,"('Hemitelia smithii', 'Cyathea smithii')"
Alstonia scholaris,"('Echites scholaris', 'Pala scholaris')"
Amaioua glomerulata,"('Rondeletia glomerulata', 'Mussaenda glomerulata')"
Ambrosia artemisiifolia,"('Ambrosia elatior var. artemisiifolia',)"
Amelanchier alnifolia,"('Pyrus alnifolia', 'Amelanchier sanguinea var. alnifolia', 'Amelanchier canadensis var. alnifolia', 'Amelanchier diversifolia var. alnifolia', 'Aronia alnifolia')"
Andesanthus lepidotus,"('Tibouchina lepidota', 'Pleroma lepidotum', 'Chaetogastra lepidota', 'Rhexia lepidota')"
Androsace occidentalis,"('Primula occidentalis', 'Aretia occidentalis', 'Amadea occidentalis')"
Aniba coto,"('Nectandra coto',)"
Aniba guianensis,"('Cedrota guianensis',)"
Aniba hostmanniana,"('Aydendron hostmannianum',)"
Aniba muca,"('Aydendron muca', 'Laurus muca')"
Antennaria parvifolia,"('Antennaria dioica var. parvifolia',)"
Anthyllis cytisoides,"('Zenopogon cytisoides',)"
Anthyllis terniflora,"('Anthyllis cytisoides subsp. terniflora', 'Genista terniflora')"
Antiaris toxicaria,"('Cestrum toxicarium', 'Mithridatea toxicaria', 'Ipo toxicaria')"
Aphanamixis polystachya,"('Amoora polystachya', 'Aglaia polystachya', 'Ricinocarpodendron polystachyum')"
Aporosa octandra,"('Myrica octandra',)"
Aporosa yunnanensis,"('Aporosa wallichii f. yunnanensis',)"
Araucaria luxurians,"('Eutassa luxurians', 'Araucaria columnaris f. luxurians', 'Araucaria cookii var. luxurians')"
Araucaria rulei,"('Eutassa rulei', 'Eutacta rulei')"
Archidendron clypearia,"('Pithecellobium clypearia', 'Abarema clypearia', 'Feuilleea clypearia', 'Inga clypearia', 'Albizia clypearia')"
Archidendron lucidum,"('Pithecellobium lucidum', 'Abarema lucida')"
Ardisia japonica,"('Tinus japonica', 'Bladhia japonica')"
Ardisia quinquegona,"('Bladhia quinquegona',)"
Arenaria serpyllifolia,"('Stellaria serpyllifolia', 'Alsinanthus serpyllifolius')"
Aristotelia serrata,"('Dicera serrata',)"
Armeria velutina,"('Statice velutina', 'Armeria maritima subsp. velutina')"
Arnica fulgens,"('Arnica montana var. fulgens',)"
Arnica sororia,"('Arnica fulgens var. sororia',)"
Artemisia barrelieri,"('Seriphidium barrelieri',)"
Artemisia cana,"('Seriphidium canum',)"
Artemisia frigida,"('Absinthium frigidum',)"
Artemisia ludoviciana,"('Artemisia vulgaris var. ludoviciana', 'Artemisia vulgaris subsp. ludoviciana')"
Artemisia mongolica,"('Artemisia vulgaris var. mongolica',)"
Asclepias incarnata,"('Acerates incarnata',)"
Asimina triloba,"('Uvaria triloba', 'Porcelia triloba', 'Annona triloba')"
Asplenium bulbiferum,"('Asplenium marinum var. bulbiferum', 'Caenopteris bulbifera', 'Chamaefilix bulbifera')"
Astelia fragrans,"('Funckia fragrans',)"
Astelia nervosa,"('Funckia nervosa',)"
Aster lanceolatus,"('Symphyotrichum lanceolatum',)"
Aster scaber,"('Cardiagyris scabra', 'Doellingeria scabra')"
Astragalus agrestis,"('Phaca agrestis',)"
Astragalus bisulcatus,"('Phaca bisulcata', 'Diholcos bisulcatus', 'Tragacantha bisulcata')"
Astragalus canadensis,"('Phaca canadensis', 'Tragacantha canadensis')"
Astragalus scaberrimus,"('Tragacantha scaberrima',)"
Athyrium monomachii,"('Athyrium filix-femina var. monomachii',)"
Athyrium sinense,"('Athyrium filix-femina subsp. sinense',)"
Athyrium spinulosum,"('Cystopteris spinulosa', 'Pseudocystopteris spinulosa')"
Baptisia alba,"('Podalyria alba', 'Sophora alba', 'Crotalaria alba')"
Barringtonia racemosa,"('Caryophyllus racemosus', 'Butonica racemosa', 'Butonica alba', 'Eugenia racemosa', 'Michelia racemosa', 'Stravadium racemosum', 'Huttum racemosum')"
Bathysa australis,"('Voigtia australis', 'Cinchona australis', 'Exostema australe')"
Beilschmiedia tarairi,"('Laurus tarairi',)"
Beilschmiedia tawa,"('Laurus tawa',)"
Berteroa incana,"('Moenchia incana', 'Vesicaria incana', 'Alyssum incanum', 'Farsetia incana')"
Betula costata,"('Betula ermanii f. costata', 'Betula ermanii var. costata', 'Betula ulmifolia var. costata')"
Betula pendula,"('Betula alba lusus pendula', 'Betula alba var. pendula', 'Betula alba var. pendula')"
Bituminaria bituminosa,"('Aspalthium bituminosum', 'Lotodes bituminosum', 'Rhynchodium bituminosum', 'Psoralea bituminosa', 'Bipontinia bituminosa')"
Blastus pauciflorus,"('Oxyspora pauciflora', 'Allomorphia pauciflora')"
Blechnopsis orientalis,"('Blechnum orientale',)"
Blepharocalyx eggersii,"('Marlieriopsis eggersii', 'Mitranthes eggersii')"
Blumeodendron tokbrai,"('Mallotus tokbrai', 'Elateriospermum tokbrai', 'Blumeodendron elateriospermum', 'Rottlera tokbrai')"
Bouteloua curtipendula,"('Cynodon curtipendulus', 'Atheropogon curtipendulus', 'Dinebra curtipendula', 'Andropogon curtipendulus', 'Chloris curtipendula', 'Eutriana curtipendula')"
Bouteloua gracilis,"('Atheropogon gracilis', 'Chondrosum gracile', 'Eutriana gracilis', 'Actinochloa gracilis')"
Brachypodium phoenicoides,"('Schedonorus phoenicoides', 'Brachypodium pinnatum subsp. phoenicoides', 'Brachypodium pinnatum var. phoenicoides', 'Festuca phoenicoides', 'Brachypodium pinnatum subsp. phoenicoides', 'Brachypodium cespitosum var. phoenicoides', 'Poa phoenicoides', 'Brachypodium ramosum var. phoenicoides', 'Brachypodium ramosum proles phoenicoides', 'Brachypodium pinnatum var. phoenicoides', 'Brachypodium caespitosum var. phoenicoides', 'Triticum phoenicoides', 'Bromus phoenicoides')"
Brachypodium pinnatum,"('Festuca pinnata', 'Bromus pinnatus', 'Tragus pinnatus', 'Triticum pinnatum', 'Agropyron pinnatum')"
Brachypodium sylvaticum,"('Bromus pinnatus var. sylvaticus', 'Festuca sylvatica', 'Brachypodium pinnatum var. sylvaticum', 'Brachypodium pinnatum var. sylvaticum', 'Festuca pinnata var. sylvatica', 'Brevipodium sylvaticum', 'Agropyron sylvaticum', 'Bromus sylvaticus', 'Triticum sylvaticum')"
Bromus catharticus,"('Ceratochloa cathartica',)"
Bromus erectus,"('Forasaccus erectus', 'Festuca erecta', 'Schedonorus erectus', 'Bromopsis erecta', 'Zerna erecta')"
Bromus inermis,"('Forasaccus inermis', 'Zerna inermis', 'Festuca inermis', 'Schedonorus inermis', 'Bromopsis inermis')"
Bromus madritensis,"('Anisantha madritensis', 'Zerna madritensis', 'Genea madritensis', 'Festuca madritensis', 'Bromus rubens subsp. madritensis', 'Bromus sterilis var. madritensis')"
Brosimum lactescens,"('Brosimopsis lactescens',)"
Brosimum rubescens,"('Piratinera rubescens',)"
Brosimum utile,"('Piratinera utilis', 'Galactodendrum utile')"
Calamagrostis canadensis,"('Arundo canadensis', 'Calamagrostis langsdorffii var. marylandica', 'Deyeuxia canadensis')"
Calliandra houstoniana,"('Mimosa houstoniana', 'Anneslia houstoniana')"
Callitropsis nootkatensis,"('Xanthocyparis nootkatensis', 'Chamaecyparis nootkatensis', 'Cupressus nootkatensis')"
Calluna vulgaris,"('Ericoides vulgaris', 'Erica vulgaris')"
Calocedrus decurrens,"('Heyderia decurrens', 'Thuja decurrens', 'Libocedrus decurrens')"
Calpurnia aurea,"('Virgilia aurea', 'Podalyria aurea', 'Sophora aurea')"
Caltha palustris,"('Populago palustris', 'Trollius palustris')"
Calycolpus goetheanus,"('Myrtus goetheana',)"
Canarium album,"('Pimela alba',)"
Carallia brachiata,"('Karekandelia brachiata', 'Petalotoma brachiata', 'Diatoma brachiata')"
Carapichea pacimonica,"('Uragoga pacimonica', 'Psychotria pacimonica')"
Carex atrofusca,"('Proteocarpus atrofuscus',)"
Carex coriophora,"('Carex atrofusca subsp. coriophora', 'Carex atrofusca var. coriophora')"
Carex filifolia,"('Olotrema filifolia', 'Uncinia filifolia')"
Carex korshinskyi,"('Carex supina var. korshinskyi', 'Carex supina subsp. korshinskyi')"
Carex obtusata,"('Genersichia obtusata', 'Psyllophora obtusata')"
Carex pseuduncinoides,"('Kobresia pseuduncinoides',)"
Carex tibetikobresia,"('Kobresia capillifolia var. tibetica', 'Kobresia tibetica')"
Carpinus cordata,"('Distegocarpus cordatus',)"
Carya cordiformis,"('Juglans cordiformis', 'Hicorius cordiformis')"
Carya glabra,"('Juglans glabra', 'Hicorius glabra', 'Scoria glabra')"
Carya ovata,"('Juglans alba var. ovata', 'Juglans alba ovata', 'Carya alba subsp. ovata', 'Juglans ovata', 'Hicorius ovata', 'Scoria ovata')"
Caryota maxima,"('Caryota rumphiana var. javanica',)"
Castanea henryi,"('Castanopsis henryi',)"
