F01286,F01287,F01289,F01290
Larix,gmelinii,Pinaceae,Pinales
Fraxinus,mandshurica,Oleaceae,Lamiales
Populus,trichocarpa,Salicaceae,Malpighiales
Populus,tremula,Salicaceae,Malpighiales
Cinnamomum,micranthum,Lauraceae,Laurales
Magnolia,odora,Magnoliaceae,Magnoliales
Cinnamomum,chekiangense,Lauraceae,Laurales
Castanopsis,fabri,Fagaceae,Fagales
Liquidambar,gracilipes,Altingiaceae,Saxifragales
Castanopsis,carlesii,Fagaceae,Fagales
Liquidambar,obovata,Altingiaceae,Saxifragales
Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
Endospermum,chinense,Euphorbiaceae,Malpighiales
Aristotelia,serrata,Elaeocarpaceae,Oxalidales
Ascarina,lucida,Chloranthaceae,Chloranthales
Asplenium,bulbiferum,Aspleniaceae,Polypodiales
Astelia,fragrans,Asteliaceae,Asparagales
Astelia,nervosa,Asteliaceae,Asparagales
Blechnum,lanceolatum,Aspleniaceae,Polypodiales
Lomaria,discolor,Blechnaceae,Polypodiales
Blechnum,fluviatilis,Aspleniaceae,Polypodiales
Parablechnum,novae-zelandiae,Blechnaceae,Polypodiales
Parablechnum,procerum,Blechnaceae,Polypodiales
Carpodetus,serratus,Rousseaceae,Asterales
Coprosma,ciliata,Rubiaceae,Gentianales
Coprosma,foetidissima,Rubiaceae,Gentianales
Coprosma,lucida,Rubiaceae,Gentianales
Coprosma,rhamnoides,Rubiaceae,Gentianales
Coriaria,arborea,Coriariaceae,Cucurbitales
Cyathea,smithii,Cyatheaceae,Cyatheales
Dacrydium,cupressinum,Podocarpaceae,Araucariales
Dicksonia,squarrosa,Dicksoniaceae,Cyatheales
Gahnia,procera,Cyperaceae,Poales
Gahnia,xanthocarpa,Cyperaceae,Poales
Hedycarya,arborea,Monimiaceae,Laurales
Lepidothamnus,intermedius,Podocarpaceae,Araucariales
Leptecophylla,juniperina,Ericaceae,Ericales
Leptospermum,scoparium,Myrtaceae,Myrtales
Pseudodiphasium,volubile,Lycopodiaceae,Lycopodiales
Manoao,colensoi,Podocarpaceae,Araucariales
Melicytus,ramiflorus,Violaceae,Malpighiales
Metrosideros,diffusa,Myrtaceae,Myrtales
Metrosideros,fulgens,Myrtaceae,Myrtales
Metrosideros,umbellata,Myrtaceae,Myrtales
Myrsine,australis,Primulaceae,Ericales
Myrsine,divaricata,Primulaceae,Ericales
Neomyrtus,pedunculata,Myrtaceae,Myrtales
Olearia,avicenniaefolia,Asteraceae,Asterales
Phyllocladus,trichomanoides,Podocarpaceae,Araucariales
Podocarpus,laetus,Podocarpaceae,Araucariales
Polystichum,chilense,Dryopteridaceae,Polypodiales
Pectinopitys,ferruginea,Podocarpaceae,Pinales
Neopanax,colensoi,Araliaceae,Apiales
Pseudopanax,crassifolius,Araliaceae,Apiales
Pseudowintera,colorata,Winteraceae,Canellales
Quintinia,serrata,Paracryphiaceae,Paracryphiales
Raukaua,simplex,Araliaceae,Apiales
Schefflera,digita,Araliaceae,Apiales
Sticherus,cunninghamii,Gleicheniaceae,Gleicheniales
Pterophylla,racemosa,Cunoniaceae,Oxalidales
Vaccinium,corymbosum,Ericaceae,Ericales
Tristaniopsis,elliptica,Myrtaceae,Myrtales
Agathis,kinabaluensis,Araucariaceae,Araucariales
Xanthophyllum,tenue,Polygalaceae,Fabales
Pterophylla,faxinea,Cunoniaceae,Oxalidales
Podocarpus,gibbsii,Podocarpaceae,Araucariales
Dacrydium,pectinatum,Podocarpaceae,Araucariales
Quercus,lowii,Fagaceae,Fagales
Syzygium,subdecussatum,Myrtaceae,Myrtales
Tetractomia,tetrandra,Rutaceae,Sapindales
Syzygium,castaneum,Myrtaceae,Myrtales
Lithocarpus,rigidus,Fagaceae,Fagales
Dacrycarpus,imbricatus,Podocarpaceae,Araucariales
Phyllocladus,hypophyllus,Podocarpaceae,Araucariales
Dacrydium,gracile,Podocarpaceae,Araucariales
Tristaniopsis,obovata,Myrtaceae,Myrtales
Payena,microphylla,Sapotaceae,Ericales
Lithocarpus,clementianus,Fagaceae,Fagales
Syzygium,pachysepalum,Myrtaceae,Myrtales
Syzygium,napiforme,Myrtaceae,Myrtales
Syzygium,kunstleri,Myrtaceae,Myrtales
Lithocarpus,lampadarius,Fagaceae,Fagales
Madhuca,endertii,Sapotaceae,Ericales
Lithocarpus,confertus,Fagaceae,Fagales
Ternstroemia,coriacea,Pentaphylacaceae,Ericales
Magnolia,carsonii,Magnoliaceae,Magnoliales
Cinnamomum,iners,Lauraceae,Laurales
Fraxinus,excelsior,Oleaceae,Lamiales
Acer,pseudoplatanus,Sapindaceae,Sapindales
Acer,platanoides,Sapindaceae,Sapindales
Carpinus,betulus,Betulaceae,Fagales
Tilia,cordata,Malvaceae,Malvales
Fagus,sylvatica,Fagaceae,Fagales
Acer,saccharum,Sapindaceae,Sapindales
Aesculus,hippocastanum,Sapindaceae,Sapindales
Aesculus,parviflora,Sapindaceae,Sapindales
Asimina,triloba,Annonaceae,Magnoliales
Catalpa,bignonioides,Bignoniaceae,Lamiales
Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
Chionanthus,virginicus,Oleaceae,Lamiales
Cornus,florida,Cornaceae,Cornales
Diospyros,virginiana,Ebenaceae,Ericales
Fraxinus,americana,Oleaceae,Lamiales
Gleditsia,triacanthos,Fabaceae,Fabales
Halesia,tetraptera,Styracaceae,Ericales
Hamamelis,virginiana,Hamamelidaceae,Saxifragales
Ilex,opaca,Aquifoliaceae,Aquifoliales
Juglans,nigra,Juglandaceae,Fagales
Koelreuteria,paniculata,Sapindaceae,Sapindales
Liquidambar,styraciflua,Altingiaceae,Saxifragales
Liriodendron,tulipifera,Magnoliaceae,Magnoliales
Magnolia,acuminata,Magnoliaceae,Magnoliales
Magnolia,denudata,Magnoliaceae,Magnoliales
Magnolia,kobus,Magnoliaceae,Magnoliales
Magnolia,stellata,Magnoliaceae,Magnoliales
Magnolia,tripetala,Magnoliaceae,Magnoliales
Nyssa,sylvatica,Nyssaceae,Cornales
Platanus,occidentalis,Platanaceae,Proteales
Populus,deltoides,Salicaceae,Malpighiales
Prunus,sargentii,Rosaceae,Rosales
Sassafras,albidum,Lauraceae,Laurales
Styphnolobium,japonicum,Fabaceae,Fabales
Syringa,reticulata,Oleaceae,Lamiales
Ulmus,americana,Ulmaceae,Rosales
Acer,fabri,Sapindaceae,Sapindales
Schima,superba,Theaceae,Ericales
Choerospondias,axillaris,Anacardiaceae,Sapindales
Acer,coriaceifolium,Sapindaceae,Sapindales
Liquidambar,formosana,Altingiaceae,Saxifragales
Elaeocarpus,glabripetalus,Elaeocarpaceae,Oxalidales
Alniphyllum,fortunei,Styracaceae,Ericales
Cinnamomum,parthenoxylon,Lauraceae,Laurales
Cinnamomum,austro-sinensis,Lauraceae,Laurales
Machilus,oculodracontis,Lauraceae,Laurales
Magnolia,yuyuanensis,Magnoliaceae,Magnoliales
Neolitsea,phanerophlebia,Lauraceae,Laurales
Cunninghamia,lanceolata,Cupressaceae,Cupressales
Taxus,chinensis,Taxaceae,Cupressales
Acer,rubrum,Sapindaceae,Sapindales
Ardisia,quinquegona,Primulaceae,Ericales
Magnolia,macclurei,Magnoliaceae,Magnoliales
Magnolia,yunnanensis,Magnoliaceae,Magnoliales
Magnolia,lotungensis,Magnoliaceae,Magnoliales
Magnolia,balansae,Magnoliaceae,Magnoliales
Magnolia,fulva,Magnoliaceae,Magnoliales
Magnolia,cavaleriei,Magnoliaceae,Magnoliales
Manglietia,paruicula,Magnoliaceae,Magnoliales
Magnolia,champaca,Magnoliaceae,Magnoliales
Magnolia,opipara,Magnoliaceae,Magnoliales
Magnolia,maudiae,Magnoliaceae,Magnoliales
Liriodendron,chinense,Magnoliaceae,Magnoliales
Magnolia,ernestii,Magnoliaceae,Magnoliales
Magnolia,grandiflora,Magnoliaceae,Magnoliales
Magnolia,baillonii,Magnoliaceae,Magnoliales
Magnolia,dandyi,Magnoliaceae,Magnoliales
Magnolia,chapensis,Magnoliaceae,Magnoliales
Cryptocarya,chinensis,Lauraceae,Laurales
Machilus,velutina,Lauraceae,Laurales
Machilus,kwangtungensis,Lauraceae,Laurales
Litsea,cubeba,Lauraceae,Laurales
Cinnamomum,camphora,Lauraceae,Laurales
Litsea,verticillata,Lauraceae,Laurales
Cryptocarya,concinna,Lauraceae,Laurales
Machilus,robusta,Lauraceae,Laurales
Neolitsea,cassia,Lauraceae,Laurales
Litsea,baviensis,Lauraceae,Laurales
Ocotea,lancifolia,Lauraceae,Laurales
Orophea,creaghii,Annonaceae,Magnoliales
Helicia,formosana,Proteaceae,Proteales
Syzygium,hancei,Myrtaceae,Myrtales
Syzygium,levinei,Myrtaceae,Myrtales
Eucalyptus,urophylla,Myrtaceae,Myrtales
Syzygium,globiflorum,Myrtaceae,Myrtales
Microtropis,discolor,Celastraceae,Celastrales
Castanea,henryi,Fagaceae,Fagales
Castanopsis,fissa,Fagaceae,Fagales
Quercus,asymmetrica,Fagaceae,Fagales
Castanopsis,hystrix,Fagaceae,Fagales
Castanopsis,echinocarpa,Fagaceae,Fagales
Castanopsis,wattii,Fagaceae,Fagales
Lithocarpus,chiungchungensis,Fagaceae,Fagales
Aporosa,octandra,Phyllanthaceae,Malpighiales
Macaranga,sampsonii,Euphorbiaceae,Malpighiales
Aporosa,yunnanensis,Phyllanthaceae,Malpighiales
Antidesma,maclurei,Phyllanthaceae,Malpighiales
Engelhardia,roxburghiana,Juglandaceae,Fagales
Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales
Ficus,variolosa,Moraceae,Rosales
Artocarpus,styracifolius,Moraceae,Rosales
Gironniera,subaequalis,Cannabaceae,Rosales
Celtis,sinensis,Cannabaceae,Rosales
Canarium,album,Burseraceae,Sapindales
Pistacia,chinensis,Anacardiaceae,Sapindales
Acronychia,pedunculata,Rutaceae,Sapindales
Melicope,pteleifolia,Rutaceae,Sapindales
Nephelium,lappaceum,Sapindaceae,Sapindales
Allophylus,cobbe,Sapindaceae,Sapindales
Vaccinium,mandarinorum,Ericaceae,Ericales
Barringtonia,racemosa,Lecythidaceae,Ericales
Pentaphylax,euryoides,Pentaphylacaceae,Ericales
Polyspora,axillaris,Theaceae,Ericales
Schima,wallichii,Theaceae,Ericales
Alstonia,scholaris,Apocynaceae,Gentianales
Catunaregam,spinosa,Rubiaceae,Gentianales
Wendlandia,uvariifolia,Rubiaceae,Gentianales
Adina,metcalfii,Rubiaceae,Gentianales
Psychotria,asiatica,Rubiaceae,Gentianales
Saprosma,ternatum,Rubiaceae,Gentianales
Osmanthus,didymopetalus,Oleaceae,Lamiales
Tetrapilus,roseus,Oleaceae,Lamiales
Heptapleurum,minutistellatum,Araliaceae,Apiales
Macropanax,undulatus,Araliaceae,Apiales
Pterospermum,acerifolium,Malvaceae,Malvales
Sterculia,lanceolata,Malvaceae,Malvales
Itea,chinensis,Iteaceae,Saxifragales
Garcinia,oblongifolia,Clusiaceae,Malpighiales
Cratoxylum,cochinchinense,Hypericaceae,Malpighiales
Garcinia,cowa,Clusiaceae,Malpighiales
Eriobotrya,japonica,Rosaceae,Rosales
Rhaphiolepis,indica,Rosaceae,Rosales
Archidendron,lucidum,Fabaceae,Fabales
Acacia,crassicarpa,Fabaceae,Fabales
Acacia,mangium,Fabaceae,Fabales
Acacia,auriculiformis,Fabaceae,Fabales
Archidendron,clypearia,Fabaceae,Fabales
Millettia,leptobotrya,Fabaceae,Fabales
Carallia,brachiata,Rhizophoraceae,Malpighiales
Alangium,chinense,Cornaceae,Cornales
Microcos,paniculata,Malvaceae,Malvales
Decaspermum,gracilentum,Myrtaceae,Myrtales
Arenaria,serpyllifolia,Caryophyllaceae,Caryophyllales
Brachypodium,phoenicoides,Poaceae,Poales
Bromus,madritensis,Poaceae,Poales
Bromus,erectus,Poaceae,Poales
Crepis,foetida,Asteraceae,Asterales
Clinopodium,nepeta,Lamiaceae,Lamiales
Daucus,carota,Apiaceae,Apiales
Dactylis,glomerata,Poaceae,Poales
Geranium,rotundifolium,Geraniaceae,Geraniales
Inula,conyza,Asteraceae,Asterales
Medicago,minima,Fabaceae,Fabales
Bituminaria,bituminosa,Fabaceae,Fabales
Picris,hieracioides,Asteraceae,Asterales
Rubia,peregrina,Rubiaceae,Gentianales
Trifolium,angustifolium,Fabaceae,Fabales
Teucrium,chamaedrys,Lamiaceae,Lamiales
Tordylium,maximum,Apiaceae,Apiales
Veronica,persica,Plantaginaceae,Lamiales
Acer,negundo,Sapindaceae,Sapindales
Betula,lenta,Betulaceae,Fagales
Carya,glabra,Juglandaceae,Fagales
Carya,ovata,Juglandaceae,Fagales
Cercis,canadensis,Fabaceae,Fabales
Fagus,grandifolia,Fagaceae,Fagales
Lindera,benzoin,Lauraceae,Laurales
Pinus,pungens,Pinaceae,Pinales
Pinus,strobus,Pinaceae,Pinales
Pinus,virginiana,Pinaceae,Pinales
Populus,grandidentata,Salicaceae,Malpighiales
Prunus,serotina,Rosaceae,Rosales
Quercus,alba,Fagaceae,Fagales
Quercus,rubra,Fagaceae,Fagales
Rhus,typhina,Anacardiaceae,Sapindales
Tilia,americana,Malvaceae,Malvales
Tsuga,canadensis,Pinaceae,Pinales
Ulmus,rubra,Ulmaceae,Rosales
Achillea,millefolium,Asteraceae,Asterales
Agastache,foeniculum,Lamiaceae,Lamiales
Elymus,repens,Poaceae,Poales
Poa,nemoralis,Poaceae,Poales
Agrostis,scabra,Poaceae,Poales
Ambrosia,artemisiifolia,Asteraceae,Asterales
Andropogon,gerardii,Poaceae,Poales
Anemone,cylindrica,Ranunculaceae,Ranunculales
Artemisia,ludoviciana,Asteraceae,Asterales
Asclepias,incarnata,Apocynaceae,Gentianales
Asclepias,syriaca,Apocynaceae,Gentianales
Asclepias,tuberosa,Apocynaceae,Gentianales
Symphyotrichum,oolentangiense,Asteraceae,Asterales
Symphyotrichum,ericoides,Asteraceae,Asterales
Symphyotrichum,laeve,Asteraceae,Asterales
Aster,lanceolatus,Asteraceae,Asterales
Symphyotrichum,novae-angliae,Asteraceae,Asterales
Symphyotrichum,puniceum,Asteraceae,Asterales
Astragalus,canadensis,Fabaceae,Fabales
Baptisia,alba,Fabaceae,Fabales
Berteroa,incana,Brassicaceae,Brassicales
Bouteloua,curtipendula,Poaceae,Poales
Calamagrostis,canadensis,Poaceae,Poales
Sporobolus,rigidus,Poaceae,Poales
Carex,lasiocarpa,Cyperaceae,Poales
Chamaecrista,fasciculata,Fabaceae,Fabales
Chenopodium,album,Amaranthaceae,Caryophyllales
Coreopsis,palmata,Asteraceae,Asterales
Crepis,tectorum,Asteraceae,Asterales
Desmodium,canadense,Fabaceae,Fabales
Elymus,canadensis,Poaceae,Poales
Eragrostis,trichodes,Poaceae,Poales
Erigeron,canadensis,Asteraceae,Asterales
Festuca,ovina,Poaceae,Poales
Festuca,rubra,Poaceae,Poales
Gentiana,andrewsii,Gentianaceae,Gentianales
Hedeoma,hispida,Lamiaceae,Lamiales
Helianthus,giganteus,Asteraceae,Asterales
Helianthus,pauciflorus,Asteraceae,Asterales
Heliopsis,helianthoides,Asteraceae,Asterales
Iris,versicolor,Iridaceae,Asparagales
Koeleria,pyramidata,Poaceae,Poales
Lespedeza,capitata,Fabaceae,Fabales
Liatris,aspera,Asteraceae,Asterales
Lupinus,perennis,Fabaceae,Fabales
Melilotus,officinalis,Fabaceae,Fabales
Monarda,fistulosa,Lamiaceae,Lamiales
Oenothera,biennis,Onagraceae,Myrtales
Panicum,capillare,Poaceae,Poales
Panicum,virgatum,Poaceae,Poales
Penstemon,bradburyi,Plantaginaceae,Lamiales
Dalea,purpurea,Fabaceae,Fabales
Phleum,pratense,Poaceae,Poales
Physalis,virginiana,Solanaceae,Solanales
Poa,pratensis,Poaceae,Poales
Fallopia,convolvulus,Polygonaceae,Caryophyllales
Drymocallis,arguta,Rosaceae,Rosales
Pycnanthemum,virginianum,Lamiaceae,Lamiales
Ratibida,pinnata,Asteraceae,Asterales
Echinacea,serotina,Asteraceae,Asterales
Rumex,acetosella,Polygonaceae,Caryophyllales
Schizachyrium,scoparium,Poaceae,Poales
Cenchrus,americanus,Poaceae,Poales
Solidago,nemoralis,Asteraceae,Asterales
Solidago,ptarmicoides,Asteraceae,Asterales
Solidago,rigida,Asteraceae,Asterales
Solidago,speciosa,Asteraceae,Asterales
Sorghastrum,nutans,Poaceae,Poales
Sporobolus,heterolepis,Poaceae,Poales
Trifolium,pratense,Fabaceae,Fabales
Verbascum,thapsus,Scrophulariaceae,Lamiales
Verbena,hastata,Verbenaceae,Lamiales
Vernonia,fasciculata,Asteraceae,Asterales
Veronicastrum,virginicum,Plantaginaceae,Lamiales
Vicia,villosa,Fabaceae,Fabales
Zizia,aurea,Apiaceae,Apiales
Agrostis,capillaris,Poaceae,Poales
Brachypodium,pinnatum,Poaceae,Poales
Brachypodium,sylvaticum,Poaceae,Poales
Deschampsia,cespitosa,Poaceae,Poales
Holcus,lanatus,Poaceae,Poales
Lolium,arundinaceum,Poaceae,Poales
Lolium,perenne,Poaceae,Poales
Chamaecyparis,obtusa,Cupressaceae,Cupressales
Carex,humulis,Cyperaceae,Poales
Munroa,christianii-bernardii,Poaceae,Poales
Potentilla,pusilla,Rosaceae,Rosales
Hakea,oldfieldii,Proteaceae,Proteales
