F00679,F00727,F00261,F00709,F00043,F00056,F00645,F00004,F01286,F01287,F01289,F01290
0.142950958,447.1676483,18.47826496,0.169293748,C3,1.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.249629861,166.3883738,14.45652973,0.160036267,C3,2.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.425085405,60.72367949,10.76088075,0.171350501,C3,3.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.175513092,330.4245883,22.06521968,0.169293748,C3,1.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.285828203,116.6644755,16.30435463,0.160040952,C3,2.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.671250422,32.61887061,16.30435499,0.210310782,C3,3.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.184985288,328.5961384,24.32415889,0.149140971,C3,1.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.302703334,107.7752313,17.58113858,0.139519044,C3,2.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.706306847,19.48772867,18.51849416,0.220103199,C3,3.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.168168468,328.6006754,18.08927732,0.199656428,C3,1.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.2564571,121.3338579,13.5149124,0.209278457,C3,2.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.596997607,40.57186583,14.18118708,0.188831744,C3,3.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,Salicaceae,Malpighiales
0.142943921,321.8236924,19.85131269,0.224914195,C3,1.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.21861957,125.098967,16.09019083,0.223711447,C3,2.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.36997082,39.81892633,12.05771513,0.236941677,C3,3.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.155556526,213.3910262,16.59806059,0.223711447,C3,1.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.29429519,69.38115803,12.65648977,0.184020758,C3,2.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.491892647,29.28139728,8.353204549,0.210481218,C3,3.0,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,Salicaceae,Malpighiales
0.309778103,50.32260667,13.00971209,0.158620886,C3,1.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Altingia,obovata,Altingiaceae,Saxifragales
0.333922438,36.77423723,11.40777233,0.255172714,C3,2.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Altingia,obovata,Altingiaceae,Saxifragales
0.391670589,20.32263953,11.40777315,0.344827906,C3,3.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Altingia,obovata,Altingiaceae,Saxifragales
1.17740979,9.677502988,18.68932154,0.248276303,C3,1.0,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Cryptocarya,chinensis,Lauraceae,Laurales
