binominal,F01286,F01287,F01289,F01290,F00043,F00645,F00004
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales,C3,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355."
Populus tremula,Populus,tremula,Salicaceae,Malpighiales,C3,,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355."
Altingia obovata,Altingia,obovata,Altingiaceae,Saxifragales,C3,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964."
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,C3,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964."
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales,C3,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964."
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,C3,,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964."
Fraxinus excelsior,Fraxinus,excelsior,Oleaceae,Lamiales,C3,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12."
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,Sapindales,C3,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12."
Acer platanoides,Acer,platanoides,Sapindaceae,Sapindales,C3,AM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12."
Carpinus betulus,Carpinus,betulus,Betulaceae,Fagales,C3,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12."
Tilia cordata,Tilia,cordata,Malvaceae,Malvales,C3,EM,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12."
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Aesculus parviflora,Aesculus,parviflora,Sapindaceae,Sapindales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales,,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Cornus florida,Cornus,florida,Cornaceae,Cornales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales,C3,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807."
