binominal,F01286,F01287,F01289,F01290
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales
Viola pubescens,Viola,pubescens,Violaceae,Malpighiales
Hydrophyllum canadense,Hydrophyllum,canadense,Boraginaceae,Boraginales
Larix gmelinii,Larix,gmelinii,Pinaceae,Pinales
Fraxinus mandshurica,Fraxinus,mandshurica,Oleaceae,Lamiales
Pinus palustris,Pinus,palustris,Pinaceae,Pinales
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales
Populus tremula,Populus,tremula,Salicaceae,Malpighiales
Acer tegmentosum,Acer,tegmentosum,Sapindaceae,Sapindales
Euonymus alatus,Euonymus,alatus,Celastraceae,Celastrales
Euonymus verrucosus,Euonymus,verrucosus,Celastraceae,Celastrales
Juglans mandshurica,Juglans,mandshurica,Juglandaceae,Fagales
Prunus sibirica,Prunus,sibirica,Rosaceae,Rosales
Phellodendron amurense,Phellodendron,amurense,Rutaceae,Sapindales
Salix pierotii,Salix,pierotii,Salicaceae,Malpighiales
Ulmus pumila,Ulmus,pumila,Ulmaceae,Rosales
Acer pictum,Acer,pictum,Sapindaceae,Sapindales
Acer tataricum,Acer,tataricum,Sapindaceae,Sapindales
Acer caudatum,Acer,caudatum,Sapindaceae,Sapindales
Alnus hirsuta,Alnus,hirsuta,Betulaceae,Fagales
Alnus mandshurica,Alnus,mandshurica,Betulaceae,Fagales
Betula platyphylla,Betula,platyphylla,Betulaceae,Fagales
Betula costata,Betula,costata,Betulaceae,Fagales
Quercus mongolica,Quercus,mongolica,Fagaceae,Fagales
Tilia mandshurica,Tilia,mandshurica,Malvaceae,Malvales
Ulmus davidiana,Ulmus,davidiana,Ulmaceae,Rosales
Ulmus laciniata,Ulmus,laciniata,Ulmaceae,Rosales
Platycladus orientalis,Platycladus,orientalis,Cupressaceae,Pinales
Alnus formosana,Alnus,formosana,Betulaceae,Fagales
Pinus tabuliformis,Pinus,tabuliformis,Pinaceae,Pinales
Cinnamomum micranthum,Cinnamomum,micranthum,Lauraceae,Laurales
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales
Cinnamomum chekiangense,Cinnamomum,chekiangense,Lauraceae,Laurales
Castanopsis faberi,Castanopsis,faberi,Fagaceae,Fagales
Altingia gracilipes,Altingia,gracilipes,Altingiaceae,Saxifragales
Castanopsis carlesii,Castanopsis,carlesii,Fagaceae,Fagales
Populus tremuloides,Populus,tremuloides,Salicaceae,Malpighiales
Altingia obovata,Altingia,obovata,Altingiaceae,Saxifragales
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales
Vaccinium corymbosum,Vaccinium,corymbosum,Ericaceae,Ericales
Fraxinus excelsior,Fraxinus,excelsior,Oleaceae,Lamiales
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,Sapindales
Acer platanoides,Acer,platanoides,Sapindaceae,Sapindales
Carpinus betulus,Carpinus,betulus,Betulaceae,Fagales
Tilia cordata,Tilia,cordata,Malvaceae,Malvales
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales
Aesculus parviflora,Aesculus,parviflora,Sapindaceae,Sapindales
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales
Cornus florida,Cornus,florida,Cornaceae,Cornales
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales
Halesia tetraptera,Halesia,tetraptera,Styracaceae,Ericales
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales
Nyssa sylvatica,Nyssa,sylvatica,Cornaceae,Cornales
Platanus occidentalis,Platanus,occidentalis,Platanaceae,Proteales
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales
Prunus sargentii,Prunus,sargentii,Rosaceae,Rosales
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales
Styphnolobium japonicum,Styphnolobium,japonicum,Fabaceae,Fabales
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales
Ulmus americana,Ulmus,americana,Ulmaceae,Rosales
Acer fabri,Acer,fabri,Sapindaceae,Sapindales
Schima superba,Schima,superba,Theaceae,Ericales
Choerospondias axillaris,Choerospondias,axillaris,Anacardiaceae,Sapindales
Acer coriaceifolium,Acer,coriaceifolium,Sapindaceae,Sapindales
Liquidambar formosana,Liquidambar,formosana,Altingiaceae,Saxifragales
Elaeocarpus glabripetalus,Elaeocarpus,glabripetalus,Elaeocarpaceae,Oxalidales
Alniphyllum fortunei,Alniphyllum,fortunei,Styracaceae,Ericales
Cinnamomum porrectum,Cinnamomum,porrectum,Lauraceae,Laurales
Cinnamomum austrosinense,Cinnamomum,austrosinense,Lauraceae,Laurales
Machilus oculodracontis,Machilus,oculodracontis,Lauraceae,Laurales
Magnolia yuyuanensis,Magnolia,yuyuanensis,Magnoliaceae,Magnoliales
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,Lauraceae,Laurales
Cunninghamia lanceolata,Cunninghamia,lanceolata,Cupressaceae,Pinales
Podocarpus chinensis,Podocarpus,chinensis,Podocarpaceae,Pinales
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales
