binominal,F01286,F01287,F01289,F01290,F00679,F00727,F00261,F00709
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales,0.142950958,447.1676483,18.47826496,0.169293748
Populus tremula,Populus,tremula,Salicaceae,Malpighiales,0.175513092,330.4245883,22.06521968,0.169293748
Populus tremula,Populus,tremula,Salicaceae,Malpighiales,0.184985288,328.5961384,24.32415889,0.149140971
Populus tremula,Populus,tremula,Salicaceae,Malpighiales,0.168168468,328.6006754,18.08927732,0.199656428
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales,0.142943921,321.8236924,19.85131269,0.224914195
Populus trichocarpa,Populus,trichocarpa,Salicaceae,Malpighiales,0.155556526,213.3910262,16.59806059,0.223711447
Altingia obovata,Altingia,obovata,Altingiaceae,Saxifragales,0.309778103,50.32260667,13.00971209,0.158620886
Cryptocarya chinensis,Cryptocarya,chinensis,Lauraceae,Laurales,1.17740979,9.677502988,18.68932154,0.248276303
Elaeocarpus sylvestris,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales,0.230710953,96.7742137,18.39805969,0.324138331
Endospermum chinense,Endospermum,chinense,Euphorbiaceae,Malpighiales,0.493753478,50.32263988,15.33980987,0.137931592
Fraxinus excelsior,Fraxinus,excelsior,Oleaceae,Lamiales,0.373682861,32.82298012,17.88461507,0.370786634
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,Sapindales,0.266508286,62.63158463,14.23077151,0.380898991
Acer platanoides,Acer,platanoides,Sapindaceae,Sapindales,0.3277509,29.80862631,11.44231091,0.468539413
Carpinus betulus,Carpinus,betulus,Betulaceae,Fagales,0.266508286,41.19618489,15.57692458,0.458427058
Tilia cordata,Tilia,cordata,Malvaceae,Malvales,0.312476868,33.15790831,11.82692625,0.562921379
Acer saccharum,Acer,saccharum,Sapindaceae,Sapindales,0.344,60.677714,14.3391667,0.086
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae,Sapindales,0.45175,19.4551804,12.1345,0.16
Aesculus parviflora,Aesculus,parviflora,Sapindaceae,Sapindales,0.3575,43.1980697,13.0635,0.104
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales,0.87266667,13.5497083,25.1578333,0.167
Catalpa bignonioides,Catalpa,bignonioides,Bignoniaceae,Lamiales,0.424,37.2625294,27.365875,0.111
Cercidiphyllum japonicum,Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales,0.368,27.3518018,12.418875,0.16
Chionanthus virginicus,Chionanthus,virginicus,Oleaceae,Lamiales,0.71025,13.8829073,17.741875,0.164
Cornus florida,Cornus,florida,Cornaceae,Cornales,0.49175,39.0481292,16.490875,0.121
Diospyros virginiana,Diospyros,virginiana,Ebenaceae,Ericales,0.67,24.3812773,18.69375,0.124
Fraxinus americana,Fraxinus,americana,Oleaceae,Lamiales,0.3215,38.9314865,22.201195,0.14
Gleditsia triacanthos,Gleditsia,triacanthos,Fabaceae,Fabales,0.578,20.1666095,21.7725,0.134
Halesia tetraptera,Halesia,tetraptera,Styracaceae,Ericales,0.35533333,50.5249308,21.6178333,0.094
Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,0.48775,24.2948197,12.6095,0.189
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales,0.34875,44.4679349,15.9265,0.107
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales,0.437,31.2309868,26.1415,0.149
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales,0.3545,97.5361959,10.60925,0.062
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales,0.4775,31.7217945,11.675,0.148
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,0.85275,15.188097,20.488125,0.129
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales,0.98275,12.3825956,20.45075,0.141
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales,0.8045,20.901448,19.18475,0.111
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,1.224,9.09111363,18.337,0.137
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,0.6415,27.3247642,36.931,0.122
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales,1.099,12.8950057,31.934,0.134
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales,0.7315,31.1656067,26.25345,0.096
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales,0.82925,17.9964774,23.634125,0.135
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales,1.07975,20.1308844,24.71325,0.115
Nyssa sylvatica,Nyssa,sylvatica,Cornaceae,Cornales,0.87833333,13.5728051,16.4591667,0.157
Platanus occidentalis,Platanus,occidentalis,Platanaceae,Proteales,0.48675,11.9773904,9.219875,0.149
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales,0.3375,87.255293,13.853,0.066
