binominal,F00727,F00709
Acacia auriculiformis,53.822500000000005,0.27
Acacia crassicarpa,108.28,0.36
Acacia mangium,99.19,0.29
Acer davidii,69.58717204,0.323158053
Acer fabri,67.16,0.53
Acer negundo,33.166666666666664,0.5833333333333334
Acer platanoides,19.64915121,0.5000000766666667
Acer pseudoplatanus,35.05584506666667,0.501123656
Acer rubrum,32.392222222222216,0.5055555555555555
Acer saccharum,33.76643350846154,0.48097435899999996
Acer truncatum,54.391742316666665,0.277075656
Acronychia pedunculata,62.6995,0.281
Adiantum pedatum,163.4820024,0.06197200033333333
Aesculus hippocastanum,12.9003427875,0.21187499999999998
Aesculus parviflora,28.239557915,0.16475
Alangium chinense,169.91,0.32
Allophylus cobbe,75.07,0.6
Alniphyllum fortunei,89.09,0.18
Alstonia scholaris,25.76,0.17
Altingia obovata,35.806494476666664,0.25287383533333335
Antidesma maclurei,19.99,0.29
Aphanamixis polystachya,98.09944626,0.37579213066666667
Aporosa octandra,29.15,0.34
Aporosa yunnanensis,49.73,0.36
Archidendron clypearia,70.33,0.41
Archidendron lucidum,58.89,0.31
Ardisia depressa,51.81363562000001,0.2710871126666667
Ardisia quinquegona,16.333333333333332,0.2733333333333333
Artocarpus styracifolius,34.54,0.59
Asimina triloba,10.586298915,0.16841666675
Athyrium multidentatum,81.21031158333334,0.19154958599999997
Athyrium sinense,89.70288808333333,0.14788768166666666
Athyrium spinulosum,110.40351615833333,0.20000034133333333
Barringtonia racemosa,15.94609884175,0.32842531225
Betula albosinensis,50.68831540333334,0.49188814133333336
Canarium album,85.182895865,0.21914172475
Carallia brachiata,109.24,0.21
Carpinus betulus,24.673073786666663,0.47191021066666666
Carpinus cordata,48.79259013,1.0498770843333334
Carya glabra,51.28142857142858,0.8585714285714285
Castanea henryi,40.96,0.49
Castanopsis echinocarpa,81.68,0.53
Castanopsis fissa,63.81,0.54
Castanopsis hystrix,70.61,0.55
Castanopsis wattii,92.32,0.51
Catalpa bignonioides,24.20305853,0.14024999999999999
Catunaregam spinosa,80.24,0.38
Celtis sinensis,113.0,0.62
Cercidiphyllum japonicum,17.9328662025,0.2225
Chenopodium serotinum,73.28562022,0.565917791
Chionanthus virginicus,9.7070363975,0.196625
Cinnamomum camphora,43.10475845,0.18479641775
Cinnamomum cassia,22.75,0.13
Cinnamomum micranthum,18.17,0.32
Cinnamomum porrectum,14.68,0.28
Cornus bretschneideri,37.414,0.278563383
Cornus florida,27.0927848075,0.18275
Cornus officinalis,18.20377082,0.431175753
Cratoxylum cochinchinense,32.53,0.41
Cryptocarya chinensis,6.673401133571429,0.2859607817142857
Cryptocarya concinna,20.04239360075,0.2835964865
Cunninghamia lanceolata,13.809422006055556,0.10115131333333333
Cystopteris sudetica,181.52872013333334,0.071831414
Dacrycarpus imbricatus,46.574680996666665,0.33575055066666665
Decaspermum gracilentum,63.99,0.42
Dicranopteris linearis,39.529999999999994,0.5233333333333333
Diospyros strigosa,30.4998363,0.32238972
Diospyros virginiana,17.5871875125,0.16475
Dysoxylum excelsum,7.076403069666667,0.18716082766666667
Elaeocarpus dubius,76.3,0.36
Elaeocarpus sylvestris,58.709729036666666,0.4206899766666667
Endospermum chinense,17.815514869999998,0.22802977585714285
Engelhardia roxburghiana,103.48,0.4
Equisetum hyemale,55.20185967333333,0.084507469
Equisetum pratense,203.29091113333334,0.04647933466666667
Eriobotrya japonica,46.15,0.39
Eucalyptus urophylla,106.21,0.63
Eurya japonica,81.08027708666667,0.261040393
Ficus variolosa,143.45,0.32
Fraxinus americana,26.1460060975,0.21250000000000002
Fraxinus chinensis,28.716407930000003,0.2559162761666667
Fraxinus excelsior,18.42108181633333,0.32584288533333333
Fraxinus mandshurica,104.453884525,0.106666709
Garcinia cowa,87.27,0.47
Garcinia oblongifolia,90.87,0.28
Ginkgo biloba,19.926,0.139
Gironniera subaequalis,67.58,0.52
Gleditsia triacanthos,15.7066920575,0.18725
Goniothalamus griffithii,9.703977283,0.24253354266666668
Gordonia axillaris,12.7075,0.385
Halesia tetraptera,35.274338685000004,0.13016666675
Hamamelis virginiana,16.7675052475,0.236625
Helicia formosana,97.81,0.72
Ilex opaca,30.6355460825,0.16112500000000002
Itea chinensis,110.33,0.54
Juglans mandshurica,167.39187370000002,0.0855555985
Juglans nigra,21.284339505384615,0.6296666666923076
Knema erratica,4.023623560333333,0.353205586
Koelreuteria paniculata,62.7046782825,0.123
Larix gmelinii,31.50633333333333,0.2881026913333333
Lindera communis,20.915787372,0.28395524333333333
Liquidambar styraciflua,20.878186025,0.211375
Liriodendron chinense,21.192,0.175
Liriodendron tulipifera,9.185976587,0.23365
Lithocarpus chiungchungensis,75.71,0.43
Litsea baviensis,13.02,0.13
Litsea cubeba,39.99,0.42
Litsea verticillata,15.59,0.35
Macaranga sampsonii,92.9752089425,0.24505752525
Machilus breviflora,21.6135951,0.24522541666666667
Machilus kwangtungensis,32.3,0.3
Machilus robusta,18.0,0.25
Machilus velutina,21.78,0.28
Macropanax undulatus,28.7,0.32
Magnolia acuminata,8.725609437500001,0.163375
Magnolia baillonii,13.549999999999999,0.25
Magnolia balansae,20.16,0.23
Magnolia cavaleriei,15.4,0.22
Magnolia champaca,19.9,0.29
Magnolia championii,31.403,0.138
Magnolia chapensis,23.43,0.17
Magnolia dandyi,17.69,0.13
Magnolia denudata,13.798832727499999,0.13775
Magnolia ernestii,15.899000000000001,0.179
Magnolia fulva,19.39,0.23
Magnolia grandiflora,6.952003132,0.1764
Magnolia kobus,18.245197085,0.1555
Magnolia lotungensis,12.01,0.24
Magnolia macclurei,19.6691416375,0.20443882325
Magnolia macrophylla,9.798643612500001,0.151
Magnolia maudiae,22.761499999999998,0.2125
Magnolia odora,16.16,0.2185
Magnolia opipara,12.67,0.19
Magnolia stellata,21.250217545,0.109625
Magnolia tripetala,12.2535638175,0.15000000000000002
Magnolia virginiana,15.426808229999999,0.138125
Magnolia yunnanensis,17.24,0.21
Malus baccata,46.71471154333333,0.29809672133333337
Manglietia paruicula,21.82,0.19
Matteuccia struthiopteris,183.12107692333333,0.06760608133333333
Melicope pteleifolia,97.19,0.21
Memecylon nigrescens,82.77056738,0.2545660646666667
Microcos paniculata,115.38,0.52
Microtropis discolor,79.59,0.33
Millettia leptobotrya,25.62,0.43
Myrsine seguinii,35.88404721333333,0.22729432000000002
Nephelium lappaceum,58.45,0.5
Nyssa aquatica,13.57333333,0.16
Nyssa sylvatica,8.195575426666666,0.23233333333333336
Ocotea lancifolia,28.91924349,0.31611954575
Olea rosea,28.91,0.29
Onoclea sensibilis,92.88760701333335,0.12112716633333333
Orophea creaghii,45.31,0.39
Osmanthus didymopetalus,4.42,0.4
Pentaphylax euryoides,97.84,0.53
Pertusadina metcalfii,99.96,0.29
Phellodendron amurense,38.05446458,0.11777781300000001
Picea meyeri,35.82475807,0.32224158999999997
Picea wilsonii,47.216477596666664,0.368452944
Pinus armandii,27.460515448333336,0.4605205723333334
Pinus strobus,22.682222222222222,0.6711111111111111
Pinus tabuliformis,33.42679776,0.3301085326666667
Pinus virginiana,23.9025,0.72125
Pistacia chinensis,90.48,0.65
Platanus acerifolia,23.93,0.1475
Platanus occidentalis,13.041767990000002,0.19966666666666666
Pleioblastus amarus,11.834621949999999,0.55665462375
Populus cathayana,84.63932694333333,0.8123092273333333
Populus deltoides,57.8136627325,0.113375
Populus tremula,158.45260354555555,0.18290836944444444
Populus tremuloides,47.94111111111111,0.6788888888888889
Populus trichocarpa,163.67498542555555,0.20049569533333333
Prunus sargentii,50.0440543975,0.17408333325
Psychotria asiatica,81.04,0.2
Pterospermum acerifolium,25.66,0.24
Pyrus betulifolia,12.626872214999999,0.34315641266666663
Quercus alba,42.973333333333336,0.7833333333333333
Quercus aliena,56.81398952333333,0.558234554
Quercus asymmetrica,45.18,0.21
Quercus rubra,49.41111111111111,0.7688888888888888
Quercus variabilis,47.10876166333333,0.5481164653333334
Quercus wutaishanica,65.09146244333334,0.849376985
Rhaphiolepis indica,86.79,0.53
Rhodoleia championii,46.556,0.294
Saprosma ternatum,116.95,0.34
Sassafras albidum,11.673566880769231,0.28843589746153847
Schefflera minutistellata,37.91,0.35
Schima wallichii,98.43,0.37
Sorbus aucuparia,48.91910764666667,0.505756827
Sterculia lanceolata,72.15,0.4
Styphnolobium japonicum,24.78107685,0.18975
Syringa reticulata,57.98395248999999,0.12830459914285713
Syzygium globiflorum,40.88,0.37
Syzygium hancei,76.6005125725,0.49176836975000005
Syzygium levinei,79.39925,0.3505
Tilia cordata,16.523155755333335,0.5853932713333333
Tilia mandshurica,65.47573806000001,0.2331513873333333
Tilia mongolica,57.702487256666664,0.515968259
Ulmus americana,46.48790873,0.15862500000000002
Ulmus davidiana,45.29376102333333,0.38892506466666665
Ulmus macrocarpa,50.289323456666665,0.35369618766666666
Vaccinium mandarinorum,106.71,0.53
Wendlandia uvariifolia,45.27,0.43
