binominal,F01286,F01287,F01289,F01290,F00004_,F00043,F00645_,source,raw_state_record_from_publication,Dataset,OrigValueStr,F00004,F00645,references,referencesDataset,mycorrhizalAssociationType
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM,Wang&Qiu2006,AM,Global 15N Database,AM,"Long Y, Kong D, Chen Z, Zeng H. 2013. Variation of the linkage of root function with root branch order. PLoS ONE 8: e57153. Doi:10.1371/journal.pone.0057153",AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM,Wang&Qiu2006,AM,Mycorrhiza Database,EcM,"Long Y, Kong D, Chen Z, Zeng H. 2013. Variation of the linkage of root function with root branch order. PLoS ONE 8: e57153. Doi:10.1371/journal.pone.0057153",AM,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,,,FRED - Fine Root Ecology Database,AM/EcM,,,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM/EcM
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,,,FRED - Fine Root Ecology Database,AM/EcM,,,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",,AM
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,,,Independent evolutionary changes in fine-root traits among main clades during the diversification of,AM,,,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM/EcM
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,,,Independent evolutionary changes in fine-root traits among main clades during the diversification of,AM,,,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",,AM
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,Wang&Qiu2006,AM/EcM,FRED - Fine Root Ecology Database,AM/EcM,,,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",,AM
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,Wang&Qiu2006,AM/EcM,FRED - Fine Root Ecology Database,AM/EcM,,,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM/EcM
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,Wang&Qiu2006,AM/EcM,Mycorrhiza Database,EcM,,,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",,AM
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",C3,AM/EcM,Wang&Qiu2006,AM/EcM,Global 15N Database,AM,,,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",,AM/EcM
