binominal,state,F00679,F00727,F01286,F01287,F01289,F01290
Abelia_biflora,AM,0.5292,30.94705706,Abelia,biflora,Caprifoliaceae,Dipsacales
Abies_fargesii,EcM,0.27490374525,30.655174645,Abies,fargesii,Pinaceae,Pinales
Abies_nephrolepis,EcM,0.4152333,27.04585714,Abies,nephrolepis,Pinaceae,Pinales
Acacia_auriculiformis,EcMAM,0.3348,77.29,Acacia,auriculiformis,Fabaceae,Fabales
Acacia_crassicarpa,EcMAM,0.22593,108.28,Acacia,crassicarpa,Fabaceae,Fabales
Acacia_mangium,EcMAM,0.25255,99.19,Acacia,mangium,Fabaceae,Fabales
Acer_barbinerve,AM,0.2523,143.6789729,Acer,barbinerve,Sapindaceae,Sapindales
Acer_campbellii,AM,0.18975,79.07241758,Acer,campbellii,Sapindaceae,Sapindales
Acer_caudatum,AM,0.2304504885,85.832345225,Acer,caudatum,Sapindaceae,Sapindales
Acer_coriaceifolium,AM,0.24,130.4,Acer,coriaceifolium,Sapindaceae,Sapindales
Acer_davidii,AM,0.263009943,91.33583872,Acer,davidii,Sapindaceae,Sapindales
Acer_fabri,AM,0.1828699999999999,137.88,Acer,fabri,Sapindaceae,Sapindales
Acer_negundo,AM,0.2266666666666666,44.52333333333333,Acer,negundo,Sapindaceae,Sapindales
Acer_pictum,AM,0.31373367425,86.60902969392858,Acer,pictum,Sapindaceae,Sapindales
Acer_platanoides,AM,0.3277509,29.80862631,Acer,platanoides,Sapindaceae,Sapindales
Acer_pseudoplatanus,AM,0.266508286,62.63158463,Acer,pseudoplatanus,Sapindaceae,Sapindales
Acer_rubrum,AM,0.2566666666666666,46.196666666666665,Acer,rubrum,Sapindaceae,Sapindales
Acer_saccharum,AM,0.2240491033333333,52.437952333333335,Acer,saccharum,Sapindaceae,Sapindales
Acer_tataricum,AM,0.2196918245,131.183078895,Acer,tataricum,Sapindaceae,Sapindales
