"binominal","F01286","F01287","F01289","F01290","F00056","F00004","F00679","F00727","state"
"Rudbeckia_hirta","Rudbeckia","hirta","Asteraceae","Asterales",NA,"Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090",-1.33279150960258,5.69426756890243,"AM"
"Ratibida_pinnata","Ratibida","pinnata","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.82098055206983,4.02535169073515,"AM"
"Heliopsis_helianthoides","Heliopsis","helianthoides","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.967584026261706,4.15888308335967,"NM"
"Liatris_aspera","Liatris","aspera","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.798507696217772,4.38202663467388,"AM"
"Arnica_sororia","Arnica","sororia","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.41346002919266,4.34225660396333,"AM"
"Arnica_fulgens","Arnica","fulgens","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-0.662714973439743,2.76517150003119,"AM"
"Hymenoxys_richardsonii","Hymenoxys","richardsonii","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.26443077336305,4.2353712200147,"NMAM"
"Helianthus_agrestis","Helianthus","agrestis","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.648856667510856,5.41311818202521,"AM"
"Helianthus_grosseserratus","Helianthus","grosseserratus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.676622085174959,5.3585889848896,"AM"
"Helianthus_giganteus","Helianthus","giganteus","Asteraceae","Asterales",NA,"<StringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285', 'Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.']
Length: 2, dtype: str",-0.756486705225595,5.15669619688046,"AM"
"Helianthus_maximiliani","Helianthus","maximiliani","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.641252355128475,5.58825938340066,"AM"
"Helianthus_verticillatus","Helianthus","verticillatus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.606973511849939,5.43256412823508,"AM"
"Helianthus_salicifolius","Helianthus","salicifolius","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.908354643592754,5.51324727808774,"AM"
"Pappobolus_microphyllus","Pappobolus","microphyllus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.746213182106896,5.63853258944808,"AM"
"Helianthus_occidentalis","Helianthus","occidentalis","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.781127368513582,5.69278893318134,"AM"
"Helianthus_mollis","Helianthus","mollis","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.790852825200569,5.65817474117807,"AM"
"Helianthus_silphioides","Helianthus","silphioides","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.606427420252994,5.45553476774608,"AM"
"Helianthus_atrorubens","Helianthus","atrorubens","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.641609783967762,5.60285655606624,"AM"
"Helianthus_longifolius","Helianthus","longifolius","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.763920836703109,5.85574027569081,"AM"
"Helianthus_angustifolius","Helianthus","angustifolius","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.598386421356451,5.78260392407685,"AM"
"Helianthus_floridanus","Helianthus","floridanus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.40617565048362,5.50577859046014,"AM"
"Helianthus_petiolaris","Helianthus","petiolaris","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.798743668501486,5.6947249118337,"AM"
"Helianthus_neglectus","Helianthus","neglectus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.930533505341834,5.59677245115988,"AM"
"Helianthus_niveus","Helianthus","niveus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.558379252760254,5.54934842134914,"AM"
"Helianthus_praecox","Helianthus","praecox","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.829298642570532,5.94884406127134,"AM"
"Helianthus_debilis","Helianthus","debilis","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.811642064520224,5.77424093830476,"AM"
"Helianthus_argophyllus","Helianthus","argophyllus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.763747257195152,5.63981268065158,"AM"
"Helianthus_annuus","Helianthus","annuus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.533997240740203,5.49425414742403,"AM"
"Helianthus_cusickii","Helianthus","cusickii","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.516503059949643,5.18004045895698,"AM"
"Helianthus_pauciflorus","Helianthus","pauciflorus","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.02165124753198,3.95124371858143,"AM"
"Helianthus_radula","Helianthus","radula","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.570062640522608,5.56367713999533,"AM"
"Helianthus_porteri","Helianthus","porteri","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.770329897464331,5.9748607979412,"AM"
"Helianthus_carnosus","Helianthus","carnosus","Asteraceae","Asterales",NA,"Bowsher AW, Mason CM, Goolsby EW, Donavan LA. 2016. Fine root tradeoffs between nitrogen concentration and xylem vessel traits preclude unified whole-plant resource strategies in Helianthus. Ecology and Evolution 6: 1016-1031.",-0.475248307893695,5.60080184088099,"AM"
