binominal,F00679,F00727
Acer saccharum,3.27,0.3
Fraxinus americana,4.83,0.2
Viola pubescens,5.1,0.5
Hydrophyllum canadense,12.73,0.1
Larix gmelinii,0.319411521,32.21156759
Larix gmelinii,0.307450074,34.61541372
Larix gmelinii,0.379218759,43.7500273
Larix gmelinii,0.312500734,25.96156839
Larix gmelinii,0.300481504,36.05772058
Larix gmelinii,0.372596883,34.61541341
Fraxinus mandshurica,0.288462332,78.84616942
Fraxinus mandshurica,0.240385404,112.0192212
Fraxinus mandshurica,0.336539251,103.3653818
Fraxinus mandshurica,0.279845895,74.03847952
Fraxinus mandshurica,0.255865785,99.51923123
Fraxinus mandshurica,0.339940655,103.3653818
Pinus palustris,0.35,32.9
Populus trichocarpa,0.142950958,447.1676483
Populus tremula,0.175513092,330.4245883
Populus tremula,0.184985288,328.5961384
Populus tremula,0.168168468,328.6006754
Populus trichocarpa,0.142943921,321.8236924
Populus trichocarpa,0.155556526,213.3910262
Acer tegmentosum,0.276358122,95.1896326
Euonymus alatus,0.256863023,121.0946513
Euonymus verrucosus,0.237367208,206.9479508
Fraxinus mandshurica,0.284175536,91.45318556
Juglans mandshurica,0.255156217,101.5162391
Prunus sibirica,0.228423742,110.1123957
Phellodendron amurense,0.513805073,35.95518016
Salix pierotii,0.223677975,170.7865423
Ulmus pumila,0.216558311,95.50570676
Acer pictum,0.313267363,101.1236803
Acer tataricum,0.206250349,89.88767949
Acer caudatum,0.225000977,84.26975526
Alnus hirsuta,0.243751035,69.66302961
Alnus mandshurica,0.196876092,108.9888417
Betula platyphylla,0.196876103,106.7416531
Betula costata,0.196207131,86.10295244
Quercus mongolica,0.21276105,66.49784916
Tilia mandshurica,0.182146482,98.37397854
Ulmus davidiana,0.217507602,98.9085896
Ulmus laciniata,0.120857901,134.1510846
Platycladus orientalis,0.35,13.37
Platycladus orientalis,0.38,16.59
Platycladus orientalis,0.39,18.01
Platycladus orientalis,0.42,13.27
Platycladus orientalis,0.38,17.63
Platycladus orientalis,0.39,13.77
Alnus formosana,0.293333711,141.6527442
Alnus formosana,0.31333371,278.1432377
Alnus formosana,0.280000335,121.3161524
Alnus formosana,0.280000335,270.6973463
Pinus tabuliformis,0.19,96.3
Pinus tabuliformis,0.183784143,95.71176717
Pinus tabuliformis,0.183784387,85.51675079
Pinus tabuliformis,0.205406212,80.47586457
