binominal,state,reference
Abelia biflora,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Abies fargesii,EcM,FungalRoot
Abies nephrolepis,EcM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union', 'Dong L, Mao Z, Sun T. 2016. Condensed tannin effects on decomposition of very fine roots among temperate tree species. Soil Biology & Biochemistry 103: 489-492.', 'FRED - Fine Root Ecology Database']"
Acacia auriculiformis,AM/EcM,FungalRoot
Acacia crassicarpa,AM/EcM,FungalRoot
Acacia mangium,AM/EcM,FungalRoot
Acer barbinerve,AM,FungalRoot
Acer campbellii,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Acer caudatum,AM,FungalRoot
Acer coriaceifolium,AM,"['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'FRED - Fine Root Ecology Database']"
Acer davidii,AM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'Akhmetzhanova et al. 2012', 'Mycorrhizal Intensity Database Across the Former Soviet Union']"
Acer fabri,AM,"['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'FRED - Fine Root Ecology Database', 'Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']"
Acer negundo,AM,FungalRoot
Acer pictum,AM,FungalRoot
Acer platanoides,AM,FungalRoot
Acer pseudoplatanus,AM,FungalRoot
Acer rubrum,AM,"['Eissenstat DM, Kucharski JM, Zadworny M, Adams TS, Koide RT. 2015. Linking root traits to nutrient foraging in arbuscular mycorrhizal trees in a temperate forest. New Phytologist 208: 114-121', 'McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831.', 'Wang&Qiu2006', 'Global 15N Database']"
Acer saccharum,AM,FungalRoot
Acer tataricum,AM,FungalRoot
Acer tegmentosum,AM,FungalRoot
Acer triflorum,AM,"['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39']"
Acer truncatum,AM/EcM,"['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'FRED - Fine Root Ecology Database']"
