species,genus,family,species.relative,genus.relative
Populus trichocarpa,Populus,,,
Populus tremula,Populus,,,
Altingia obovata,Altingia,,,
Cryptocarya chinensis,Cryptocarya,,,
Elaeocarpus sylvestris,Elaeocarpus,,,
Endospermum chinense,Endospermum,,,
Fraxinus excelsior,Fraxinus,,,
Acer pseudoplatanus,Acer,,,
Acer platanoides,Acer,,,
Carpinus betulus,Carpinus,,,
Tilia cordata,Tilia,,,
Acer saccharum,Acer,,,
Aesculus hippocastanum,Aesculus,,,
Aesculus parviflora,Aesculus,,,
Asimina triloba,Asimina,,,
Catalpa bignonioides,Catalpa,,,
Cercidiphyllum japonicum,Cercidiphyllum,,,
Chionanthus virginicus,Chionanthus,,,
Cornus florida,Cornus,,,
Diospyros virginiana,Diospyros,,,
Fraxinus americana,Fraxinus,,,
Gleditsia triacanthos,Gleditsia,,,
Halesia tetraptera,Halesia,,,
Hamamelis virginiana,Hamamelis,,,
Ilex opaca,Ilex,,,
Juglans nigra,Juglans,,,
Koelreuteria paniculata,Koelreuteria,,,
Liquidambar styraciflua,Liquidambar,,,
Liriodendron tulipifera,Liriodendron,,,
Magnolia acuminata,Magnolia,,,
Magnolia denudata,Magnolia,,,
Magnolia grandiflora,Magnolia,,,
Magnolia kobus,Magnolia,,,
Magnolia macrophylla,Magnolia,,,
Magnolia stellata,Magnolia,,,
Magnolia tripetala,Magnolia,,,
Magnolia virginiana,Magnolia,,,
Nyssa sylvatica,Nyssa,,,
Platanus occidentalis,Platanus,,,
Populus deltoides,Populus,,,
Prunus sargentii,Prunus,,,
Sassafras albidum,Sassafras,,,
Styphnolobium japonicum,Styphnolobium,,,
Syringa reticulata,Syringa,,,
Ulmus americana,Ulmus,,,
Ardisia quinquegona,Ardisia,,,
Magnolia macclurei,Magnolia,,,
Magnolia yunnanensis,Magnolia,,,
Magnolia lotungensis,Magnolia,,,
Magnolia balansae,Magnolia,,,
Magnolia odora,Magnolia,,,
Magnolia fulva,Magnolia,,,
Magnolia cavaleriei,Magnolia,,,
Manglietia paruicula,Manglietia,,,
Magnolia champaca,Magnolia,,,
Magnolia opipara,Magnolia,,,
Magnolia maudiae,Magnolia,,,
Liriodendron chinense,Liriodendron,,,
Magnolia ernestii,Magnolia,,,
Magnolia baillonii,Magnolia,,,
Magnolia dandyi,Magnolia,,,
Magnolia chapensis,Magnolia,,,
Machilus velutina,Machilus,,,
Machilus kwangtungensis,Machilus,,,
Litsea cubeba,Litsea,,,
Cinnamomum camphora,Cinnamomum,,,
Litsea verticillata,Litsea,,,
Cryptocarya concinna,Cryptocarya,,,
Machilus robusta,Machilus,,,
Cinnamomum micranthum,Cinnamomum,,,
Cinnamomum cassia,Cinnamomum,,,
Litsea baviensis,Litsea,,,
Cinnamomum porrectum,Cinnamomum,,,
Ocotea lancifolia,Ocotea,,,
Orophea creaghii,Orophea,,,
Helicia formosana,Helicia,,,
Syzygium hancei,Syzygium,,,
Syzygium levinei,Syzygium,,,
Eucalyptus urophylla,Eucalyptus,,,
Syzygium globiflorum,Syzygium,,,
Microtropis discolor,Microtropis,,,
Castanea henryi,Castanea,,,
Castanopsis fissa,Castanopsis,,,
Quercus asymmetrica,Quercus,,,
Castanopsis hystrix,Castanopsis,,,
Castanopsis echinocarpa,Castanopsis,,,
Castanopsis wattii,Castanopsis,,,
Lithocarpus chiungchungensis,Lithocarpus,,,
Aporosa octandra,Aporosa,,,
Macaranga sampsonii,Macaranga,,,
Aporosa yunnanensis,Aporosa,,,
Antidesma maclurei,Antidesma,,,
Engelhardia roxburghiana,Engelhardia,,,
Elaeocarpus dubius,Elaeocarpus,,,
Ficus variolosa,Ficus,,,
Artocarpus styracifolius,Artocarpus,,,
Gironniera subaequalis,Gironniera,,,
Celtis sinensis,Celtis,,,
Canarium album,Canarium,,,
Pistacia chinensis,Pistacia,,,
Acronychia pedunculata,Acronychia,,,
Melicope pteleifolia,Melicope,,,
Nephelium lappaceum,Nephelium,,,
Allophylus cobbe,Allophylus,,,
Vaccinium mandarinorum,Vaccinium,,,
Barringtonia racemosa,Barringtonia,,,
Pentaphylax euryoides,Pentaphylax,,,
Alniphyllum fortunei,Alniphyllum,,,
Gordonia axillaris,Gordonia,,,
Schima wallichii,Schima,,,
Alstonia scholaris,Alstonia,,,
Catunaregam spinosa,Catunaregam,,,
Wendlandia uvariifolia,Wendlandia,,,
Pertusadina metcalfii,Pertusadina,,,
Psychotria asiatica,Psychotria,,,
Saprosma ternatum,Saprosma,,,
Osmanthus didymopetalus,Osmanthus,,,
Olea rosea,Olea,,,
Schefflera minutistellata,Schefflera,,,
Macropanax undulatus,Macropanax,,,
Pterospermum acerifolium,Pterospermum,,,
Sterculia lanceolata,Sterculia,,,
Itea chinensis,Itea,,,
Garcinia oblongifolia,Garcinia,,,
Cratoxylum cochinchinense,Cratoxylum,,,
Garcinia cowa,Garcinia,,,
Eriobotrya japonica,Eriobotrya,,,
Rhaphiolepis indica,Rhaphiolepis,,,
Archidendron lucidum,Archidendron,,,
Acacia crassicarpa,Acacia,,,
Acacia mangium,Acacia,,,
Acacia auriculiformis,Acacia,,,
Archidendron clypearia,Archidendron,,,
Millettia leptobotrya,Millettia,,,
Carallia brachiata,Carallia,,,
Alangium chinense,Alangium,,,
Microcos paniculata,Microcos,,,
Acer fabri,Acer,,,
Decaspermum gracilentum,Decaspermum,,,
Adiantum pedatum,Adiantum,,,
Athyrium multidentatum,Athyrium,,,
Athyrium sinense,Athyrium,,,
Cystopteris sudetica,Cystopteris,,,
Equisetum hyemale,Equisetum,,,
Equisetum pratense,Equisetum,,,
Matteuccia struthiopteris,Matteuccia,,,
Onoclea sensibilis,Onoclea,,,
Athyrium spinulosum,Athyrium,,,
Juglans mandshurica,Juglans,,,
Fraxinus mandshurica,Fraxinus,,,
Phellodendron amurense,Phellodendron,,,
Chenopodium serotinum,Chenopodium,,,
Cornus officinalis,Cornus,,,
Cornus bretschneideri,Cornus,,,
Ardisia depressa,Ardisia,,,
Eurya japonica,Eurya,,,
Diospyros strigosa,Diospyros,,,
Myrsine seguinii,Myrsine,,,
Betula albosinensis,Betula,,,
Carpinus cordata,Carpinus,,,
Quercus aliena,Quercus,,,
