F01286,F01289
Populus,Salicaceae
Altingia,Altingiaceae
Cryptocarya,Lauraceae
Elaeocarpus,Elaeocarpaceae
Endospermum,Euphorbiaceae
Fraxinus,Oleaceae
Acer,Sapindaceae
Carpinus,Betulaceae
Tilia,Malvaceae
Aesculus,Sapindaceae
Asimina,Annonaceae
Catalpa,Bignoniaceae
Cercidiphyllum,Cercidiphyllaceae
Chionanthus,Oleaceae
Cornus,Cornaceae
Diospyros,Ebenaceae
Gleditsia,Fabaceae
Halesia,Styracaceae
Hamamelis,Hamamelidaceae
Ilex,Aquifoliaceae
Juglans,Juglandaceae
Koelreuteria,Sapindaceae
Liquidambar,Altingiaceae
Liriodendron,Magnoliaceae
Magnolia,Magnoliaceae
Nyssa,Cornaceae
Platanus,Platanaceae
Prunus,Rosaceae
Sassafras,Lauraceae
Styphnolobium,Fabaceae
Syringa,Oleaceae
Ulmus,Ulmaceae
Ardisia,Primulaceae
Manglietia,Magnoliaceae
Machilus,Lauraceae
Litsea,Lauraceae
Cinnamomum,Lauraceae
Ocotea,Lauraceae
Orophea,Annonaceae
Helicia,Proteaceae
Syzygium,Myrtaceae
Eucalyptus,Myrtaceae
Microtropis,Celastraceae
Castanea,Fagaceae
Castanopsis,Fagaceae
Quercus,Fagaceae
Lithocarpus,Fagaceae
Aporosa,Phyllanthaceae
Macaranga,Euphorbiaceae
Antidesma,Phyllanthaceae
Engelhardia,Juglandaceae
Ficus,Moraceae
Artocarpus,Moraceae
Gironniera,Cannabaceae
Celtis,Cannabaceae
Canarium,Burseraceae
Pistacia,Anacardiaceae
Acronychia,Rutaceae
Melicope,Rutaceae
Nephelium,Sapindaceae
Allophylus,Sapindaceae
Vaccinium,Ericaceae
Barringtonia,Lecythidaceae
Pentaphylax,Pentaphylacaceae
Alniphyllum,Styracaceae
Gordonia,Theaceae
Schima,Theaceae
Alstonia,Apocynaceae
Catunaregam,Rubiaceae
Wendlandia,Rubiaceae
Pertusadina,Rubiaceae
Psychotria,Rubiaceae
Saprosma,Rubiaceae
Osmanthus,Oleaceae
Olea,Oleaceae
Schefflera,Araliaceae
Macropanax,Araliaceae
Pterospermum,Malvaceae
Sterculia,Malvaceae
Itea,Iteaceae
Garcinia,Clusiaceae
Cratoxylum,Hypericaceae
Eriobotrya,Rosaceae
Rhaphiolepis,Rosaceae
Archidendron,Fabaceae
Acacia,Fabaceae
Millettia,Fabaceae
Carallia,Rhizophoraceae
Alangium,Cornaceae
Microcos,Malvaceae
Decaspermum,Myrtaceae
Adiantum,Pteridaceae
Athyrium,Athyriaceae
Cystopteris,Cystopteridaceae
Equisetum,Equisetaceae
Matteuccia,Onocleaceae
Onoclea,Onocleaceae
Phellodendron,Rutaceae
Chenopodium,Amaranthaceae
Eurya,Pentaphylacaceae
Myrsine,Primulaceae
Betula,Betulaceae
Ginkgo,Ginkgoaceae
Lindera,Lauraceae
Goniothalamus,Annonaceae
Knema,Myristicaceae
Memecylon,Melastomataceae
Larix,Pinaceae
Picea,Pinaceae
Pinus,Pinaceae
Dacrycarpus,Podocarpaceae
Malus,Rosaceae
Pyrus,Rosaceae
Sorbus,Rosaceae
Aphanamixis,Meliaceae
Dysoxylum,Meliaceae
Rhodoleia,Hamamelidaceae
Dicranopteris,Gleicheniaceae
Cunninghamia,Cupressaceae
Carya,Juglandaceae
Pleioblastus,Poaceae
