binominal,F00004,F00043,photosyntheticPathway_combined,Dataset,OrigValueStr,photosyntheticPathway,references,referencesDataset
Abelia biflora,,,,,,C3,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39",
Abies fargesii,,,,Categorical Plant Traits Database,C3,,,
Abies nephrolepis,,,,Categorical Plant Traits Database,C3,C3,"Dong L, Mao Z, Sun T. 2016. Condensed tannin effects on decomposition of very fine roots among temperate tree species. Soil Biology & Biochemistry 103: 489-492.",
Acacia auriculiformis,,,C3,Categorical Plant Traits Database,C3,C3,"Das DK, Chaturvedi OP. 2008. Root phytomass recovery and rooting characteristics of five agroforestry tree species in eastern India. Journal of Tropical Forest Science 20(3): 156-166.","Fan Y, Miguez-Macho G, Jobbagy EG, Jackson RB, Otero-Casal C. 2017. Hydrologic regulation of plant rooting depth. 2017. PNAS 114: 10572-10577."
Acacia crassicarpa,,,C3,FRED - Fine Root Ecology Database,C3,C3,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",
Acacia mangium,,,,Categorical Plant Traits Database,C3,C3,"Bouillet JP, Laclau JP, Goncalves JLM, Moreira MZ, Trivelin PCO, Jourdan C, Silva EV, Piccolo MC, Tsai SM, Galiana A. 2008. Mixed-species plantations of Acacia mangium and Eucalyptus grandis in Brazil 2: Nitrogen accumulation in the stands and biological N2 fixation. Forest ecology and Management 225: 3918-3930.",
Acer barbinerve,,,,Categorical Plant Traits Database,C3,C3,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39",
Acer campbellii,,,,Categorical Plant Traits Database,C3,C3,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39",
Acer caudatum,,,,Categorical Plant Traits Database,C3,C3,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Functional Ecology 32: 29-39",
Acer coriaceifolium,,,,The China Plant Trait Database,C3,,,
Acer davidii,,,,FRED - Fine Root Ecology Database,C3,C3,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",
Acer fabri,,,,FRED - Fine Root Ecology Database,C3,,,
Acer negundo,,,,Categorical Plant Traits Database,C3,C3,"Adams TS, McCormack ML, Eissenstat DM. 2013. Foraging strategies in trees of different root morphology: the role of root lifespan. Tree physiology 33:940-948.",
