Abies fargesii
Acacia auriculiformis
Acacia crassicarpa
Acacia mangium
Acer barbinerve
Acer caudatum
Acer negundo
Acer pictum
Acer platanoides
Acer pseudoplatanus
Acer saccharum
Acer tataricum
Acer tegmentosum
Actinidia kolomikta
Adiantum pedatum
Alnus formosana
Alnus hirsuta
Alnus mandshurica
Altingia gracilipes
Altingia obovata
Ardisia quinquegona
Artemisia halodendron
Betula costata
Caltha palustris
Caragana microphylla
Castanea henryi
Castanopsis fissa
Castanopsis hystrix
Castanopsis wattii
Chloranthus henryi
Cinnamomum chekiangense
Convallaria majalis
Coriaria nepalensis
Cornus officinalis
Cotoneaster acutifolius
Crataegus pinnatifida
Cystopteris sudetica
Dicranopteris pedata
Eleutherococcus senticosus
Engelhardia roxburghiana
Equisetum hyemale
Eucalyptus urophylla
Euonymus alatus
Euonymus verrucosus
Euptelea pleiosperma
Fraxinus chinensis
Fraxinus excelsior
Fraxinus mandshurica
Galium aparine
Garcinia cowa
Gironniera subaequalis
Gleditsia triacanthos
Hydrophyllum canadense
Juglans mandshurica
Juglans nigra
Juniperus monosperma
Lamium album
Larix gmelinii
Lespedeza thunbergii
Lithocarpus chiungchungensis
Malus baccata
Matteuccia struthiopteris
Nyssa aquatica
Phellodendron amurense
Philadelphus incanus
Pinus palustris
Pinus sylvestris
Pinus virginiana
Platanus acerifolia
Platycladus orientalis
Populus cathayana
Populus deltoides
Populus koreana
Populus tremula
Populus tremuloides
Populus trichocarpa
Prunus avium
Prunus padus
Pteridium aquilinum
Quercus alba
Quercus rubra
Rhamnus davurica
Rosa acicularis
Rubus crataegifolius
Rubus idaeus
Salix caprea
Salix pierotii
Salix raddeana
Salix viminalis
Sanguisorba officinalis
Sarcandra glabra
Sorbus aucuparia
Sorbus discolor
Syringa reticulata
Tilia cordata
Tilia mandshurica
Ulmus davidiana
Ulmus laciniata
Ulmus pumila
Vaccinium mandarinorum
Viola pubescens
