binominal,actual_publication_reports_in_fungalroot,fungalroot_agreed_species_state,genus_generalized
Abies fargesii,EcM,EcM,
Acacia auriculiformis,AM/EcM,AM/EcM,
Acacia crassicarpa,AM/EcM,AM/EcM,
Acacia mangium,AM/EcM,AM/EcM,
Acer barbinerve,EcM,AM,
Acer caudatum,EcM,AM,
Acer negundo,AM,AM,
Acer pictum,AM/NM,AM,
Acer platanoides,AM/EcM/NM,AM,
Acer pseudoplatanus,AM/EcM/NM,AM,
Acer saccharum,AM/NM,AM,
Acer tataricum,AM/EcM/NM,AM,
Acer tegmentosum,AM/NM,AM,
Actinidia kolomikta,NM,AM,
Adiantum pedatum,AM/NM,AM,
Alnus formosana,EcM,EcM,
Alnus hirsuta,EcM,EcM,
Alnus mandshurica,EcM,EcM,
Altingia gracilipes,,AM,
Altingia obovata,,AM,
Ardisia quinquegona,AM/NM,AM,
Artemisia halodendron,AM,AM,
Betula costata,AM/EcM,EcM,
Caltha palustris,AM/NM,AM/NM,
Caragana microphylla,,AM,
Castanea henryi,AM/EcM,EcM,
Castanopsis fissa,EcM,EcM,
Castanopsis hystrix,AM/EcM,EcM,
Castanopsis wattii,EcM,EcM,
Chloranthus henryi,AM,AM,T
Cinnamomum chekiangense,AM,AM,
Convallaria majalis,AM/NM,AM,
Coriaria nepalensis,AM,AM,
Cornus officinalis,AM/EcM,AM,
Cotoneaster acutifolius,AM/EcM,AM,
Crataegus pinnatifida,AM/NM,AM,
Cystopteris sudetica,,AM,
Dicranopteris pedata,AM,AM,
Eleutherococcus senticosus,AM/NM,AM,
Engelhardia roxburghiana,EcM,EcM,
Equisetum hyemale,AM/NM,AM/NM,
Eucalyptus urophylla,AM/EcM,AM/EcM,
Euonymus alatus,AM/EcM,AM,
Euonymus verrucosus,AM/NM,AM,
Euptelea pleiosperma,AM,AM,T
Fraxinus chinensis,AM,AM,
Fraxinus excelsior,AM/EcM/NM,AM,
Fraxinus mandshurica,NM,AM,
Galium aparine,AM/NM,AM/NM,
Garcinia cowa,AM/NM,AM,
Gironniera subaequalis,NM,AM,
Gleditsia triacanthos,AM/EcM,AM,
Hydrophyllum canadense,,AM/NM,
Juglans mandshurica,AM,AM,
Juglans nigra,AM,AM,
Juniperus monosperma,AM,AM,
Lamium album,AM/NM,AM/NM,
Larix gmelinii,EcM,EcM,
Lespedeza thunbergii,AM/EcM,AM,
Lithocarpus chiungchungensis,EcM,EcM,
Malus baccata,AM/NM,AM,
Matteuccia struthiopteris,AM,AM,
Nyssa aquatica,,AM,
Phellodendron amurense,AM/NM,AM,
Philadelphus incanus,AM,AM,
Pinus palustris,EcM/NM,EcM,
Pinus sylvestris,EcM,EcM,
Pinus virginiana,EcM,EcM,
Platanus acerifolia,AM,AM,
Platycladus orientalis,AM/EcM,AM,
Populus cathayana,AM/EcM,AM/EcM,
Populus deltoides,AM/EcM,AM/EcM,
Populus koreana,EcM,AM/EcM,
Populus tremula,AM/EcM,AM/EcM,
Populus tremuloides,AM/EcM,AM/EcM,
Populus trichocarpa,EcM,AM/EcM,
Prunus avium,AM/EcM,AM,
Prunus padus,AM/EcM,AM,
Pteridium aquilinum,AM/NM,AM,
Quercus alba,EcM,EcM,
Quercus rubra,AM/EcM,EcM,
Rhamnus davurica,AM/NM,AM,
Rosa acicularis,AM/NM,AM,
Rubus crataegifolius,NM,AM,
Rubus idaeus,AM/NM,AM,
Salix caprea,AM/EcM/NM,AM/EcM,
Salix pierotii,EcM,AM/EcM,
Salix raddeana,AM/EcM,AM/EcM,T
Salix viminalis,AM/EcM,AM/EcM,
Sanguisorba officinalis,AM,AM,
Sarcandra glabra,AM/NM,AM,
Sorbus aucuparia,AM/EcM/NM,AM,
Sorbus discolor,AM,AM,T
Syringa reticulata,AM,AM,
Tilia cordata,AM/EcM/NM,EcM,
Tilia mandshurica,EcM,EcM,
Ulmus davidiana,AM,AM,
Ulmus laciniata,AM/EcM,AM,
Ulmus pumila,AM/EcM,AM,
Vaccinium mandarinorum,ErM,ErM,
Viola pubescens,AM,AM,
