Genus_species,mycorrhizal state
Abies_alba,EM
Abies_amabilis,EM
Abies_cephalonica,EM
Abies_concolor,EM
Abies_firma,EM
Abies_fraseri,EM
Abies_grandis,EM
Abies_holophylla,EM
Abies_homolepis,EM
Abies_koreana,EM
Abies_lasiocarpa,EM
Abies_magnifica,EM
Abies_nephrolepis,EM
Abies_nordmanniana,EM
Abies_pinsapo,EM
Abies_sibirica,EM
Abronia_umbellata,AM
Abutilon_indicum,AM
Abutilon_theophrasti,AM
Acacia_auriculiformis,AM
Acacia_dealbata,AM
Acacia_koa,AM
Acacia_pennatula,AM
Acacia_suaveolens,EM
Acacia_tortilis,AM
Acaena_magellanica,AM
Acaena_ovalifolia,AM
Acaena_pinnatifida,AM
Acalypha_wilkesiana,NM
Acca_sellowiana,AM
Acer_buergerianum,AM
Acer_campestre,AMNM
Acer_cappadocicum,AM
Acer_davidii,AM
Acer_negundo,AMNM
Acer_platanoides,AMNM
Acer_pseudoplatanus,AMNM
Acer_pseudosieboldianum,AMNM
Acer_rubrum,AM
Acer_saccharinum,AM
Acer_saccharum,AM
Acer_spicatum,AM
Acer_tataricum,AMNM
Acer_tegmentosum,AMNM
Achillea_millefolium,AMNM
Achillea_nobilis,AM
Achillea_ptarmica,AMNM
Achillea_setacea,AMNM
Achnatherum_splendens,AM
Achyranthes_aspera,AMNM
Aconitum_delphiniifolium,AM
Aconitum_napellus,AMNM
Aconitum_septentrionale,AM
Acorus_calamus,AMNM
Acronychia_pedunculata,AM
Actaea_spicata,AMNM
Actinidia_chinensis,AM
Actinidia_kolomikta,NM
Actinidia_polygama,NM
Actinoscirpus_grossus,NM
Actinostemon_concolor,AM
Adansonia_digitata,AM
Adenanthera_pavonina,AM
Adenium_obesum,AM
Adenophora_liliifolia,AM
Adenostoma_fasciculatum,AM
Adonis_vernalis,AM
Adoxa_moschatellina,AMNM
Aegilops_crassa,AM
Aegilops_cylindrica,NM
Aegilops_juvenalis,AM
Aegilops_speltoides,AM
Aegilops_tauschii,AM
Aegilops_triuncialis,AMNM
Aegonychon_purpurea-coeruleum,AM
Aegopodium_podagraria,AMNM
Aeonium_decorum,AM
Aeschynomene_indica,AM
Aesculus_hippocastanum,AM
Aethusa_cynapium,AM
Afzelia_bella,EM
Afzelia_bipindensis,EM
Afzelia_quanzensis,EM
Agathis_australis,AM
Agathis_lanceolata,AM
Agathis_robusta,AM
Agathosma_ovata,AM
Agave_americana,AM
Agave_datylio,AM
Agave_marmorata,AM
Agave_salmiana,AM
Ageratum_conyzoides,AM
Ageratum_houstonianum,AM
Aglaonema_modestum,AM
Agrimonia_eupatoria,AM
Agriophyllum_squarrosum,NM
Agropyron_cristatum,AM
Agropyron_desertorum,AM
Agrostemma_githago,NM
Agrostis_canina,AMNM
Agrostis_capillaris,AMNM
Agrostis_gigantea,AM
Agrostis_scabra,AM
Agrostis_stolonifera,AMNM
Agrostis_vinealis,AM
Ailanthus_altissima,AMNM
Aira_caryophyllea,AMNM
Aira_praecox,AMNM
Ajuga_reptans,AM
Albizia_julibrissin,AM
Albizia_kalkora,AM
Albizia_lebbeck,AM
Alcea_rosea,AM
Alchemilla_alpina,AM
Alchemilla_glomerulans,AM
Alchemilla_vulgaris,AMNM
Alchornea_cordifolia,AM
Alchorneopsis_floribunda,AM
Aldina_insignis,EM
Alexgeorgea_nitens,AM
Alhagi_maurorum,AM
Alisma_lanceolatum,AMNM
Alisma_subcordatum,AM
Alisma_triviale,AM
Alliaria_petiolata,NM
Allium_ampeloprasum,AM
Allium_carolinianum,AM
Allium_cepa,AM
Allium_fistulosum,AM
Allium_oleraceum,AMNM
Allium_sativum,AM
Allium_schoenoprasum,AM
Allium_scorodoprasum,AM
Allium_stellatum,AM
Allium_subhirsutum,AM
Allium_triquetrum,AM
Allium_vineale,AM
Alnus_acuminata,EM
Alnus_cordata,AM
Alnus_glutinosa,EM
Alnus_incana,EM
Alnus_japonica,EM
Alocasia_macrorrhizos,AMNM
Aloe_arborescens,AM
Alopecurus_aequalis,NM
Alopecurus_geniculatus,AM
Alopecurus_magellanicus,AMNM
Alopecurus_myosuroides,AM
Alopecurus_pratensis,AM
Alpinia_conchigera,AM
Alstonia_boonei,AM
Alstroemeria_aurea,AM
Althaea_officinalis,AM
Alyssum_alyssoides,NM
Alyssum_dasycarpum,NM
Alyssum_linifolium,NM
Alyssum_montanum,NM
Amaranthus_blitum,AM
Amaranthus_caudatus,AMNM
Amaranthus_hypochondriacus,AM
Amaranthus_retroflexus,AMNM
Amaranthus_spinosus,AMNM
Amaranthus_tricolor,AM
Amaranthus_viridis,AM
Ambrosia_artemisiifolia,AM
Ambrosia_trifida,AM
Amischotolype_hispida,AM
Ammodendron_bifolium,AM
Ammophila_arenaria,AMNM
Ammophila_breviligulata,AM
Amomum_petaloideum,AM
Amomum_villosum,AM
Amorpha_canescens,AM
