family,examined_species,mycorrhizal_status,references
Haplomitriaceae,Haplomitrium gibbsiae,AM-like,107
Haplomitriaceae,Haplomitrium ovalifolium,AM-like,107
Blasiaceae,Blasia pusilla,None,"182, 328"
Lunulariaceae,Lunularia cruciata,Fungal association (G),182
Marchantiaceae,Marchantia foliacea,AM-like,505
Marchantiaceae,Marchantia polymorpha,Fungal association (G),182
Aytoniaceae,Asterella wilmsii,AM-like,345
Conocephalaceae,Conocephalum conicum,AM-like,346
Ricciaceae,Riccia fluitans,None,182
Metzgeriaceae,Apometzgeria pubescens,None,466
Metzgeriaceae,Metzgeria conjugata,None,466
Metzgeriaceae,Metzgeria fruticulosa,None,466
Metzgeriaceae,Metzgeria furcata,None,466
Metzgeriaceae,Metzgeria leptoneura,None,466
Metzgeriaceae,Metzgeria temperata,None,466
Aneuraceae,Aneura pinguis,ORM-like (B),347
Aneuraceae,Cryptothallus mirabilis,Fungal association,466
Aneuraceae,Riccardia latifrons,None,466
Aneuraceae,Riccardia multifida,None,466
Aneuraceae,Riccardia palmate,None,466
Pelliaceae,Pellia endiviifolia,AM-like,598
Pelliaceae,Pellia epiphylla,Fungal association (G),182
Pelliaceae,Pellia fabbroniana,AM-like,483
Codoniaceae,Fossombronia pusilla,Fungal association (G),182
Codoniaceae,Fossombronia wondraczekii,Fungal association,328
Radulaceae,Radula aquilegia,None,466
Radulaceae,Radula complanata,None,466
Radulaceae,Radula lindbergiana,None,466
Porellaceae,Porella arboris-vitae,None,466
Porellaceae,Porella cordaeana,None,466
Porellaceae,Porella obtusata,None,466
Porellaceae,Porella pinnata,None,466
Porellaceae,Porella platyphylla,None,466
Jubulaceae,Frullania dilatata,None,466
Jubulaceae,Frullania fragilifolia,None,466
Jubulaceae,Frullania microphylla,None,466
Jubulaceae,Frullania tamarisci,None,466
Jubulaceae,Frullania teneriffae,None,466
Jubulaceae,Jubula hutchinsiae,None,466
Lejeuneaceae,Aphanolejeunea microscopica,None,466
Lejeuneaceae,Cololejeunea calcarea,None,466
Lejeuneaceae,Cololejeunea minutissima,None,466
Lejeuneaceae,Colura calyptrifolia,None,466
Lejeuneaceae,Drepanolejeunea hamatifolia,None,466
Lejeuneaceae,Harpalejeunea ovata,None,466
Lejeuneaceae,Lejeunea cavifolia,None,466
Lejeuneaceae,Lejeunea lamacerina,None,466
Lejeuneaceae,Lejeunea patens,None,466
Lejeuneaceae,Lejeunea ulicina,None,466
Lejeuneaceae,Marchesinia mackaii,None,466
Pseudolepicoleaceae,Blepharostoma trichophyllum,None,466
Herbertaceae,Herbertus borealis,None,466
Plagiochilaceae,Pedinophyllum interruptum,None,466
Plagiochilaceae,Plagiochila asplenioides,None,466
Plagiochilaceae,Plagiochila porelloides,None,466
Plagiochilaceae,Plagiochila punctata,Fungal association,466
Plagiochilaceae,Plagiochila spinulosa,None,466
Arnelliaceae,Southbya nigrella,Fungal association (B),182
Geocalycaceae,Chiloscyphus pallescens,None,466
Geocalycaceae,Chiloscyphus polyanthus,None,466
Geocalycaceae,Geocalyx graveolens,Fungal association,466
Geocalycaceae,Harpanthus flotovianus,None,466
Geocalycaceae,Harpanthus scutatus,Fungal association,466
Geocalycaceae,Leptoscyphus cuneifolius,None,466
Geocalycaceae,Lophocolea bidentata,None,466
Geocalycaceae,Lophocolea cuspidate,None,466
Geocalycaceae,Lophocolea heterophylla,None,"182, 466"
Geocalycaceae,Saccogyna viticulosa,Fungal association,466
Lepidoziaceae,Bazzania flaccida,None,328
Lepidoziaceae,Bazzania tricrenata,None,466
Lepidoziaceae,Bazzania trilobata,None,"328, 466"
Lepidoziaceae,Kurzia pauciflora,Fungal association,466
Lepidoziaceae,Kurzia sylvatica,Fungal association,466
Lepidoziaceae,Kurzia trichoclados,Fungal association,466
Lepidoziaceae,Lepidozia reptans,Fungal association,466
Lepidoziaceae,Telaranea murphyae,Fungal association,466
Lepidoziaceae,Telaranea nematodes,Fungal association,466
Scapaniaceae,Diplophyllum albicans,None,"182, 466"
Scapaniaceae,Diplophyllum obtusifolium,Fungal association,328
Scapaniaceae,Douinia ovata,None,466
Scapaniaceae,Scapania calcicola,None,466
Scapaniaceae,Scapania cuspiduligera,None,466
Scapaniaceae,Scapania gracilis,None,466
Scapaniaceae,Scapania scandica,None,466
Scapaniaceae,Scapania umbrosa,None,466
Cephaloziellaceae,Cephaloziella baumgartneri,None,466
Cephaloziellaceae,Cephaloziella divaricata,Fungal association,466
Cephaloziellaceae,Cephaloziella exiliflora,Fungal association (A),118
Cephaloziellaceae,Cephaloziella hampeana,Fungal association,466
Cephaloziellaceae,Cephaloziella massalongi,None,466
Cephaloziellaceae,Cephaloziella rubella,Fungal association,466
Cephaloziaceae,Cephalozia bicuspidate,Fungal association,466
Cephaloziaceae,Cephalozia catenulate,None,466
Cephaloziaceae,Cephalozia connivens,Fungal association,466
Cephaloziaceae,Cephalozia leucantha,Fungal association,466
Cephaloziaceae,Cephalozia loitlesbergeri,Fungal association,466
Cephaloziaceae,Cephalozia lunulifolia,Fungal association,"328, 466"
Cephaloziaceae,Cephalozia macrostachya,Fungal association,466
Cephaloziaceae,Cephalozia pleniceps,Fungal association,466
Cephaloziaceae,Cladopodiella fluitans,None,466
Cephaloziaceae,Cladopodiella francisci,Fungal association,466
Cephaloziaceae,Nowellia curvifolia,Fungal association (A),"182, 328, 466"
Cephaloziaceae,Odontoschisma denudatum,None,466
Cephaloziaceae,Odontoschisma elongatum,None,466
Cephaloziaceae,Odontoschisma sphagni,Fungal association,466
Calypogeiaceae,Calypogeia arguta,Fungal association,466
Calypogeiaceae,Calypogeia azurea,"Fungal association (A, B)",328
Calypogeiaceae,Calypogeia fissa,Fungal association,466
Calypogeiaceae,Calypogeia integristipula,Fungal association,328
Calypogeiaceae,Calypogeia muellerana,Fungal association,466
Calypogeiaceae,Calypogeia neesiana,Fungal association,"328, 466"
Calypogeiaceae,Calypogeia sphagnicola,Fungal association,466
Calypogeiaceae,Calypogeia trichomanis,Fungal association,466
Jungermanniaceae,Anastrophyllum minutum,Fungal association,328
Jungermanniaceae,Barbilophozia barbata,"Fungal association (A, B)",328
Jungermanniaceae,Barbilophozia hatcheri,None,466
Jungermanniaceae,Jamesoniella autumnalis,Fungal association,466
Jungermanniaceae,Jamesoniella undulifolia,None,466
Jungermanniaceae,Jungermannia atrovirens,None,466
Jungermanniaceae,Jungermannia borealis,None,466
Jungermanniaceae,Jungermannia exsertifolia,None,466
Jungermanniaceae,Jungermannia gracillima,None,"182, 466"
Jungermanniaceae,Jungermannia obovata,None,466
Jungermanniaceae,Jungermannia pumila,None,466
Jungermanniaceae,Leiocolea turbinata,None,466
Jungermanniaceae,Lophozia incisa,Fungal association (B),328
Jungermanniaceae,Lophozia sudetica,Fungal association (B),328
Jungermanniaceae,Lophozia ventricosa,Fungal association (B),182
Jungermanniaceae,Mylia anomala,Fungal association,"328, 466"
Jungermanniaceae,Mylia taylorii,Fungal association,328
Jungermanniaceae,Nardia breidleri,Fungal association,466
Jungermanniaceae,Nardia scalaris,Fungal association (B),"182, 328"
Jungermanniaceae,Sphenolobus helleranus,None,466
Jungermanniaceae,Sphenolobus minutus,None,466
Gymnomitriaceae,Gymnomitrion concinnatum,None,466
Gymnomitriaceae,Gymnomitrion crenulatum,None,466
Gymnomitriaceae,Gymnomitrion obtusum,None,466
Gymnomitriaceae,Marsupella adusta,None,466
Gymnomitriaceae,Marsupella alpina,None,466
Gymnomitriaceae,Marsupella emarginata,None,466
Gymnomitriaceae,Marsupella stableri,None,466
Anthocerotaceae,Anthoceros punctatus,AM-like,525
Anthocerotaceae,Phaeoceros laevis,AM-like,344
Lycopodiaceae,Diphasiastrum alpinum,AM+NM,"260, 261"
Lycopodiaceae,Diphasiastrum complanatum,NM,654
Lycopodiaceae,Diphasiastrum issleri,AM,"260, 261"
Lycopodiaceae,Huperzia australiana,AM,342
Lycopodiaceae,Huperzia phyllantha,AM,226
Lycopodiaceae,Huperzia selago,AM+NM,"260, 261"
Lycopodiaceae,Huperzia serrata f. longipetiolata,NM,654
Lycopodiaceae,Lycopodiastrum casuarinoides,NM,654
Lycopodiaceae,Lycopodiella inundata,AM,212
Lycopodiaceae,Lycopodium alpinum,NM,594
Lycopodiaceae,Lycopodium annotinum,AM,"260, 261"
Lycopodiaceae,Lycopodium cernuum,AM,"181, 226"
Lycopodiaceae,Lycopodium clavatum,AM,"521, 594"
Lycopodiaceae,Lycopodium japonicum,AM,654
Lycopodiaceae,Lycopodium selago,NM,594
Lycopodiaceae,Palhinhaea cernua,NM,654
Lycopodiaceae,Phlegmariurus henryi,NM,654
Isoetaceae,Isoetes echinospora,NM,"260, 261"
Isoetaceae,Isoetes histrix,NM,"260, 261"
Isoetaceae,Isoetes lacustris,NM,"260, 261"
Selaginellaceae,Selaginella arbuscula,AM,226
Selaginellaceae,Selaginella biformis,AM,654
Selaginellaceae,Selaginella chrysocaulos,NM,654
Selaginellaceae,Selaginella davidii,AM,"653, 654"
Selaginellaceae,Selaginella delicatula,AM,654
Selaginellaceae,Selaginella frondosa,AM,654
