source,original_name_genus_species,raw_state_record_from_publication
Wang&Qiu2006,Acacia auriculiformis,AM
Wang&Qiu2006,Acacia mangium,EM AM
Akhmetzhanova et al. 2012,Acer davidii,AM
Akhmetzhanova et al. 2012,Acer negundo,AM
Akhmetzhanova et al. 2012,Acer negundo,NM
Wang&Qiu2006,Acer platanoides,AM AM + EM + NM
Akhmetzhanova et al. 2012,Acer platanoides,AM
Akhmetzhanova et al. 2012,Acer platanoides,NM
Wang&Qiu2006,Acer pseudoplatanus,AM AM + EM + NM
Akhmetzhanova et al. 2012,Acer pseudoplatanus,AM
Akhmetzhanova et al. 2012,Acer pseudoplatanus,NM
Wang&Qiu2006,Acer rubrum,AM
Wang&Qiu2006,Acer saccharum,AM
Wang&Qiu2006,Acronychia pedunculata,AM
Wang&Qiu2006,Aesculus hippocastanum,AM
Wang&Qiu2006,Barringtonia racemosa,AM
Wang&Qiu2006,Carpinus betulus,EM
Akhmetzhanova et al. 2012,Carpinus cordata,EM
Akhmetzhanova et al. 2012,Cornus florida,AM
Wang&Qiu2006,Dicranopteris linearis,AM
Wang&Qiu2006,Equisetum hyemale,AM
Akhmetzhanova et al. 2012,Equisetum hyemale,NM
Hempel et al. 2013,Equisetum hyemale,AM+NM
Wang&Qiu2006,Equisetum pratense,NM
Wang&Qiu2006,Eucalyptus urophylla,AM AM + EM
Hoeksema et al. 2010,Eucalyptus urophylla,EM
Akhmetzhanova et al. 2012,Fraxinus americana,AM
Wang&Qiu2006,Fraxinus excelsior,AM AM + EM
Akhmetzhanova et al. 2012,Fraxinus excelsior,AM
Akhmetzhanova et al. 2012,Fraxinus excelsior,NM
Akhmetzhanova et al. 2012,Fraxinus mandshurica,NM
Wang&Qiu2006,Garcinia cowa,NM
Wang&Qiu2006,Ginkgo biloba,AM
Wang&Qiu2006,Gironniera subaequalis,NM
Akhmetzhanova et al. 2012,Gleditsia triacanthos,AM
Akhmetzhanova et al. 2012,Gleditsia triacanthos,NM
Wang&Qiu2006,Goniothalamus griffithii,AM
Akhmetzhanova et al. 2012,Hamamelis virginiana,AM
Akhmetzhanova et al. 2012,Ilex opaca,AM
Akhmetzhanova et al. 2012,Juglans mandshurica,AM
Akhmetzhanova et al. 2012,Juglans mandshurica,NM
Wang&Qiu2006,Juglans nigra,AM
Akhmetzhanova et al. 2012,Juglans nigra,NM
Akhmetzhanova et al. 2012,Larix gmelinii,EM
Wang&Qiu2006,Liquidambar styraciflua,AM
Akhmetzhanova et al. 2012,Liriodendron chinense,AM
Wang&Qiu2006,Liriodendron tulipifera,AM
Akhmetzhanova et al. 2012,Magnolia grandiflora,AM
Akhmetzhanova et al. 2012,Magnolia tripetala,AM
Akhmetzhanova et al. 2012,Magnolia virginiana,AM
Akhmetzhanova et al. 2012,Malus baccata,AM
Akhmetzhanova et al. 2012,Malus baccata,NM
Akhmetzhanova et al. 2012,Matteuccia struthiopteris,AM
Wang&Qiu2006,Onoclea sensibilis,AM
Akhmetzhanova et al. 2012,Phellodendron amurense,AM
Akhmetzhanova et al. 2012,Phellodendron amurense,NM
Akhmetzhanova et al. 2012,Picea wilsonii,EM
Akhmetzhanova et al. 2012,Pinus armandii,EM
Akhmetzhanova et al. 2012,Pinus strobus,EM
Akhmetzhanova et al. 2012,Pinus virginiana,EM
Maherali 2014,Platanus occidentalis,AM
Wang&Qiu2006,Populus deltoides,AM
Akhmetzhanova et al. 2012,Populus deltoides,EM
Wang&Qiu2006,Populus tremula,AM + EM
Akhmetzhanova et al. 2012,Populus tremula,EM
Wang&Qiu2006,Populus tremuloides,EM EM+AM
Wang&Qiu2006,Populus trichocarpa,EM
Hempel et al. 2013,Populus trichocarpa,AM+EM
Wang&Qiu2006,Quercus alba,EM
Wang&Qiu2006,Quercus rubra,EM
Hempel et al. 2013,Quercus rubra,AM+EM
Wang&Qiu2006,Sorbus aucuparia,AM + EM + NM
Akhmetzhanova et al. 2012,Sorbus aucuparia,AM
Akhmetzhanova et al. 2012,Sorbus aucuparia,NM
Wang&Qiu2006,Tilia cordata,EM AM + EM + NM
Akhmetzhanova et al. 2012,Tilia cordata,EM
Akhmetzhanova et al. 2012,Tilia mandshurica,EM
Akhmetzhanova et al. 2012,Magnolia kobus,AM
