Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
Sheffield-Iran-Spain Database,Acer pseudoplatanus,Acer pseudoplatanus,22.0,C3
Sheffield-Iran-Spain Database,Fraxinus excelsior,Fraxinus excelsior,22.0,C3
Sheffield-Iran-Spain Database,Sorbus aucuparia,Sorbus aucuparia,22.0,C3
Abisko & Sheffield Database,Matteuccia struthiopteris,Matteuccia struthiopteris,22.0,C3
Abisko & Sheffield Database,Populus tremula,Populus tremula,22.0,C3
Abisko & Sheffield Database,Sorbus aucuparia,Sorbus aucuparia,22.0,C3
Sheffield Database,Acer platanoides,Acer platanoides,22.0,C3
Sheffield Database,Acer pseudoplatanus,Acer pseudoplatanus,22.0,C3
Sheffield Database,Aesculus hippocastanum,Aesculus hippocastanum,22.0,C3
Sheffield Database,Carpinus betulus,Carpinus betulus,22.0,C3
Sheffield Database,Fraxinus excelsior,Fraxinus excelsior,22.0,C3
Sheffield Database,Populus tremula,Populus tremula,22.0,C3
Sheffield Database,Sorbus aucuparia,Sorbus aucuparia,22.0,C3
Sheffield Database,Tilia cordata,Tilia cordata,22.0,C3
Categorical Plant Traits Database,Acacia auriculiformis,Acacia auriculiformis,22.0,C3
Categorical Plant Traits Database,Acacia mangium,Acacia mangium,22.0,C3
Categorical Plant Traits Database,Acer negundo,Acer negundo,22.0,C3
Categorical Plant Traits Database,Acer negundo var interius,Acer negundo,22.0,C3
Categorical Plant Traits Database,Acer platanoides,Acer platanoides,22.0,C3
Categorical Plant Traits Database,"ACER PLATANOIDES,",Acer platanoides,22.0,C3
Categorical Plant Traits Database,Acer pseudoplatanus,Acer pseudoplatanus,22.0,C3
Categorical Plant Traits Database,"ACER PSEUDOPLATANUS,",Acer pseudoplatanus,22.0,C3
Categorical Plant Traits Database,Acer rubrum,Acer rubrum,22.0,C3
Categorical Plant Traits Database,Acer saccharum,Acer saccharum,22.0,C3
Categorical Plant Traits Database,Acer truncatum,Acer truncatum,22.0,C3
Categorical Plant Traits Database,Adiantum pedatum,Adiantum pedatum,22.0,C3
Categorical Plant Traits Database,Aesculus hippocastanum,Aesculus hippocastanum,22.0,C3
Categorical Plant Traits Database,Aporosa yunnanensis,Aporosa yunnanensis,22.0,C3
Categorical Plant Traits Database,Aporusa chinensis,Aporosa octandra,22.0,C3
Categorical Plant Traits Database,Aporusa yunnanensis,Aporosa yunnanensis,22.0,C3
Categorical Plant Traits Database,Ardisia quequegona,Ardisia quinquegona,22.0,C3
Categorical Plant Traits Database,Ardisia quinquegona,Ardisia quinquegona,22.0,C3
Categorical Plant Traits Database,Canarium album,Canarium album,22.0,C3
Categorical Plant Traits Database,Carpinus betulus,Carpinus betulus,22.0,C3
Categorical Plant Traits Database,"CARPINUS BETULUS,",Carpinus betulus,22.0,C3
Categorical Plant Traits Database,Carpinus cordata,Carpinus cordata,22.0,C3
Categorical Plant Traits Database,Carya glabra,Carya glabra,22.0,C3
Categorical Plant Traits Database,Celtis sinensis,Celtis sinensis,22.0,C3
Categorical Plant Traits Database,Cercidiphyllum japonicum,Cercidiphyllum japonicum,22.0,C3
Categorical Plant Traits Database,Chenopodium serotinum,Chenopodium serotinum,22.0,C3
Categorical Plant Traits Database,Chionanthus virginicus,Chionanthus virginicus,22.0,C3
Categorical Plant Traits Database,Cinnamomum camphora,Cinnamomum camphora,22.0,C3
Categorical Plant Traits Database,Cornus florida,Cornus florida,22.0,C3
Categorical Plant Traits Database,Cornus officinalis,Cornus officinalis,22.0,C3
Categorical Plant Traits Database,Cratoxylon ligustrinum,Cratoxylum cochinchinense,22.0,C4
Categorical Plant Traits Database,Cryptocarya chinensis,Cryptocarya chinensis,22.0,C3
Categorical Plant Traits Database,Cryptocarya concinna,Cryptocarya concinna,22.0,C3
Categorical Plant Traits Database,Decaspermum gracilentum,Decaspermum gracilentum,22.0,C3
Categorical Plant Traits Database,Dicranopteris Iinearis,Dicranopteris linearis,22.0,C3
Categorical Plant Traits Database,Dicranopteris linearis,Dicranopteris linearis,22.0,C3
Categorical Plant Traits Database,Equisetum hiemale,Equisetum hyemale,22.0,C3
Categorical Plant Traits Database,Equisetum pratense,Equisetum pratense,22.0,C3
Categorical Plant Traits Database,Evodia lepta,Melicope pteleifolia,22.0,C3
Categorical Plant Traits Database,Fraxinus americana,Fraxinus americana,22.0,C3
Categorical Plant Traits Database,Fraxinus chinensis,Fraxinus chinensis,22.0,C3
Categorical Plant Traits Database,Fraxinus excelsior,Fraxinus excelsior,22.0,C3
Categorical Plant Traits Database,"FRAXINUS EXCELSIOR,",Fraxinus excelsior,22.0,C3
Categorical Plant Traits Database,Fraxinus madshurica,Fraxinus mandshurica,22.0,C3
Categorical Plant Traits Database,Fraxinus mandschurica,Fraxinus mandshurica,22.0,C3
Categorical Plant Traits Database,Fraxinus mandshurica,Fraxinus mandshurica,22.0,C3
Categorical Plant Traits Database,Fraxinus rhynchophylla,Fraxinus chinensis,22.0,C3
Categorical Plant Traits Database,Garcinia oblongifolia,Garcinia oblongifolia,22.0,C3
Categorical Plant Traits Database,Ginkgo bilbosa,Ginkgo biloba,22.0,C3
Categorical Plant Traits Database,Gironniera subaequalis,Gironniera subaequalis,22.0,C4
Categorical Plant Traits Database,Ilex opaca,Ilex opaca,22.0,C3
Categorical Plant Traits Database,Juglans mandshurica,Juglans mandshurica,22.0,C3
Categorical Plant Traits Database,Juglans nigra,Juglans nigra,22.0,C3
Categorical Plant Traits Database,Larix dahurica,Larix gmelinii,22.0,C3
Categorical Plant Traits Database,Larix gmelinii,Larix gmelinii,22.0,C3
Categorical Plant Traits Database,Larix olgenisis,Larix gmelinii,22.0,C3
Categorical Plant Traits Database,Larix olgensis,Larix gmelinii,22.0,C3
Categorical Plant Traits Database,Lindera communis,Lindera communis,22.0,C3
Categorical Plant Traits Database,Liquidambar styraciflua,Liquidambar styraciflua,22.0,C3
Categorical Plant Traits Database,Liquidambar styraciflua ssp mexicana,Liquidambar styraciflua,22.0,C3
Categorical Plant Traits Database,Liriodendron tulipifera,Liriodendron tulipifera,22.0,C3
Categorical Plant Traits Database,Machilus velutina,Machilus velutina,22.0,C3
Categorical Plant Traits Database,Magnolia denudata,Magnolia denudata,22.0,C3
Categorical Plant Traits Database,Magnolia grandiflora,Magnolia grandiflora,22.0,C3
Categorical Plant Traits Database,Malus baccata,Malus baccata,22.0,C3
Categorical Plant Traits Database,Matteuccia struthiopteris,Matteuccia struthiopteris,22.0,C3
Categorical Plant Traits Database,Michelia balansae,Magnolia balansae,22.0,C4
Categorical Plant Traits Database,Microcos paniculata,Microcos paniculata,22.0,C3
Categorical Plant Traits Database,Microcos paniculata,Microcos paniculata,22.0,C4
Categorical Plant Traits Database,Myrsine seguinii,Myrsine seguinii,22.0,C3
