"names","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Ratibida_pinnata",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Heliopsis_helianthoides",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Liatris_aspera",0.00100551539096942,0.172946239349867,0.0766867994426519,-0.901883214099737,-0.9018832140517,0.22170704529607,"AM","RD",TRUE
"Arnica_sororia",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Arnica_fulgens",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Hymenoxys_richardsonii",0.00101181417303961,0.172946239349867,0.0890287971126998,-0.963732667957874,-0.963732638920112,0.257388647036705,"AM","RD",TRUE
"Helianthus_agrestis",0.00100533761564881,0.172946239349867,0.0766867994426519,-0.902232452188719,-0.902232273936852,0.22170704529607,"AM","RD",TRUE
"Helianthus_grosseserratus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_giganteus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_maximiliani",0.00100551539096942,0.172946239349867,0.0766867994426519,-0.901883214099737,-0.9018832140517,0.22170704529607,"AM","RD",TRUE
"Helianthus_verticillatus",0.00101581264803287,0.172946239349867,0.0767928140096974,-0.903695210858935,-0.903695210264252,0.222013541024002,"AM","RD",TRUE
"Helianthus_salicifolius",0.00101092661510307,0.172946239349867,0.0768554947381923,-0.902681032657348,-0.90268206664717,0.222194755512194,"AM","RD",TRUE
"Pappobolus_microphyllus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.902855956207326,-0.902596633041798,0.22170704529607,"AM","RD",TRUE
"Helianthus_occidentalis",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_mollis",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_silphioides",0.00100488202049696,0.172946239349867,0.0766867994438867,-0.901780827308339,-0.901780827308339,0.22170704529964,"AM","RD",TRUE
"Helianthus_atrorubens",0.00101181417303961,0.172946239349867,0.0890287971126998,-0.963480431141632,-0.96348043061754,0.257388647036706,"AM","RD",TRUE
"Helianthus_longifolius",0.00101226976895537,0.172946239349867,0.076686799452409,-0.90330647245752,-0.903306470507626,0.221707045324284,"AM","RD",TRUE
"Helianthus_angustifolius",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_floridanus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_petiolaris",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_neglectus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_niveus",0.00100488202049696,0.172946239349867,0.0766867994438867,-0.901780827308339,-0.901780827308339,0.22170704529964,"AM","RD",TRUE
"Helianthus_praecox",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_debilis",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_argophyllus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_annuus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_cusickii",0.00100888049495648,0.172946239349867,0.0768035942603308,-0.90352036790419,-0.903520358339722,0.222044707502886,"AM","RD",TRUE
"Helianthus_pauciflorus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_radula",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_porteri",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_carnosus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helianthus_heterophyllus",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901879203272085,0.221707045709988,"AM","RD",TRUE
"Ambrosia_artemisiifolia",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Echinacea_serotina",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196865,0.22170704529607,"AM","RD",TRUE
"Coreopsis_palmata",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196893,0.22170704529607,"AM","RD",TRUE
"Helichrysum_italicum",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
"Helichrysum_stoechas",0.00100488201973305,0.172946239349867,0.0766867994426519,-0.901780827196614,-0.901780827196614,0.22170704529607,"AM","RD",TRUE
