RDcd,RDcid,SRLcd,SRLcid,model
1731.12657,1828.678591,3853.193849,4657.79495,ARDOUM
2545.539947,2693.022525,4487.405877,4448.73119,ARDOUMA
1815.817414,2669.462327,4507.848087,4598.386563,ARDOUMV
2501.529278,2655.075915,4401.705061,4271.710374,ARDOUMVA
2631.131421,1733.091556,3825.114095,4546.480356,EROUM
2532.583882,NA,4493.564511,NA,EROUMA
2501.813909,1763.871572,3821.690085,3845.076764,EROUMV
2474.716133,NA,4428.694297,4309.044363,EROUMVA
1716.898024,1824.136491,3823.263494,3892.906239,SYMOUM
2523.12015,2576.054586,5251.342963,NA,SYMOUMA
1716.585582,1752.604018,4493.526304,4482.278246,SYMOUMV
2479.285115,2570.20066,4773.035044,4591.607582,SYMOUMVA
