"AICc","trait","cd","models"
1731.12657021883,"RD",TRUE,"ARDOUM"
2545.5399473643,"RD",TRUE,"ARDOUMA"
1815.81741409895,"RD",TRUE,"ARDOUMV"
2501.52927798001,"RD",TRUE,"ARDOUMVA"
2631.13142111831,"RD",TRUE,"EROUM"
2532.58388247273,"RD",TRUE,"EROUMA"
2501.8139094095,"RD",TRUE,"EROUMV"
2474.71613306274,"RD",TRUE,"EROUMVA"
1716.89802373587,"RD",TRUE,"SYMOUM"
2523.12015049398,"RD",TRUE,"SYMOUMA"
1716.5855815169,"RD",TRUE,"SYMOUMV"
2479.28511495172,"RD",TRUE,"SYMOUMVA"
1828.67859109468,"RD",FALSE,"ARDOUM"
2693.02252477945,"RD",FALSE,"ARDOUMA"
2669.46232690812,"RD",FALSE,"ARDOUMV"
2655.0759145466,"RD",FALSE,"ARDOUMVA"
1733.09155624814,"RD",FALSE,"EROUM"
-8589080536.37952,"RD",FALSE,"EROUMA"
1763.8715722439,"RD",FALSE,"EROUMV"
-18253607747.8241,"RD",FALSE,"EROUMVA"
1824.1364908555,"RD",FALSE,"SYMOUM"
2576.05458637104,"RD",FALSE,"SYMOUMA"
1752.60401832731,"RD",FALSE,"SYMOUMV"
2570.2006603548,"RD",FALSE,"SYMOUMVA"
3853.19384889675,"SRL",TRUE,"ARDOUM"
4487.40587700974,"SRL",TRUE,"ARDOUMA"
4507.84808737644,"SRL",TRUE,"ARDOUMV"
4401.70506112504,"SRL",TRUE,"ARDOUMVA"
3825.11409488224,"SRL",TRUE,"EROUM"
4493.56451113967,"SRL",TRUE,"EROUMA"
3821.69008477922,"SRL",TRUE,"EROUMV"
4428.69429746116,"SRL",TRUE,"EROUMVA"
3823.26349374115,"SRL",TRUE,"SYMOUM"
5251.34296347177,"SRL",TRUE,"SYMOUMA"
4493.52630393602,"SRL",TRUE,"SYMOUMV"
4773.0350438682,"SRL",TRUE,"SYMOUMVA"
4657.79495049787,"SRL",FALSE,"ARDOUM"
4448.73119003544,"SRL",FALSE,"ARDOUMA"
4598.38656331179,"SRL",FALSE,"ARDOUMV"
4271.71037374661,"SRL",FALSE,"ARDOUMVA"
4546.48035601815,"SRL",FALSE,"EROUM"
-17179865393.7434,"SRL",FALSE,"EROUMA"
3845.07676420019,"SRL",FALSE,"EROUMV"
4309.04436346789,"SRL",FALSE,"EROUMVA"
3892.90623934731,"SRL",FALSE,"SYMOUM"
-8589919218.23558,"SRL",FALSE,"SYMOUMA"
4482.27824608298,"SRL",FALSE,"SYMOUMV"
4591.60758227799,"SRL",FALSE,"SYMOUMVA"
