"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Rudbeckia_hirta",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Ratibida_pinnata",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Heliopsis_helianthoides",0.00022206198949959,0.164759772622091,0.0830651244258325,-1.40853000827454,-1.39325880108211,0.252842319716717,"NM","RD",TRUE
"Liatris_aspera",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Arnica_sororia",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Arnica_fulgens",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Hymenoxys_richardsonii",0.00107916465495118,0.164759772622091,0.0624722613928886,-1.20017345817045,-1.14950373966263,0.194065205961534,"NMAM","RD",TRUE
"Helianthus_agrestis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_grosseserratus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_giganteus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_maximiliani",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_verticillatus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_salicifolius",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Pappobolus_microphyllus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_occidentalis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_mollis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_silphioides",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_atrorubens",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_longifolius",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_angustifolius",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_floridanus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_petiolaris",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_neglectus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_niveus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_praecox",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_debilis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_argophyllus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_annuus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_cusickii",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_pauciflorus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_radula",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_porteri",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_carnosus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helianthus_heterophyllus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Ambrosia_artemisiifolia",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Echinacea_serotina",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Eclipta_prostrata",0.00107916465495118,0.164759772622091,0.0624722613928886,-1.20017345817045,-1.14007139005078,0.196561251446607,"NMAM","RD",TRUE
"Coreopsis_palmata",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Helichrysum_italicum",0.000192736721855592,0.164759772622091,0.130487975704094,-1.36906913927736,-1.11071871496374,0.283411813898813,"EcMAM","RD",TRUE
"Helichrysum_stoechas",0.000192736721855592,0.164759772622091,0.130487975704094,-1.36906913927736,-1.11071871496374,0.283411813898813,"EcMAM","RD",TRUE
"Anaphalis_aureopunctata",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Anaphalis_hancockii",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Antennaria_parvifolia",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Antennaria_neglecta",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Leontopodium_nanum",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Inula_conyza",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Haplopappus_spinulosus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_oolentangiense",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_falcatum",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_ciliolatum",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_puniceum",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_laeve",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_novae-angliae",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Symphyotrichum_ericoides",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Heterotheca_villosa",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_ptarmicoides",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_nemoralis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_decurrens",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_speciosa",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_rigida",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_missouriensis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Solidago_canadensis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Gutierrezia_sarothrae",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Erigeron_glabellus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Erigeron_pumilus",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
"Erigeron_canadensis",0.00140284886431023,0.164759772622091,0.076896703142432,-1.05927134493287,-1.05927134493287,0.233337780476583,"AM","RD",TRUE
