source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Acroceras_zizanioides,C3,0.124373888,1.221655567,3.62371472,5.696911796,2.884383456,-0.646021686,0.459942021,NA,NA,NA,NA,NA,NA,NA
Aegilops_speltoides,C3,0.052257612,1.24814064,3.739729045,5.511138227,2.855100338,-0.181785688,-0.396674879,-0.066576564,3.697530684,9.273404198,7.04493961,-1.060809505,0.368074825,0.529909892
Alloteropsis_cimicina,C4,0.15229335,1.100168011,3.706820198,5.633431983,2.751559214,-0.460499031,-0.017766542,NA,NA,NA,NA,NA,NA,NA
Aristida_diffusa,C4,0.071691695,1.024674912,3.739763193,5.435072901,3.207254025,0.250964427,-0.146312964,-0.178411476,3.684523946,8.643473944,6.712697413,-0.770352251,1.08099689,0.449674396
Aristida_funiculata,C4,0.131316001,0.787930189,3.758917321,5.357480648,3.579360021,0.760355289,-0.02644422,NA,NA,NA,NA,NA,NA,NA
Avena_fatua,C3,0.124019205,1.030298003,3.745317964,5.729154459,2.865589359,-0.31790509,-0.262006192,NA,NA,NA,NA,NA,NA,NA
Avena_sativa,C3,0.006504137,0.693830165,3.726871153,5.292460081,3.026074541,0.217862417,0.349349282,-0.248047898,3.723648913,9.233161307,7.010748256,-1.051037148,0.400362851,0.198644211
Boissiera_squarrosa,C3,0.067526688,1.323592772,3.74199868,5.452797933,2.888894946,-0.10255221,-0.480650275,0.408722357,3.740855713,9.603557892,7.257075126,-1.16435153,-0.090544033,0.797651257
Bothriochloa_barbinodis,C4,0.049785628,0.780342685,3.759248303,5.675184182,3.18939337,0.111913816,-0.093275144,0.086089082,3.762838361,9.517633446,7.090626114,-1.25062775,-0.024547485,0.316368196
Bothriochloa_insculpta,C4,0.05395888,0.974852146,3.757468353,5.839517361,2.970597873,-0.274046289,-0.326046621,0.227428811,3.766317038,9.494171432,7.014039277,-1.295448678,-0.035120974,0.421488811
Bouteloua_gracilis,C4,0.173735064,1.081264012,3.743250743,5.460912154,3.482661543,0.489844558,-0.247867194,NA,NA,NA,NA,NA,NA,NA
Bouteloua_repens,C4,0.109499211,0.71320128,3.755154545,5.646132652,3.5702936,0.495559188,0.0070787,0.090258024,3.803322364,9.553911022,7.01153947,-1.331238155,-0.119592857,0.077935677
Brachiaria_lata,C4,0.05152796,0.14469312,3.726992522,5.453499689,2.977673003,0.1093123,0.898235246,-0.295484541,3.761876308,8.952856407,6.791342051,-1.001000805,0.629771662,-0.097467092
Briza_maxima,C3,0.068115647,1.075541041,3.772433763,5.724302637,2.896826273,-0.213367434,-0.51536526,NA,NA,NA,NA,NA,NA,NA
Buchloe_dactyloides,C4,0.067680968,0.895028077,3.74353343,5.575577666,3.487343331,0.420309912,-0.079841346,0.047010672,3.798621524,9.757345436,7.273978903,-1.323131786,-0.325237799,0.107057225
Cenchrus_brownii,C4,0.08074902,0.508573766,3.712519843,5.794176325,2.815044502,-0.441035867,0.531602161,-0.162304339,3.799712024,8.692073342,6.604076605,-0.930516439,0.827298431,-0.203068408
Cenchrus_echinatus,C4,0.157017089,0.803205751,3.735731214,5.66852625,2.696311233,-0.418246058,0.075272549,NA,NA,NA,NA,NA,NA,NA
Cenchrus_pilosus,C4,0.197260088,0.418091125,3.715846411,5.504528501,2.835408363,-0.141905833,0.679026817,NA,NA,NA,NA,NA,NA,NA
Cenchrus_setigerus,C4,0.175511598,0.203487471,3.735346997,5.565012378,2.881369352,-0.065417549,0.74524778,NA,NA,NA,NA,NA,NA,NA
