original_reference,original_ref_checked,non_original_reference,habitat_naturality,biome,species,mycorrhiza type,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,consensus_mycorrhizal_state
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer davidii,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer negundo,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Acer negundo,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Acer negundo,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Acer platanoides,AM; others not addressed,,,,,,,,,AM
