Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
Abisko & Sheffield Database,Populus tremula,Populus tremula,7.0,EcM
Abisko & Sheffield Database,Sorbus aucuparia,Sorbus aucuparia,7.0,NM/AM
Sheffield Database,Tilia cordata,Tilia cordata,7.0,EcM
Sheffield Database,Acer platanoides,Acer platanoides,7.0,AM/EcM
Sheffield Database,Acer pseudoplatanus,Acer pseudoplatanus,7.0,AM
Sheffield Database,Aesculus hippocastanum,Aesculus hippocastanum,7.0,AM
Sheffield Database,Fraxinus excelsior,Fraxinus excelsior,7.0,AM
Sheffield Database,Sorbus aucuparia,Sorbus aucuparia,7.0,AM
Global 15N Database,Acacia auriculiformis,Acacia auriculiformis,7.0,AM
Global 15N Database,Acer saccharum,Acer saccharum,7.0,AM
Global 15N Database,Acer rubrum,Acer rubrum,7.0,AM
Global 15N Database,Pinus strobus,Pinus strobus,7.0,EcM
Global 15N Database,Fraxinus americana,Fraxinus americana,7.0,AM
Global 15N Database,Populus tremuloides,Populus tremuloides,7.0,EcM
Global 15N Database,Acacia mangium,Acacia mangium,7.0,AM
Global 15N Database,Quercus rubra,Quercus rubra,7.0,EcM
Global 15N Database,Liriodendron tulipifera,Liriodendron tulipifera,7.0,AM
Global 15N Database,Larix dahurica,Larix gmelinii,7.0,EcM
Global 15N Database,Eurya japonica,Eurya japonica,7.0,AM
Global 15N Database,Populus tremula,Populus tremula,7.0,NM
Global 15N Database,Sorbus aucuparia,Sorbus aucuparia,7.0,NM
BIOPOP: Functional Traits for Nature Conservation,Acer platanoides,Acer platanoides,7.0,AM
BIOPOP: Functional Traits for Nature Conservation,Acer platanoides,Acer platanoides,7.0,EcM
BIOPOP: Functional Traits for Nature Conservation,Acer pseudoplatanus,Acer pseudoplatanus,7.0,AM
BIOPOP: Functional Traits for Nature Conservation,Acer pseudoplatanus,Acer pseudoplatanus,7.0,EcM
BIOPOP: Functional Traits for Nature Conservation,Aesculus hippocastanum,Aesculus hippocastanum,7.0,AM
BIOPOP: Functional Traits for Nature Conservation,Carpinus betulus,Carpinus betulus,7.0,EcM
