genus,count
Fimbristylis,316
Carex,2346
Scirpus,50
Trichophorum,21
Lagenocarpus,18
Cyperus,955
Mapania,101
Costularia,16
Nepenthes,205
Ixora,562
Rinorea,217
Ivodea,30
Diospyros,803
Turraea,69
Xyris,383
Leucotrichum,6
Jumellea,56
Andringitra,6
Pantadenia,3
Argomuellera,17
Colea,35
Hancea,18
Pyrrosia,67
Streptocarpus,190
Vitex,209
Rotheca,35
Cryptocarya,362
Spondias,18
Gardenia,128
Exacum,75
Dypsis,108
Ravenea,23
Cyphostemma,245
Aloe,624
Noronhia,106
Amorphophallus,246
Carlephyton,4
Andropogon,134
Danais,37
Xerophyta,57
Aristea,60
Ormocarpopsis,8
Grewia,282
Pandanus,603
Prockiopsis,5
Acanthopale,12
Didymoplexis,21
Ammannia,108
Angraecum,218
Aeranthes,44
Arthropteris,13
Bemangidia,2
Ruellia,379
Anisotes,29
Christella,94
Pronephrium,42
Pseudophegopteris,25
Bardotia,1
Euphorbia,2094
Chromolaena,176
Solidago,136
Taraxacum,2547
Streptoglossa,8
Ligularia,150
Psiadia,47
Senecio,1643
Psacalium,49
Rumfordia,7
Millotia,15
Gamochaeta,60
Hieracium,3226
Gynoxys,123
Matricaria,23
Lomatozona,4
Melampodium,41
Perymenium,55
Bidens,244
Argyrautia,1
Centaurea,784
Tanacetum,173
Glossocardia,12
Saussurea,430
Syneilesis,6
Crepis,215
Aequatorium,19
Pilosella,265
Acourtia,82
Cirsium,490
Vernonia,707
Plagiolophus,1
Blumea,117
Verbesina,335
Leysera,5
Vernonanthura,69
Anthemis,179
Koanophyllon,139
Tridax,32
Serratula,38
Gerbera,38
Liatris,58
Helichrysum,569
Osteospermum,54
Mikania,444
Euryops,103
Ursinia,43
Diplostephium,112
Brachyglottis,31
Barnadesia,20
Cousinia,704
Baccharis,474
Dubautia,33
Nemosenecio,6
Bartlettina,41
Isocoma,15
Gymnanthemum,41
Distephanus,44
Erigeron,447
Loricaria,20
Artemisia,501
Erythrocephalum,15
Oligactis,7
Pallenis,6
Emilia,120
Pectis,84
Proustia,4
Rhodanthe,45
Calea,160
Hebeclinium,27
Sonchus,111
Athanasia,39
Brickellia,112
Synotis,54
Disynaphia,16
Oritrophium,19
Eremanthus,29
Leontopodium,63
Stevia,265
Hymenolepis,7
Grindelia,68
Tolpis,23
Psephellus,95
Espeletia,152
Jurinea,210
Dendrophorbium,60
Wedelia,113
Tephroseris,45
Othonna,114
Kleinia,58
Eurybia,24
Iranecio,16
Antennaria,59
Pulicaria,70
Anaphalis,118
Laennecia,15
Helogyne,8
Ratibida,7
Achyrocline,47
Gazania,19
Werneria,17
Viguiera,121
Pappobolus,38
Flourensia,32
Critoniopsis,68
Chrysoma,1
Lessingianthus,136
Dimorphotheca,19
Carduus,136
Chiliocephalum,2
Adenostemma,29
Astranthium,12
Fleischmannia,106
Bafutia,1
Vittadinia,33
Chaetanthera,50
Townsendia,26
Dimerostemma,29
Berkheya,83
Ophryosporus,41
Carlina,36
Tragopogon,138
Cynara,12
Chuquiraga,24
Echinops,194
Chaptalia,48
Lygodesmia,5
Helianthus,75
Eupatorium,116
Symphyotrichum,103
Papuacalia,17
Lessingia,12
Montanoa,29
Ambrosia,53
Eremosis,20
Laestadia,5
Ixeris,16
Sinosenecio,42
Aspilia,107
Pinaropappus,10
Lepidaploa,142
Tyrimnus,1
Pteronia,69
Lapsanastrum,4
Ageratina,334
Coreopsis,98
Mauranthemum,5
Chresta,14
Tetramolopium,34
Cassinia,41
Arnica,33
Packera,71
Cyrtocymura,6
Allagopappus,2
Heliopsis,15
Felicia,87
Hymenostephium,11
Lactuca,121
Zandera,3
Silphium,15
Reichardia,13
Aphyllocladus,5
Porophyllum,31
Euthamia,13
Trichogonia,26
Ainsliaea,70
Micropsis,5
Rhysolepis,2
Parasenecio,75
Euchiton,17
Nolletia,9
Hymenopappus,14
Trixis,42
Xanthocephalum,8
Pentacalia,217
Trichanthodium,4
Pseudognaphalium,92
Printzia,6
Lasthenia,20
Sinclairia,31
Milleria,2
Piptocarpha,53
Aster,249
Monticalia,7
Arctotis,72
Keysseria,7
Scorzoneroides,26
Leptinella,34
Trigonopterum,1
Ichthyothere,26
Ethulia,18
Strobocalyx,10
Stoebe,21
Seriphidium,77
Jaliscoa,3
Bellium,4
Fleischmanniopsis,5
Stylocline,8
Tripteris,19
Crassocephalum,26
Tagetes,54
Cotula,65
Hypochaeris,68
Simsia,29
Liabum,23
Odixia,2
Clibadium,38
Schistostephium,13
Stephanomeria,17
Tripleurospermum,38
Neomirandea,32
Nidorella,25
Cota,26
Guayania,6
Eumorphia,6
Pentanema,38
Cyathocline,4
Pluchea,59
Deinandra,22
Leiocarpa,9
Chaenactis,19
Rhynchopsidium,2
Calycadenia,10
Ericameria,38
Symphyopappus,14
Ifloga,16
Lasianthaea,16
Elytropappus,5
Celmisia,77
Onopordum,53
Ayapana,17
Notobasis,2
Tetragonotheca,4
Phymaspermum,21
Brachyscome,75
Schkuhria,3
Chersodoma,9
Aristeguietia,20
Lorandersonia,6
Raoulia,27
Varthemia,4
Solanecio,16
Ageratum,52
Nassauvia,42
Leucanthemopsis,7
Hirpicium,13
Syncarpha,29
Anaxeton,10
Leucanthemella,2
Novenia,1
Telanthophora,6
Chronopappus,1
Dimeresia,1
Xeranthemum,6
Nabalus,18
Rhodanthemum,15
Osmitopsis,9
Haplocarpha,10
Stilpnopappus,21
Picris,48
Haplopappus,72
Mutisia,60
Gynura,55
Chrysanthemum,69
Scorzonera,71
Boltonia,7
Conyza,151
Zinnia,23
Amberboa,10
Encelia,22
Heterocondylus,14
Archibaccharis,38
Parthenium,12
Pleiotaxis,35
Olearia,178
Calocephalus,8
Lagenophora,15
Microseris,16
Kalimeris,16
Gutenbergia,28
Smallanthus,21
Heterotheca,27
Faujasiopsis,2
Emiliella,6
Carpesium,25
Chrysothamnus,12
Onoseris,22
Trichocline,25
Klasea,35
Fitchia,7
Parastrephia,3
Herderia,1
Minuria,13
Podocoma,5
Thespis,4
Chondrilla,30
Gnaphalium,115
Inula,114
Soliva,6
Cicerbita,25
Lucilia,9
Metalasia,57
Psilostrophe,8
Gundelia,18
Lophopappus,4
Rensonia,1
Hedypnois,5
Epilasia,3
Lamyropappus,1
Myriactis,16
Austroeupatorium,17
Cremanthodium,76
Lopholaena,16
Ozothamnus,49
Ixiochlamys,4
Lagascea,11
Olgaea,18
Enceliopsis,3
Anisopappus,39
Perityle,63
Lecocarpus,3
Oxycarpha,1
Askellia,11
Cineraria,45
Richterago,16
Dittrichia,2
Leibnitzia,7
Stilpnolepis,1
Pegolettia,9
Melanthera,30
Hubertia,22
Iltisia,2
Madia,11
Leontodon,48
Adenocaulon,5
Rudbeckia,26
Ajania,35
Brachyclados,3
Steiractinia,15
Helenium,39
Carduncellus,27
Sphaeranthus,34
Jasonia,3
Roldana,57
Critoniella,6
Pentachaeta,6
Achillea,151
Launaea,57
Erymophyllum,5
Geigeria,30
Iostephane,4
Acritopappus,16
Eriocephalus,37
Cronquistianthus,29
Doronicum,41
Psilocarphus,6
Pseudogynoxys,15
Brachylaena,14
Cosmos,38
Leucheria,47
Asplundianthus,11
Volutaria,16
Austrocritonia,4
Leucomeris,2
Dasyphyllum,40
Tithonia,13
Dahlia,40
Filago,52
Acilepis,33
Blennosperma,4
Cichorium,7
Jacobaea,56
Jungia,31
Leuzea,23
Santolina,21
Gochnatia,53
Dicoma,40
Youngia,41
Otopappus,17
Selloa,2
Leucanthemum,45
Calotis,26
Prenanthes,9
Argyranthemum,24
Paraprenanthes,11
Stenopadus,16
Haptotrichion,2
Culcitium,7
Leunisia,1
Amellus,12
Catolesia,2
Layia,16
Columbiadoria,1
Craspedia,25
Bothriocline,62
Richteria,8
Austrosynotis,1
Chrysolaena,16
Prestelia,1
Iphiona,9
Disparago,9
Stifftia,6
Dorobaea,3
Chamaemelum,4
Athroisma,12
Trigonospermum,6
Graphistylis,9
Chionolaena,17
Microliabum,5
Galactites,5
Lorentzianthus,1
Flaveria,21
Pseudopiptocarpha,4
Chevreulia,8
Guizotia,9
Angianthus,21
Rhetinocarpha,1
Ferreyranthus,8
Asterothamnus,7
Brickelliastrum,1
Urbananthus,2
Pertya,28
Elaphandra,14
Rhanteriopsis,4
Carphochaete,6
Chimantaea,9
Munnozia,38
Cullumia,17
Amphipappus,1
Psychrogeton,21
Pentzia,25
Dolichorrhiza,4
Gonospermum,6
Carthamus,26
Iva,10
Thelesperma,14
Nordenstamia,14
Isostigma,15
Phagnalon,31
Goniocaulon,1
Dicranocarpus,1
Oparanthus,2
Bechium,3
Zexmenia,9
Syncalathium,5
Alloispermum,16
Brachanthemum,10
Ammobium,2
Denekia,1
Chrysocephalum,10
Piptocoma,19
Balsamorhiza,15
Atrichantha,1
Mniodes,21
Gutierrezia,31
Argyrotegium,4
Machaeranthera,18
Hysterionica,13
Triptilion,7
Lychnophora,33
Amauria,4
Galinsoga,15
Staehelina,8
Holocheilus,7
Teixeiranthus,2
Bahiopsis,9
Dolomiaea,16
Dewildemania,7
