Site,latitude,longitude,date,Genus,Species,Site_code,Code
Bruce_Weir_Rd_QLD,-17.126588,145.129246,05/02/2024,Themeda,triandra,BWR_QLD,BWR_QLD_Themeda_triandra
Bumberry_NSW,-33.1313032,148.4271588,06/12/2023,Themeda,triandra,BUM_NSW,BUM_NSW_Themeda_triandra
Cobbler_ck_SA,-34.784167,138.696667,24/11/2023,Themeda,triandra,COBB_SA,COBB_SA_Themeda_triandra
Condah-Hotspur_Rd_VIC,-37.918,141.648,16/11/2023,Themeda,triandra,CHS_VIC,CHS_VIC_Themeda_triandra
Dalby_QLD,-27.156601,151.235198,26/01/2024,Themeda,triandra,DAL_QLD,DAL_QLD_Themeda_triandra
Hornsby_Heights_NSW,-33.62908,151.11302,10/11/2023,Themeda,triandra,HH_NSW,HH_NSW_Themeda_triandra
Jindabyne_NSW,-36.431837,148.620779,11/12/2023,Themeda,triandra,JIN_NSW,JIN_NSW_Themeda_triandra
Marlborough_QLD,-22.890693,149.769793,30/01/2024,Themeda,triandra,MAR_QLD,MAR_QLD_Themeda_triandra
Mid_Turnbull_Trail_NSW,-33.445,150.826,24/04/2024,Themeda,triandra,MTT_NSW,MTT_NSW_Themeda_triandra
Mitchell_Ck_NT,-12.5115,130.996271,28/02/2024,Themeda,triandra,MCK_NT,MCK_NT_Themeda_triandra
Mt_Coolon_QLD,-21.405778,147.350768,31/01/2024,Themeda,triandra,MTC_QLD,MTC_QLD_Themeda_triandra
Mt_Fox_QLD,-19.001291,145.473311,03/02/2024,Themeda,triandra,MTF_QLD,MTF_QLD_Themeda_triandra
Palm_Valley_NT,-24.057,132.763,17/12/2023,Themeda,triandra,PV_NT,PV_NT_Themeda_triandra
Pannawonica_WA,-21.637977,116.334303,04/04/2024,Themeda,triandra,PAN_WA,PAN_WA_Themeda_triandra
Powranna_TAS,-41.69833333,147.2380556,27/11/2023,Themeda,triandra,POW_TAS,POW_TAS_Themeda_triandra
Rainbow_Valley_NT,-24.235,133.459,16/12/2023,Themeda,triandra,RV_NT,RV_NT_Themeda_triandra
The_Lynd_Junction_QLD,-18.97806,144.682176,04/02/2024,Themeda,triandra,TLJ_QLD,TLJ_QLD_Themeda_triandra
Woodstock_Rd_QLD,-19.6156,146.961153,02/02/2024,Themeda,triandra,WR_QLD,WR_QLD_Themeda_triandra
Kununurra_WA,-15.965052,128.957012,24/03/2024,Sorghum,bulbosum,KNA_WA,KNA_WA_Sorghum_bulbosum
Derby,-17.354575,123.741343,27/03/2024,Sorghum,ecarinatum,DBY_NSW,DBY_NSW_Sorghum_ecarinatum
Charles_Darwin_NP_NT,-12.434222,130.876718,27/02/2024,Sorghum,exstans,CSD_NT,CSD_NT_Sorghum_exstans
Kununurra_WA,-15.992228,128.974654,24/03/2024,Sorghum,interjectum,KNA_WA,KNA_WA_Sorghum_interjectum
Katherine_NT,-14.407553,132.197353,02/03/2024,Sorghum,intrans,KTE_NT,KTE_NT_Sorghum_intrans
Drake_NSW,-28.941445,152.428864,25/01/2024,Sorghum,leiocladum,DKE_NSW,DKE_NSW_Sorghum_leiocladum
Katherine_NT,-14.40764,132.19746,02/03/2024,Sorghum,macrospermum,KTE_NT,KTE_NT_Sorghum_macrospermum
Daly_Waters_NT,-16.062387,133.428109,03/03/2024,Sorghum,plumosum_Daly_Waters,DYW_NT,DYW_NT_Sorghum_plumosum
Mitchell_Ck_NT,-12.511661,130.996358,28/02/2024,Sorghum,plumosum_Mitchell_Ck,MCK_NT,MCK_NT_Sorghum_plumosum
Kununurra_WA,-15.992164,128.984524,23/03/2024,Sorghum,plumosum_var_teretifolium,KNA_WA,KNA_WA_Sorghum_plumosumvarteretifolium
Mitchell_Ck_NT,-12.511434,130.996383,29/02/2024,Sorghum,stipoideum,MCK_NT,MCK_NT_Sorghum_stipoideum
Daly_Waters_NT,-16.306314,133.401888,03/03/2024,Sorghum,timorense,DYW_NT,DYW_NT_Sorghum_timorense
Daly_Waters_NT,-16.004959,133.418802,02/05/2024,Sorghum,matarankense,DYW_NT,DYW_NT_Sorghum_matarankense
Katherine_NT,-14.478,132.312,03/05/2024,Sorghum,grande,KTE_NT,KTE_NT_Sorghum_grande
Laura_QLD,-15.543095,144.433999,06/05/2024,Sorghum,angustum,LRA_QLD,LRA_QLD_Sorghum_angustum
