ID,Accession,Rep,Weight (mg) ,Weight (g),Length(cm),Length(m),SurfArea(cm2),AvgDiam(mm),LenPerVol(cm/m3),RootVolume(cm3),SRL(m/g),SRA(cm2/g),RTD(gcm3),SRL,SRA,RTD,Diameter
Dalby-E,Dalby_QLD,E,368.4,0.3684,600.2167,6.002167,104.1133,0.5521,600.2167,1.437,16.29252714,282.609392,0.256367432,16.29252714,282.609392,0.256367432,0.5521
Dalby-F,Dalby_QLD,F,228.3,0.2283,812.4593,8.124593,126.7304,0.4965,812.4593,1.573,35.58735436,555.1046868,0.145136682,35.58735436,555.1046868,0.145136682,0.4965
Dalby-G,Dalby_QLD,G,279.9,0.2799,735.3292,7.353292,88.1581,0.3816,735.3292,0.841,26.27113969,314.9628439,0.332818074,26.27113969,314.9628439,0.332818074,0.3816
Dalby-H,Dalby_QLD,H,380.4,0.3804,662.1124,6.621124,134.1011,0.6447,662.1124,2.161,17.40568875,352.526551,0.176029616,17.40568875,352.526551,0.176029616,0.6447
55830-E,Mt Fox N Park_QLD,E,292.7,0.2927,1027.2178,10.272178,119.3707,0.3699,1027.2178,1.104,35.09456098,407.8261018,0.265126812,35.09456098,407.8261018,0.265126812,0.3699
55830-F,Mt Fox N Park_QLD,F,304.5,0.3045,721.0387,7.210387,113.3194,0.5003,721.0387,1.417,23.67943186,372.1490969,0.214890614,23.67943186,372.1490969,0.214890614,0.5003
55830-H,Mt Fox N Park_QLD,H,296.1,0.2961,1022.2098,10.222098,112.9964,0.3519,1022.2098,0.994,34.52245187,381.6156704,0.297887324,34.52245187,381.6156704,0.297887324,0.3519
55830-I,Mt Fox N Park_QLD,I,333.8,0.3338,580.7923,5.807923,112.0177,0.6139,580.7923,1.719,17.39940983,335.5832834,0.194182664,17.39940983,335.5832834,0.194182664,0.6139
Panawonica-E,Panawonica_WA,E,223.7,0.2237,475.1663,4.751663,47.3264,0.317,475.1663,0.375,21.24122932,211.5619133,0.596533333,21.24122932,211.5619133,0.596533333,0.317
Panawonica-F,Panawonica_WA,F,357.6,0.3576,808.3295,8.083295,176.4065,0.6947,808.3295,3.064,22.60429251,493.3067673,0.116710183,22.60429251,493.3067673,0.116710183,0.6947
Panawonica-L,Panawonica_WA,L,464.9,0.4649,727.041,7.27041,163.5221,0.7159,727.041,2.927,15.63865347,351.7360723,0.158831568,15.63865347,351.7360723,0.158831568,0.7159
Panawonica-H,Panawonica_WA,H,634.7,0.6347,797.1177,7.971177,190.2216,0.7596,797.1177,3.612,12.55896802,299.7031669,0.175719823,12.55896802,299.7031669,0.175719823,0.7596
Rainbow_Valley-E,Rainbow Valley_NT,E,141.8,0.1418,697.8795,6.978795,86.432,0.3942,697.8795,0.852,49.21576164,609.5345557,0.166431925,49.21576164,609.5345557,0.166431925,0.3942
Rainbow_Valley-F,Rainbow Valley_NT,F,326.6,0.3266,737.6306,7.376306,137.6169,0.5939,737.6306,2.043,22.58513778,421.3622168,0.159862947,22.58513778,421.3622168,0.159862947,0.5939
Rainbow_Valley-J,Rainbow Valley_NT,J,295.6,0.2956,824.6578,8.246578,106.524,0.4112,824.6578,1.095,27.89776049,360.3653586,0.269954338,27.89776049,360.3653586,0.269954338,0.4112
Rainbow_Valley-K,Rainbow Valley_NT,K,346.2,0.3462,779.9682,7.799682,115.657,0.472,779.9682,1.365,22.52941075,334.0756788,0.253626374,22.52941075,334.0756788,0.253626374,0.472
Rainbow_Valley-H,Rainbow Valley_NT,H,411.1,0.4111,878.2083,8.782083,175.0329,0.6344,878.2083,2.776,21.36240088,425.7672099,0.148090778,21.36240088,425.7672099,0.148090778,0.6344
Sydney-F,Sydney,F,252.9,0.2529,1201.47,12.0147,139.6224,0.3699,1201.47,1.291,47.50771056,552.0854093,0.195894655,47.50771056,552.0854093,0.195894655,0.3699
Sydney-H,Sydney,H,276.1,0.2761,965.7797,9.657797,143.0031,0.4713,965.7797,1.685,34.97934444,517.9395147,0.163857567,34.97934444,517.9395147,0.163857567,0.4713
Sydney-I,Sydney,I,204.7,0.2047,608.9003,6.089003,112.4443,0.5878,608.9003,1.652,29.74598437,549.3126527,0.123910412,29.74598437,549.3126527,0.123910412,0.5878
45032-E,Virginia Gardens_SA,E,193.1,0.1931,913.0252,9.130252,140.5037,0.492575,913.0252,1.729,47.28250647,727.6214397,0.111683054,47.28250647,727.6214397,0.111683054,0.492575
45032-F,Virginia Gardens_SA,F,207.9,0.2079,798.0472,7.980472,149.297,0.5955,798.0472,2.223,38.38610871,718.1192881,0.093522267,38.38610871,718.1192881,0.093522267,0.5955
45032-I,Virginia Gardens_SA,I,432.1,0.4321,792.0547,7.920547,158.8294,0.6383,792.0547,2.535,18.3303564,367.5755612,0.170453649,18.3303564,367.5755612,0.170453649,0.6383
45032-M,Virginia Gardens_SA,M,249.3,0.2493,500.9111,5.009111,89.2908,0.5674,500.9111,1.267,20.09270357,358.166065,0.196764009,20.09270357,358.166065,0.196764009,0.5674
