,RD,SRL,RN,RTD,F00056,F00645,F01286,F01287,F01289,F01290
0,0.142951,447.167648,18.478265,0.169294,1.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
1,0.249630,166.388374,14.456530,0.160036,2.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
2,0.425085,60.723679,10.760881,0.171351,3.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
3,0.175513,330.424588,22.065220,0.169294,1.000000,NA,Populus,tremula,Salicaceae,Malpighiales
4,0.285828,116.664475,16.304355,0.160041,2.000000,NA,Populus,tremula,Salicaceae,Malpighiales
5,0.671250,32.618871,16.304355,0.210311,3.000000,NA,Populus,tremula,Salicaceae,Malpighiales
6,0.184985,328.596138,24.324159,0.149141,1.000000,NA,Populus,tremula,Salicaceae,Malpighiales
7,0.302703,107.775231,17.581139,0.139519,2.000000,NA,Populus,tremula,Salicaceae,Malpighiales
8,0.706307,19.487729,18.518494,0.220103,3.000000,NA,Populus,tremula,Salicaceae,Malpighiales
9,0.168168,328.600675,18.089277,0.199656,1.000000,NA,Populus,tremula,Salicaceae,Malpighiales
10,0.256457,121.333858,13.514912,0.209278,2.000000,NA,Populus,tremula,Salicaceae,Malpighiales
11,0.596998,40.571866,14.181187,0.188832,3.000000,NA,Populus,tremula,Salicaceae,Malpighiales
12,0.142944,321.823692,19.851313,0.224914,1.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
13,0.218620,125.098967,16.090191,0.223711,2.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
14,0.369971,39.818926,12.057715,0.236942,3.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
15,0.155557,213.391026,16.598061,0.223711,1.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
16,0.294295,69.381158,12.656490,0.184021,2.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
17,0.491893,29.281397,8.353205,0.210481,3.000000,NA,Populus,trichocarpa,Salicaceae,Malpighiales
18,0.309778,50.322607,13.009712,0.158621,1.000000,NA,Altingia,obovata,Altingiaceae,Saxifragales
19,0.333922,36.774237,11.407772,0.255173,2.000000,NA,Altingia,obovata,Altingiaceae,Saxifragales
20,0.391671,20.322640,11.407773,0.344828,3.000000,NA,Altingia,obovata,Altingiaceae,Saxifragales
21,1.177410,9.677503,18.689322,0.248276,1.000000,NA,Cryptocarya,chinensis,Lauraceae,Laurales
