Abelia biflora
Abelmoschus esculentus
Abies alba
Abies amabilis
Abies arizonica
Abies balsamea
Abies balsamifera
Abies cephalonica
Abies cilicica
Abies concolor
Abies faxoniana
Abies firma
Abies fraseri
Abies gamblei
Abies grandis
Abies holophylla
Abies homolepis
Abies koreana
Abies lasiocarpa
Abies magnifica
Abies mariesii
Abies nephrolepis
Abies nordmanniana
Abies numidica
Abies pinsapo
Abies procera
Abies sachalinensis
Abies sibirica
Abies veitchii
Abronia maritima
Abrus precatorius
Abutilon indicum
Abutilon theophrasti
Acacia albida
Acacia amythethophylla
Acacia aneura
Acacia aulacocarpa
Acacia auriculiformis
Acacia bidwillii
Acacia cambagei
Acacia colei
Acacia coriacea
Acacia crassicarpa
Acacia dealbata
Acacia eburnea
Acacia eriocarpa
Acacia erioloba
Acacia farnesiana
Acacia fleckii
Acacia gerrardii
Acacia goetzei
Acacia greggii
Acacia harpophylla
Acacia hockii
Acacia implexa
Acacia irrorata
Acacia leucophloea
Acacia mangium
Acacia mearnsii
Acacia melanoxylon
Acacia melenoxylon
Acacia mellifera
Acacia natalitia
Acacia neovernicosa
Acacia nigrescens
Acacia nilotica
Acacia polyacantha
Acacia reficiens
Acacia robusta
Acacia salicina
Acacia saligna
Acacia seyal
Acacia shirleyi
Acacia sieberiana
Acacia tetragonaphylla
Acacia tetragonophylla
Acacia tortilis
Acacia tortillis
Acaena magellanica
Acaena novae-zelandiae
Acalypha fruticosa
Acalypha indica
Acalypha lanceolata
Acalypha virginica
Acalypha wilkesiana
Acamptopappus shockleyi
Acamptopappus sphaerocephalus
Acanthophyllum borsczowi
Acanthophyllum korolkowi
Acanthophyllum krascheninnikovii
Acanthophyllum paniculatum
Acanthosicyos horrida
Acanthosicyos horridus
Acanthyllis tragacanthoides
Acer barbinerve
Acer buergerianum
Acer campbellii
Acer campestre
Acer cappadocicum
Acer caudatum
Acer cinnamomifolium
Acer davidii
Acer fabri
Acer ginnala
Acer glabra
Acer glabrum
Acer laetum
Acer macrophyllum
Acer mono
Acer negundo
Acer pensylvanicum
Acer pictum
Acer platanoides
Acer pseudoplatanus
Acer pseudosieboldianum
Acer pubescens
Acer rubrum
Acer saccharinum
Acer saccharum
Acer semenovii
Acer spicatum
Acer tataricum
Acer tegmentosum
Acer triflorum
Acer truncatum
Acer turkestanicum
Acer ukurunduense
Achillea atrata
Achillea clavennae
Achillea crithmifolia
Achillea erba-rotta
Achillea lanulosa
Achillea macrocephala
Achillea macrophylla
Achillea millefolium
Achillea nana
Achillea nobilis
Achillea oxyloba
Achillea pannonica
Achillea ptarmica
Achillea salicifolia
Achillea setacea
Achillea subalpina
Achillea tomentosa
Achnatherum hymenoides
Achnatherum lettermanii
Achnatherum sibiricum
Achyranthes aspera
Aciphylla aurea
Ackama rosifolia
Acmena ingens
Acomastylis rossii
Aconitum anthora
Aconitum confertiflorum
Aconitum degenii
Aconitum nasutum
Aconitum plicatum
Aconitum septentrionale
Aconitum variegatum
Acorus calamus
Acosmium cardenasii
Acroclinium roseum
Acronychia pedunculata
Acroptilon repens
