"Package","Version"
"abind","1.4-8"
"ade4","1.7-24"
"adegenet","2.1.11"
"adephylo","1.1-17"
"AlgDesign","1.2.1.2"
"ape","5.8-1"
"aplot","0.3.1"
"askpass","1.2.1"
"backports","1.5.1"
"base","4.6.0"
"base64enc","0.1-6"
"bayesplot","1.15.0"
"BH","1.90.0-1"
"bitops","1.0-9"
"boot","1.3-32"
"bridgesampling","1.2-1"
"brms","2.23.0"
"Brobdingnag","1.2-9"
"broom","1.0.13"
"bslib","0.11.0"
"cachem","1.1.0"
"callr","3.8.0"
"cellranger","1.1.0"
"checkmate","2.3.4"
"class","7.3-23"
"cli","3.6.6"
"cluster","2.1.8.2"
"clusterGeneration","1.3.8"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-3"
"combinat","0.0-8"
"commonmark","2.0.0"
"compiler","4.6.0"
"corHMM","2.8"
"corpcor","1.6.10"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"crossdes","1.1-2"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.4"
"datasets","4.6.0"
"deldir","2.0-4"
"DEoptim","2.2-8"
"Deriv","4.2.0"
"desc","1.4.3"
"deSolve","1.42"
"digest","0.6.39"
"distributional","0.8.1"
"doBy","4.7.2"
"doParallel","1.0.17"
"dplyr","1.2.1"
"evaluate","1.0.5"
"expm","1.0-0"
"farver","2.1.2"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-91"
"fracdiff","1.5-4"
"fs","2.1.0"
"future","1.75.0"
"future.apply","1.20.2"
"gdtools","0.5.1"
"geiger","2.0.11"
"generics","0.1.4"
"GenSA","1.1.15"
"geomorph","4.1.1"
"ggfun","0.2.1"
"ggiraph","0.9.6"
"ggplot2","4.0.3"
"ggplotify","0.1.3"
"ggridges","0.5.7"
"ggtree","4.3.0"
"globals","0.19.1"
"glue","1.8.1"
"gmp","0.7-5.1"
"graphics","4.6.0"
"grDevices","4.6.0"
"grid","4.6.0"
"gridExtra","2.3.1"
"gridGraphics","0.5-1"
"gtable","0.3.6"
"gtools","3.9.5"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpuv","1.6.17"
"httr","1.4.8"
"igraph","2.3.3"
"inline","0.3.21"
"interp","1.1-6"
"IRdisplay","1.1"
"IRkernel","1.3.2"
"isoband","0.3.0"
"iterators","1.0.14"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"later","1.4.8"
"lattice","0.22-9"
"lazyeval","0.2.3"
"lhs","1.3.0"
"lifecycle","1.0.5"
"listenv","1.0.0"
"lme4","2.0-6"
"lmerTest","3.2-1"
"lmtest","0.9-40"
"loo","2.10.0"
"magrittr","2.0.5"
"maps","3.4.3"
"MASS","7.3-66"
"Matrix","1.7-5"
"matrixStats","1.5.0"
"memoise","2.0.1"
"methods","4.6.0"
"mgcv","1.9-4"
"microbenchmark","1.5.0"
"mime","0.13"
"minqa","1.2.8"
"mnormt","2.1.2"
"modelr","0.1.11"
"mvtnorm","1.4-2"
"ncbit","2013.03.29.1"
"nleqslv","3.3.7"
"nlme","3.1-170"
"nloptr","2.2.1"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.4.2"
"optimParallel","1.0-2"
"otel","0.2.0"
"OUwie","3.0.2"
"paleotree","3.4.7"
"parallel","4.6.0"
"parallelly","1.48.0"
"patchwork","1.3.2"
"pbdZMQ","0.3-14"
"permute","0.9-10"
"phangorn","2.12.1"
"phylobase","0.8.12"
"phylolm","2.7.0"
"phytools","2.5-2"
"pillar","1.11.1"
"pixmap","0.4-14"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"plotly","4.12.0"
"plyr","1.8.9"
"png","0.1-9"
"posterior","1.7.0"
"prettyunits","1.2.0"
"processx","3.9.0"
"progress","1.2.3"
"promises","1.5.0"
"ps","1.9.3"
"purrr","1.2.2"
"quadprog","1.5-8"
"QuickJSR","1.10.0"
"R6","2.6.1"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppArmadillo","15.4.0-1"
"RcppEigen","0.3.4.0.2"
"RcppParallel","5.1.11-2"
"RCurl","1.98-1.19"
"Rdpack","2.6.6"
"readxl","1.5.0"
"reformulas","0.4.4"
"rematch","2.0.0"
"repr","1.1.7"
"reshape2","1.4.5"
"rlang","1.3.0"
"rmarkdown","2.31"
"Rmpfr","1.1-2"
"rncl","0.8.9"
"RNeXML","2.4.11"
"rpart","4.1.27"
"Rphylopars","0.3.10"
"RRPP","2.2.0"
"rstan","2.32.7"
