Tree,CrownClass,Leafage,leaf#,%N,%P,LMA (g/m2),Narea (g/m2),Anet (at 390 umol mol-1),Anet (at ~540 umol mol-1),plotsite,Height(m),,,,
116,Dominant,old,1,1.536,0.07,233.9,3.59,14.6,16.6,46,23.25,,235.6035426,234.368438,1.235104618
116,Dominant,old,2,1.436,,271.3,3.90,13.9,16,45,23.25,,233.1333333,,
117,Dominant,old,1,2.007,0.08,215.8,4.33,13.6,17.4,41,20.4,,,,
117,Dominant,old,2,1.808,,239.1,4.32,11.8,,40,20.4,,,,
122,Dominant,old,3,1.789,0.08,217.9,3.90,8.8,,,,,,,
209,Dominant,old,4,1.690,,254.2,4.30,17.8,22.6,13,22.3,,,,
209,Dominant,old,2,1.744,0.07,270.6,4.72,11.6,13,14,22.3,,,,
202,Codominant,old,4,1.983,,232.8,4.62,17.6,21.5,18,19.4,,,,
202,Codominant,old,2,1.530,0.08,221.3,3.39,15.5,19.6,19,19.4,,,,
208,Codominant,old,2,1.810,,214.6,3.88,20.5,24.9,10,18.2,,,,
208,Codominant,old,3,1.792,0.09,205.3,3.68,18.8,24.9,11,18.2,,,,
320,Dominant,old,2,1.670,0.09,217.1,3.63,17.1,21.7,26,19.7,,,,
320,Dominant,old,3,2.007,,223.7,4.49,18.4,22.7,28,19.7,,,,
321,Dominant,old,3,2.050,,209.7,4.30,14.6,18.3,29,18.3,,,,
321,Dominant,old,2,2.264,0.10,213.2,4.83,16.6,20.7,30,18.3,,,,
403,Dominant,old,4,1.904,,189,3.60,17.7,,,,,,,
403,Dominant,old,2,1.652,0.08,195,3.22,17.6,,,,,,,
408,Dominant,old,2,1.995,0.09,192.8,3.85,15.6,19.6,23,16.6,,,,
408,Dominant,old,1,2.232,0.10,197.4,4.41,18.9,23.8,24,16.6,,,,
414,Codominant,old,4,1.637,,218.5,3.58,19.2,22.7,20,17.85,,,,
414,Codominant,old,2,1.789,0.09,230.8,4.13,18.1,24.5,21,17.85,,,,
501,Dominant,old,1,2.226,0.07,220.5,4.91,15.8,19.4,2,20.8,,,,
501,Dominant,old,2,1.962,0.09,222.5,4.37,20.6,26.1,3,20.8,,,,
502,Dominant,old,1,1.447,0.07,237.3,3.43,17.6,22.3,5,20.05,,,,
502,Dominant,old,2,1.719,0.08,238.3,4.10,16.5,20,6,20.05,,,,
513,Dominant,old,1,1.975,,232.4,4.59,22.9,27.8,8,19.8,,,,
513,Dominant,old,2,2.210,0.10,224.7,4.96,15.6,20.7,9,19.8,,,,
603,Dominant,old,2,2.161,0.09,238.2,5.15,14.5,17.9,37,22.25,,,,
603,Dominant,old,4,2.026,,261.8,5.30,15.3,20.8,38,22.25,,,,
607,Dominant,old,4,1.709,,247.9,4.24,9.36,12.8,34,19.8,,,,
607,Dominant,old,2,1.714,0.10,282.5,4.84,16.4,27.6,35,19.8,,,,
614,Dominant,old,4,1.585,0.08,276.5,4.38,13.4,16.8,32,20.6,,,,
