Accession,SRL,Diameter,annual_rainfall_mm,mean_annual_temp_celsius,ploidy_n,ammonium_nitrogen,nitrate_nitrogen,phosphorus_colwell,potassium_colwell,sulfur,organic_carbon,conductivity,ph_level_cacl2,ph_level_h2o,total_nitrogen,total_phosphorus,total_carbon,prcnt_clay,prcnt_course_sand,prcnt_fine_sand,prcnt_sand,prcnt_silt
Dalby_QLD,16.29252714,0.5521,621.4,27.0,6.0,6.0,0.0,18.0,398.0,4.0,2.88,0.069,6.0,6.9,0.27,402.1,3.96,23.11,35.26,26.89,62.15,14.74
Dalby_QLD,35.58735436,0.4965,621.4,27.0,6.0,6.0,0.0,18.0,398.0,4.0,2.88,0.069,6.0,6.9,0.27,402.1,3.96,23.11,35.26,26.89,62.15,14.74
Dalby_QLD,26.27113969,0.3816,621.4,27.0,6.0,6.0,0.0,18.0,398.0,4.0,2.88,0.069,6.0,6.9,0.27,402.1,3.96,23.11,35.26,26.89,62.15,14.74
Dalby_QLD,17.40568875,0.6447,621.4,27.0,6.0,6.0,0.0,18.0,398.0,4.0,2.88,0.069,6.0,6.9,0.27,402.1,3.96,23.11,35.26,26.89,62.15,14.74
Mt_Fox_National_Park_QLD,35.09456098,0.3699,642.8,29.3,4.0,6.0,0.0,6.0,314.0,3.6,1.71,0.035,5.7,6.7,0.19,157.5,2.66,21.6,33.49,22.22,55.71,22.69
Mt_Fox_National_Park_QLD,23.67943186,0.5003,642.8,29.3,4.0,6.0,0.0,6.0,314.0,3.6,1.71,0.035,5.7,6.7,0.19,157.5,2.66,21.6,33.49,22.22,55.71,22.69
Mt_Fox_National_Park_QLD,34.52245187,0.3519,642.8,29.3,4.0,6.0,0.0,6.0,314.0,3.6,1.71,0.035,5.7,6.7,0.19,157.5,2.66,21.6,33.49,22.22,55.71,22.69
Mt_Fox_National_Park_QLD,17.39940983,0.6139,642.8,29.3,4.0,6.0,0.0,6.0,314.0,3.6,1.71,0.035,5.7,6.7,0.19,157.5,2.66,21.6,33.49,22.22,55.71,22.69
Panawonica_WA,21.24122932,0.317,404.4,34.7,2.0,2.0,13.0,8.0,385.0,12.8,1.53,0.232,7.2,8.0,0.14,184.2,2.27,25.64,6.0,29.82,35.82,38.54
Panawonica_WA,22.60429251,0.6947,404.4,34.7,2.0,2.0,13.0,8.0,385.0,12.8,1.53,0.232,7.2,8.0,0.14,184.2,2.27,25.64,6.0,29.82,35.82,38.54
Panawonica_WA,15.63865347,0.7159,404.4,34.7,2.0,2.0,13.0,8.0,385.0,12.8,1.53,0.232,7.2,8.0,0.14,184.2,2.27,25.64,6.0,29.82,35.82,38.54
Panawonica_WA,12.55896802,0.7596,404.4,34.7,2.0,2.0,13.0,8.0,385.0,12.8,1.53,0.232,7.2,8.0,0.14,184.2,2.27,25.64,6.0,29.82,35.82,38.54
Rainbow_Valley_NT,49.21576164,0.3942,189.3,28.9,4.0,1.0,0.0,6.0,125.0,1.1,0.25,0.061,7.5,8.8,0.02,89.7,0.51,5.8,60.38,31.88,92.26,1.95
Rainbow_Valley_NT,22.58513778,0.5939,189.3,28.9,4.0,1.0,0.0,6.0,125.0,1.1,0.25,0.061,7.5,8.8,0.02,89.7,0.51,5.8,60.38,31.88,92.26,1.95
Rainbow_Valley_NT,27.89776049,0.4112,189.3,28.9,4.0,1.0,0.0,6.0,125.0,1.1,0.25,0.061,7.5,8.8,0.02,89.7,0.51,5.8,60.38,31.88,92.26,1.95
Rainbow_Valley_NT,22.52941075,0.472,189.3,28.9,4.0,1.0,0.0,6.0,125.0,1.1,0.25,0.061,7.5,8.8,0.02,89.7,0.51,5.8,60.38,31.88,92.26,1.95
Rainbow_Valley_NT,21.36240088,0.6344,189.3,28.9,4.0,1.0,0.0,6.0,125.0,1.1,0.25,0.061,7.5,8.8,0.02,89.7,0.51,5.8,60.38,31.88,92.26,1.95
Sydney_NSW,47.50771056,0.3699,1156.9,23.4,2.0,9.0,0.0,4.0,206.0,4.2,3.26,0.052,4.9,5.9,0.18,229.2,4.04,13.88,51.89,23.51,75.4,10.72
Sydney_NSW,34.97934444,0.4713,1156.9,23.4,2.0,9.0,0.0,4.0,206.0,4.2,3.26,0.052,4.9,5.9,0.18,229.2,4.04,13.88,51.89,23.51,75.4,10.72
Sydney_NSW,29.74598437,0.5878,1156.9,23.4,2.0,9.0,0.0,4.0,206.0,4.2,3.26,0.052,4.9,5.9,0.18,229.2,4.04,13.88,51.89,23.51,75.4,10.72
Virginia_Gardens_SA,47.28250647,0.492575,468.7,22.6,4.0,2.0,0.0,5.0,511.0,10.7,2.28,0.092,6.1,7.0,0.22,258.6,3.07,31.69,18.82,29.01,47.83,20.48
Virginia_Gardens_SA,38.38610871,0.5955,468.7,22.6,4.0,2.0,0.0,5.0,511.0,10.7,2.28,0.092,6.1,7.0,0.22,258.6,3.07,31.69,18.82,29.01,47.83,20.48
Virginia_Gardens_SA,18.3303564,0.6383,468.7,22.6,4.0,2.0,0.0,5.0,511.0,10.7,2.28,0.092,6.1,7.0,0.22,258.6,3.07,31.69,18.82,29.01,47.83,20.48
Virginia_Gardens_SA,20.09270357,0.5674,468.7,22.6,4.0,2.0,0.0,5.0,511.0,10.7,2.28,0.092,6.1,7.0,0.22,258.6,3.07,31.69,18.82,29.01,47.83,20.48
